# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 87.3997 avgA: 327.589 avgB: 324.658 MNR: 0.259298 GNR: 0.241883 DICE: 0.240853

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 97.141 avgA: 361.16 avgB: 345.103 MNR: 0.273683 GNR: 0.255633 DICE: 0.254644

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 91.1358 avgA: 345.858 avgB: 331.514 MNR: 0.267955 GNR: 0.249555 DICE: 0.248508

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 61.1565 avgA: 273.339 avgB: 261.486 MNR: 0.204719 GNR: 0.18882 DICE: 0.187812

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 99.8034 avgA: 371.069 avgB: 352.62 MNR: 0.273666 GNR: 0.255865 DICE: 0.254911

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 102.768 avgA: 376.101 avgB: 356.862 MNR: 0.278829 GNR: 0.261127 DICE: 0.260183

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 91.7012 avgA: 349.673 avgB: 333.598 MNR: 0.263119 GNR: 0.245287 DICE: 0.244293

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 100.036 avgA: 365.266 avgB: 348.129 MNR: 0.279703 GNR: 0.26062 DICE: 0.259527

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 95.8241 avgA: 359.523 avgB: 342.417 MNR: 0.268031 GNR: 0.250032 DICE: 0.249024

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 98.9327 avgA: 363.052 avgB: 341.397 MNR: 0.278747 GNR: 0.25897 DICE: 0.257838

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 85.2678 avgA: 332.088 avgB: 315.6 MNR: 0.25465 GNR: 0.238488 DICE: 0.237631

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 101.754 avgA: 366.755 avgB: 347.074 MNR: 0.27952 GNR: 0.260016 DICE: 0.258963

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 101.875 avgA: 362.922 avgB: 348.076 MNR: 0.287044 GNR: 0.268003 DICE: 0.266947

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 96.4269 avgA: 355.149 avgB: 337.554 MNR: 0.279059 GNR: 0.259733 DICE: 0.258645

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 97.0673 avgA: 355.476 avgB: 340.506 MNR: 0.271249 GNR: 0.254697 DICE: 0.253858

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 97.2406 avgA: 366.957 avgB: 347.463 MNR: 0.271783 GNR: 0.252688 DICE: 0.251579

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 97.8706 avgA: 343.066 avgB: 332.612 MNR: 0.287494 GNR: 0.268447 DICE: 0.267356

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 95.3583 avgA: 350.695 avgB: 330.207 MNR: 0.281388 GNR: 0.261791 DICE: 0.260749

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 97.4916 avgA: 356.21 avgB: 341.146 MNR: 0.278901 GNR: 0.260416 DICE: 0.259477

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 87.7477 avgA: 329.34 avgB: 322.735 MNR: 0.263612 GNR: 0.24624 DICE: 0.245241

