# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 97.3855 avgA: 359.497 avgB: 315.85 MNR: 0.295589 GNR: 0.266214 DICE: 0.264105

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 99.564 avgA: 360.294 avgB: 313.942 MNR: 0.304083 GNR: 0.27421 DICE: 0.272106

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 98.8745 avgA: 362.087 avgB: 313.458 MNR: 0.30153 GNR: 0.271163 DICE: 0.268963

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 99.9418 avgA: 366.232 avgB: 319.483 MNR: 0.300513 GNR: 0.270457 DICE: 0.26822

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 94.2432 avgA: 353.801 avgB: 307.587 MNR: 0.296892 GNR: 0.263867 DICE: 0.261397

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 98.9327 avgA: 360.994 avgB: 313.457 MNR: 0.301525 GNR: 0.27053 DICE: 0.268248

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 96.2781 avgA: 360.459 avgB: 310.673 MNR: 0.301212 GNR: 0.266532 DICE: 0.263795

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 95.6611 avgA: 358.862 avgB: 302.775 MNR: 0.302851 GNR: 0.268997 DICE: 0.266452

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 96.2251 avgA: 358.718 avgB: 313.947 MNR: 0.296267 GNR: 0.26608 DICE: 0.263803

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 96.0841 avgA: 357.153 avgB: 310.233 MNR: 0.296846 GNR: 0.265558 DICE: 0.263217

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 96.7646 avgA: 352.345 avgB: 304.154 MNR: 0.305001 GNR: 0.272432 DICE: 0.269934

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 97.0543 avgA: 361.257 avgB: 310.342 MNR: 0.300601 GNR: 0.267875 DICE: 0.26543

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 95.9069 avgA: 354.722 avgB: 310.464 MNR: 0.29705 GNR: 0.265885 DICE: 0.263615

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 102.008 avgA: 370.656 avgB: 323.354 MNR: 0.301683 GNR: 0.271859 DICE: 0.269775

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 98.837 avgA: 364.653 avgB: 312 MNR: 0.302963 GNR: 0.270602 DICE: 0.26814

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 101.405 avgA: 365.028 avgB: 318.525 MNR: 0.304316 GNR: 0.273993 DICE: 0.271817

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 98.784 avgA: 361.951 avgB: 314.204 MNR: 0.303839 GNR: 0.271865 DICE: 0.269455

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 101.677 avgA: 370.177 avgB: 318.383 MNR: 0.308027 GNR: 0.274381 DICE: 0.271791

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 100.525 avgA: 366.841 avgB: 318.536 MNR: 0.303759 GNR: 0.272277 DICE: 0.269992

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 92.273 avgA: 351.624 avgB: 307.855 MNR: 0.28777 GNR: 0.257842 DICE: 0.255607

