# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.1006 avgA: 364.711 avgB: 539.359 MNR: 0.0558782 GNR: 0.0443317 DICE: 0.0429744

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.5974 avgA: 375.272 avgB: 553.853 MNR: 0.0571467 GNR: 0.0456618 DICE: 0.0443447

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.3019 avgA: 377.067 avgB: 550.328 MNR: 0.0566887 GNR: 0.0453794 DICE: 0.0440752

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.3316 avgA: 369.817 avgB: 540.76 MNR: 0.0551216 GNR: 0.0440114 DICE: 0.0427069

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.3935 avgA: 364.627 avgB: 532.969 MNR: 0.0570933 GNR: 0.0455077 DICE: 0.0441548

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.3768 avgA: 366.841 avgB: 538.667 MNR: 0.0555564 GNR: 0.0443441 DICE: 0.0430515

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.2903 avgA: 373.186 avgB: 548.31 MNR: 0.0575577 GNR: 0.0458469 DICE: 0.0444856

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.3742 avgA: 369.97 avgB: 548.354 MNR: 0.0574308 GNR: 0.0458233 DICE: 0.0445036

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.6297 avgA: 367.645 avgB: 541.03 MNR: 0.0569586 GNR: 0.0452074 DICE: 0.0438201

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.68 avgA: 370.603 avgB: 548.283 MNR: 0.0593475 GNR: 0.047033 DICE: 0.0455849

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.9329 avgA: 363.497 avgB: 544.397 MNR: 0.0549658 GNR: 0.0434881 DICE: 0.0421395

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.9677 avgA: 369.697 avgB: 540.644 MNR: 0.0567949 GNR: 0.0454142 DICE: 0.0441091

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.7497 avgA: 371.401 avgB: 544.471 MNR: 0.0564417 GNR: 0.0450902 DICE: 0.0437849

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.3226 avgA: 368.503 avgB: 545.239 MNR: 0.0555526 GNR: 0.0441161 DICE: 0.0427862

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.7265 avgA: 368.15 avgB: 540.827 MNR: 0.0570924 GNR: 0.0453457 DICE: 0.0439524

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.4297 avgA: 366.871 avgB: 541.986 MNR: 0.0563914 GNR: 0.044786 DICE: 0.0434194

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.9071 avgA: 375.979 avgB: 548.521 MNR: 0.0560114 GNR: 0.0447072 DICE: 0.0433865

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.7768 avgA: 366.574 avgB: 534.498 MNR: 0.0539542 GNR: 0.0433994 DICE: 0.042226

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.0413 avgA: 367.956 avgB: 542.862 MNR: 0.0571856 GNR: 0.0455996 DICE: 0.0442661

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.0271 avgA: 367.133 avgB: 541.014 MNR: 0.0558681 GNR: 0.0441695 DICE: 0.0427685

