# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 149.367 avgA: 329.221 avgB: 536.139 MNR: 0.431687 GNR: 0.338861 DICE: 0.328915

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 146.355 avgA: 329.839 avgB: 532.579 MNR: 0.422679 GNR: 0.332884 DICE: 0.323353

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 147.874 avgA: 332.797 avgB: 537.244 MNR: 0.423331 GNR: 0.333785 DICE: 0.324305

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 148.953 avgA: 337.381 avgB: 530.781 MNR: 0.420925 GNR: 0.336279 DICE: 0.327671

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 148.162 avgA: 331.517 avgB: 534.576 MNR: 0.42607 GNR: 0.336259 DICE: 0.326809

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 148.569 avgA: 331.991 avgB: 531.955 MNR: 0.425214 GNR: 0.336511 DICE: 0.327249

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 150.477 avgA: 334.833 avgB: 538.88 MNR: 0.428659 GNR: 0.3381 DICE: 0.328522

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 150.313 avgA: 333.745 avgB: 536.437 MNR: 0.429184 GNR: 0.339021 DICE: 0.329547

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 147.504 avgA: 330.221 avgB: 536.152 MNR: 0.425685 GNR: 0.334529 DICE: 0.324799

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 147.124 avgA: 327.867 avgB: 530.861 MNR: 0.428169 GNR: 0.33669 DICE: 0.326931

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 150.241 avgA: 329.635 avgB: 534.529 MNR: 0.433957 GNR: 0.341487 DICE: 0.331644

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 152.127 avgA: 332.76 avgB: 536.648 MNR: 0.435124 GNR: 0.343079 DICE: 0.33338

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 148.148 avgA: 331.133 avgB: 533.03 MNR: 0.425351 GNR: 0.335845 DICE: 0.326406

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 149.479 avgA: 329.256 avgB: 532.769 MNR: 0.432035 GNR: 0.340329 DICE: 0.330609

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 149.519 avgA: 327.633 avgB: 530.917 MNR: 0.435156 GNR: 0.342575 DICE: 0.332731

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 147.214 avgA: 331.9 avgB: 530.595 MNR: 0.42224 GNR: 0.334619 DICE: 0.325515

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 152.308 avgA: 335.723 avgB: 541.394 MNR: 0.433263 GNR: 0.341781 DICE: 0.332116

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 147.539 avgA: 330.891 avgB: 531.825 MNR: 0.425308 GNR: 0.33602 DICE: 0.326636

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 145.632 avgA: 325.613 avgB: 527.843 MNR: 0.426954 GNR: 0.336001 DICE: 0.326302

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 149.683 avgA: 329.723 avgB: 535.983 MNR: 0.431445 GNR: 0.33892 DICE: 0.329038

