# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 44.4903 avgA: 346.203 avgB: 558.466 MNR: 0.118776 GNR: 0.0937761 DICE: 0.0911231

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 44.0619 avgA: 347.471 avgB: 568.365 MNR: 0.117968 GNR: 0.0922437 DICE: 0.08944

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 42.5032 avgA: 347.466 avgB: 563.25 MNR: 0.113844 GNR: 0.089725 DICE: 0.087157

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 43.8813 avgA: 344.102 avgB: 561.379 MNR: 0.118709 GNR: 0.0931155 DICE: 0.0903434

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 43.0955 avgA: 344.872 avgB: 557.106 MNR: 0.116941 GNR: 0.0921957 DICE: 0.0895475

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 45.1626 avgA: 344.401 avgB: 560.444 MNR: 0.121243 GNR: 0.0953388 DICE: 0.0925514

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 44.1832 avgA: 343.845 avgB: 558.148 MNR: 0.119729 GNR: 0.0940033 DICE: 0.0912129

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 44.2348 avgA: 348.533 avgB: 557.578 MNR: 0.118083 GNR: 0.0935889 DICE: 0.0910209

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 46.4219 avgA: 351.249 avgB: 567.415 MNR: 0.122641 GNR: 0.0967673 DICE: 0.094019

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 44.7935 avgA: 354.903 avgB: 567.783 MNR: 0.116336 GNR: 0.0922628 DICE: 0.0897314

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 43.5445 avgA: 344.884 avgB: 560.143 MNR: 0.117447 GNR: 0.0922072 DICE: 0.0894676

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 42.8671 avgA: 346.471 avgB: 556.76 MNR: 0.115451 GNR: 0.0913169 DICE: 0.0887696

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 44.8426 avgA: 352.24 avgB: 563.301 MNR: 0.117845 GNR: 0.093437 DICE: 0.0908845

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 44.0413 avgA: 347.076 avgB: 557.392 MNR: 0.116467 GNR: 0.092244 DICE: 0.0896914

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 43.2981 avgA: 344.995 avgB: 560.925 MNR: 0.117087 GNR: 0.0920979 DICE: 0.0894195

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 42.7213 avgA: 345.459 avgB: 564.375 MNR: 0.114983 GNR: 0.0900807 DICE: 0.0873775

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 45.8142 avgA: 351.23 avgB: 568.581 MNR: 0.120877 GNR: 0.0952163 DICE: 0.0924793

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 45.1613 avgA: 347.761 avgB: 564.215 MNR: 0.120811 GNR: 0.0950505 DICE: 0.0922923

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 43.8181 avgA: 344.979 avgB: 563.806 MNR: 0.118388 GNR: 0.092757 DICE: 0.0899779

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 45.0955 avgA: 351.646 avgB: 567.114 MNR: 0.118485 GNR: 0.0935726 DICE: 0.0909382

