# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.9961 avgA: 434.606 avgB: 558.939 MNR: 0.0483656 GNR: 0.0421269 DICE: 0.0416756

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.7006 avgA: 438.823 avgB: 559.654 MNR: 0.0492927 GNR: 0.0432411 DICE: 0.0428181

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.8503 avgA: 434.35 avgB: 551.582 MNR: 0.0507898 GNR: 0.0444933 DICE: 0.0440514

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.3368 avgA: 433.258 avgB: 555.939 MNR: 0.0473906 GNR: 0.0413116 DICE: 0.0408707

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.8361 avgA: 435.199 avgB: 556.715 MNR: 0.0504916 GNR: 0.0440505 DICE: 0.0435884

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.7523 avgA: 431.733 avgB: 556.325 MNR: 0.0504392 GNR: 0.0439567 DICE: 0.0434937

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 22.1045 avgA: 439.545 avgB: 558.456 MNR: 0.0498751 GNR: 0.0437478 DICE: 0.0433257

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.7548 avgA: 433.832 avgB: 547.693 MNR: 0.0474257 GNR: 0.0418364 DICE: 0.0414642

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.2748 avgA: 436.034 avgB: 555.285 MNR: 0.0465901 GNR: 0.0408224 DICE: 0.0404119

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.3923 avgA: 433.683 avgB: 548.826 MNR: 0.0474162 GNR: 0.0416002 DICE: 0.0411877

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.7381 avgA: 437.112 avgB: 559.534 MNR: 0.0474665 GNR: 0.041437 DICE: 0.0410035

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.1987 avgA: 435.142 avgB: 549.085 MNR: 0.0485278 GNR: 0.042688 DICE: 0.0422866

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.8181 avgA: 429.435 avgB: 549.77 MNR: 0.048896 GNR: 0.0426051 DICE: 0.042147

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.3445 avgA: 439.099 avgB: 557.996 MNR: 0.048558 GNR: 0.0425269 DICE: 0.0421028

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.8516 avgA: 436.305 avgB: 557.404 MNR: 0.0476418 GNR: 0.0416868 DICE: 0.0412611

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.8219 avgA: 436.146 avgB: 555.57 MNR: 0.0497904 GNR: 0.0436047 DICE: 0.0431698

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.6658 avgA: 442.521 avgB: 557.005 MNR: 0.0491302 GNR: 0.0432496 DICE: 0.042847

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.5665 avgA: 432.883 avgB: 552.947 MNR: 0.0478879 GNR: 0.0418556 DICE: 0.0414231

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.6181 avgA: 431.641 avgB: 555.323 MNR: 0.0503148 GNR: 0.0438967 DICE: 0.0434306

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.7974 avgA: 434.488 avgB: 552.903 MNR: 0.0478755 GNR: 0.04197 DICE: 0.0415557

