# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 72.6982 avgA: 259.381 avgB: 417.134 MNR: 0.27042 GNR: 0.214229 DICE: 0.2079

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 73.156 avgA: 256.536 avgB: 423.598 MNR: 0.275189 GNR: 0.215325 DICE: 0.208281

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 77.2558 avgA: 264.446 avgB: 430.136 MNR: 0.282723 GNR: 0.22264 DICE: 0.21569

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 75.8568 avgA: 260.513 avgB: 431.164 MNR: 0.281315 GNR: 0.219807 DICE: 0.21261

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 75.798 avgA: 260.715 avgB: 429.104 MNR: 0.280462 GNR: 0.219898 DICE: 0.212791

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 74.7468 avgA: 256.425 avgB: 425.754 MNR: 0.282142 GNR: 0.219291 DICE: 0.211829

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 76.766 avgA: 262.068 avgB: 428.449 MNR: 0.282075 GNR: 0.221764 DICE: 0.214851

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 73.4066 avgA: 260.164 avgB: 424.593 MNR: 0.272655 GNR: 0.214122 DICE: 0.207385

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 75.4693 avgA: 260.201 avgB: 428.495 MNR: 0.279964 GNR: 0.219267 DICE: 0.212263

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 70.7801 avgA: 255.359 avgB: 420.9 MNR: 0.267669 GNR: 0.209708 DICE: 0.202941

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 75.6777 avgA: 261.028 avgB: 435.71 MNR: 0.279433 GNR: 0.217392 DICE: 0.210084

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 74.7302 avgA: 262.491 avgB: 426.785 MNR: 0.275634 GNR: 0.217036 DICE: 0.210245

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 75.4744 avgA: 260.543 avgB: 429.578 MNR: 0.278785 GNR: 0.21814 DICE: 0.211048

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 76.6432 avgA: 261.948 avgB: 426.575 MNR: 0.283212 GNR: 0.223105 DICE: 0.216166

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 72.5128 avgA: 256.9 avgB: 419.301 MNR: 0.273102 GNR: 0.214783 DICE: 0.207979

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 71.2059 avgA: 259.657 avgB: 422.606 MNR: 0.265702 GNR: 0.208701 DICE: 0.202094

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 74.1893 avgA: 260.614 avgB: 428.733 MNR: 0.275932 GNR: 0.216132 DICE: 0.209262

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 73.5831 avgA: 259.488 avgB: 427.11 MNR: 0.274814 GNR: 0.215432 DICE: 0.208519

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 75.5857 avgA: 264.402 avgB: 429.248 MNR: 0.27652 GNR: 0.218038 DICE: 0.211334

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 74.4476 avgA: 262.001 avgB: 431.682 MNR: 0.274799 GNR: 0.214904 DICE: 0.207936

