# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 149.85 avgA: 269.238 avgB: 409.164 MNR: 0.533372 GNR: 0.432031 DICE: 0.422237

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 154.168 avgA: 269.326 avgB: 413.471 MNR: 0.547043 GNR: 0.440938 DICE: 0.430544

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 149.428 avgA: 265.355 avgB: 413.739 MNR: 0.542002 GNR: 0.433524 DICE: 0.422564

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 154.582 avgA: 268.512 avgB: 413.17 MNR: 0.551618 GNR: 0.443951 DICE: 0.433353

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 150.361 avgA: 267.045 avgB: 411.642 MNR: 0.540905 GNR: 0.435412 DICE: 0.424995

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 145.951 avgA: 263.311 avgB: 403.257 MNR: 0.529801 GNR: 0.427749 DICE: 0.417808

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 150.37 avgA: 271.409 avgB: 415.806 MNR: 0.531258 GNR: 0.428597 DICE: 0.418604

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 146.688 avgA: 269.237 avgB: 412.197 MNR: 0.524186 GNR: 0.423378 DICE: 0.413573

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 150.294 avgA: 267.598 avgB: 408.097 MNR: 0.539317 GNR: 0.436459 DICE: 0.426534

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 149.5 avgA: 266.652 avgB: 412.098 MNR: 0.538854 GNR: 0.432849 DICE: 0.422366

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 146.691 avgA: 265.027 avgB: 405.15 MNR: 0.531421 GNR: 0.429311 DICE: 0.41941

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 153.637 avgA: 268.198 avgB: 413.54 MNR: 0.551067 GNR: 0.443244 DICE: 0.432579

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 148.408 avgA: 269.794 avgB: 411.052 MNR: 0.526753 GNR: 0.426622 DICE: 0.416944

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 151.136 avgA: 267.889 avgB: 411.093 MNR: 0.541114 GNR: 0.436259 DICE: 0.425921

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 143.967 avgA: 264.752 avgB: 405.448 MNR: 0.522661 GNR: 0.421894 DICE: 0.412044

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 151.939 avgA: 268.228 avgB: 415.812 MNR: 0.545571 GNR: 0.438078 DICE: 0.427351

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 150.008 avgA: 266.197 avgB: 409.918 MNR: 0.540231 GNR: 0.434593 DICE: 0.424163

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 146.806 avgA: 265.412 avgB: 407.266 MNR: 0.530128 GNR: 0.427565 DICE: 0.417456

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 147.972 avgA: 265.815 avgB: 413.723 MNR: 0.534628 GNR: 0.428278 DICE: 0.417608

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 147.618 avgA: 267.079 avgB: 410.373 MNR: 0.528116 GNR: 0.425705 DICE: 0.415674

