# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 121.207 avgA: 260.777 avgB: 557.676 MNR: 0.4514 GNR: 0.30852 DICE: 0.287283

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 119.253 avgA: 262.129 avgB: 555.083 MNR: 0.440424 GNR: 0.302691 DICE: 0.282436

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 123.128 avgA: 265.208 avgB: 553.95 MNR: 0.450096 GNR: 0.311733 DICE: 0.291644

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 121.619 avgA: 264.128 avgB: 559.15 MNR: 0.447038 GNR: 0.307112 DICE: 0.286502

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 119.885 avgA: 261.834 avgB: 555.441 MNR: 0.444125 GNR: 0.305068 DICE: 0.284581

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 119.4 avgA: 258.049 avgB: 555.591 MNR: 0.448723 GNR: 0.305637 DICE: 0.284248

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 118.67 avgA: 259.165 avgB: 556.815 MNR: 0.443177 GNR: 0.302468 DICE: 0.281523

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 120.402 avgA: 260.302 avgB: 554.201 MNR: 0.448962 GNR: 0.3076 DICE: 0.286691

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 119.665 avgA: 262.999 avgB: 556.317 MNR: 0.441496 GNR: 0.303285 DICE: 0.282905

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 117.357 avgA: 258.448 avgB: 557.07 MNR: 0.441276 GNR: 0.300482 DICE: 0.279436

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 121.295 avgA: 261.63 avgB: 556.601 MNR: 0.449745 GNR: 0.308177 DICE: 0.287228

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 118.146 avgA: 264.04 avgB: 554.877 MNR: 0.434366 GNR: 0.29974 DICE: 0.280061

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 118.91 avgA: 260.366 avgB: 556.56 MNR: 0.443835 GNR: 0.303449 DICE: 0.282606

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 122.982 avgA: 261.829 avgB: 558.027 MNR: 0.454885 GNR: 0.311514 DICE: 0.290292

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 119.231 avgA: 257.082 avgB: 548.957 MNR: 0.450432 GNR: 0.308271 DICE: 0.287195

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 120.223 avgA: 261.088 avgB: 556.51 MNR: 0.446549 GNR: 0.305701 DICE: 0.284829

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 120.636 avgA: 262.52 avgB: 555.26 MNR: 0.444488 GNR: 0.305522 DICE: 0.28508

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 116.661 avgA: 256.418 avgB: 546.05 MNR: 0.441861 GNR: 0.302764 DICE: 0.282173

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 121.066 avgA: 261.964 avgB: 554.252 MNR: 0.447819 GNR: 0.307757 DICE: 0.287129

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 124.999 avgA: 262.325 avgB: 558.634 MNR: 0.459702 GNR: 0.315122 DICE: 0.293778

