# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 54.9527 avgA: 268.575 avgB: 331.281 MNR: 0.194711 GNR: 0.172131 DICE: 0.170569

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.5754 avgA: 273.827 avgB: 344.881 MNR: 0.19621 GNR: 0.171998 DICE: 0.170235

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.7123 avgA: 272.831 avgB: 342.261 MNR: 0.197783 GNR: 0.173711 DICE: 0.171983

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.2813 avgA: 271.083 avgB: 335.763 MNR: 0.194108 GNR: 0.171474 DICE: 0.169884

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.3529 avgA: 274.751 avgB: 343.166 MNR: 0.194835 GNR: 0.171399 DICE: 0.169747

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 54.6598 avgA: 272.354 avgB: 335.098 MNR: 0.188874 GNR: 0.16731 DICE: 0.165882

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 53.6458 avgA: 271.882 avgB: 339.294 MNR: 0.187197 GNR: 0.164624 DICE: 0.163059

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.3555 avgA: 273.67 avgB: 335.505 MNR: 0.192199 GNR: 0.17051 DICE: 0.169

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.4488 avgA: 272.434 avgB: 340.345 MNR: 0.192638 GNR: 0.169487 DICE: 0.167884

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.8363 avgA: 269.807 avgB: 342.266 MNR: 0.200461 GNR: 0.175295 DICE: 0.173455

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 54.7059 avgA: 269.129 avgB: 331.927 MNR: 0.191652 GNR: 0.169071 DICE: 0.167502

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.1368 avgA: 275.037 avgB: 344.165 MNR: 0.195326 GNR: 0.171653 DICE: 0.17

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.7263 avgA: 277.685 avgB: 347.785 MNR: 0.194379 GNR: 0.170851 DICE: 0.169188

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 54.8082 avgA: 271.609 avgB: 336.858 MNR: 0.191603 GNR: 0.169052 DICE: 0.167461

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 54.2404 avgA: 270.766 avgB: 335.162 MNR: 0.190501 GNR: 0.168134 DICE: 0.166559

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.4962 avgA: 275.223 avgB: 342.651 MNR: 0.198071 GNR: 0.174719 DICE: 0.173098

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.2609 avgA: 272.528 avgB: 341.527 MNR: 0.192793 GNR: 0.169465 DICE: 0.167831

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.6419 avgA: 274.405 avgB: 338.299 MNR: 0.195604 GNR: 0.172827 DICE: 0.171251

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.3197 avgA: 268.382 avgB: 332.196 MNR: 0.194526 GNR: 0.171564 DICE: 0.169991

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.1752 avgA: 272.776 avgB: 341.629 MNR: 0.198087 GNR: 0.173996 DICE: 0.172306

