# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 60.6125 avgA: 253.664 avgB: 539.751 MNR: 0.233034 GNR: 0.15947 DICE: 0.148538

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 66.2289 avgA: 265.524 avgB: 557.352 MNR: 0.242287 GNR: 0.166888 DICE: 0.155797

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 65.1803 avgA: 260.565 avgB: 548.554 MNR: 0.242323 GNR: 0.166869 DICE: 0.155777

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 62.8836 avgA: 260.815 avgB: 550.345 MNR: 0.234939 GNR: 0.161674 DICE: 0.150883

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 64.5115 avgA: 262.275 avgB: 555.508 MNR: 0.239094 GNR: 0.164013 DICE: 0.152894

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 63.3389 avgA: 259.009 avgB: 538.359 MNR: 0.23916 GNR: 0.165639 DICE: 0.154949

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 63.7161 avgA: 260.761 avgB: 553.598 MNR: 0.23742 GNR: 0.162946 DICE: 0.151936

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 65.8517 avgA: 268.137 avgB: 559.798 MNR: 0.238243 GNR: 0.16479 DICE: 0.154052

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 65.867 avgA: 262.124 avgB: 557.997 MNR: 0.243421 GNR: 0.166863 DICE: 0.155499

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 64.179 avgA: 262.391 avgB: 550.465 MNR: 0.23812 GNR: 0.16424 DICE: 0.153375

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 62.0051 avgA: 250.728 avgB: 536.013 MNR: 0.240023 GNR: 0.163962 DICE: 0.152637

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 64.8568 avgA: 263.923 avgB: 551.876 MNR: 0.238971 GNR: 0.164903 DICE: 0.154048

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 64.445 avgA: 259.546 avgB: 547.821 MNR: 0.241437 GNR: 0.165891 DICE: 0.154711

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 63.243 avgA: 258.859 avgB: 546.404 MNR: 0.238105 GNR: 0.163498 DICE: 0.152479

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 62.243 avgA: 253.072 avgB: 534.928 MNR: 0.239191 GNR: 0.164469 DICE: 0.153455

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 60.1087 avgA: 262.251 avgB: 541.15 MNR: 0.224614 GNR: 0.156207 DICE: 0.146306

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 66.954 avgA: 260.036 avgB: 550.101 MNR: 0.251385 GNR: 0.172726 DICE: 0.161107

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 63.4309 avgA: 254.685 avgB: 535.776 MNR: 0.242928 GNR: 0.167326 DICE: 0.1562

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 64.3248 avgA: 257.543 avgB: 543.15 MNR: 0.242062 GNR: 0.166297 DICE: 0.155116

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 61.6343 avgA: 256.556 avgB: 539.115 MNR: 0.232816 GNR: 0.160456 DICE: 0.149833

