# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.63055 avgA: 314.674 avgB: 172.755 MNR: 0.0358805 GNR: 0.0262889 DICE: 0.0250278

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.56645 avgA: 353.643 avgB: 178.088 MNR: 0.0448759 GNR: 0.0315592 DICE: 0.0296624

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.71355 avgA: 351.563 avgB: 178.825 MNR: 0.0450703 GNR: 0.0319878 DICE: 0.030158

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.21548 avgA: 342.107 avgB: 164.942 MNR: 0.045948 GNR: 0.031584 DICE: 0.0294576

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.78982 avgA: 321.727 avgB: 176.747 MNR: 0.0354383 GNR: 0.0259256 DICE: 0.024667

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.47613 avgA: 353.938 avgB: 175.739 MNR: 0.0448719 GNR: 0.0313713 DICE: 0.0294319

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.07484 avgA: 346.63 avgB: 178.121 MNR: 0.0420011 GNR: 0.0299608 DICE: 0.0282924

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.34194 avgA: 352.914 avgB: 177.683 MNR: 0.0434738 GNR: 0.0306495 DICE: 0.0288357

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.17935 avgA: 348.257 avgB: 172.715 MNR: 0.0433498 GNR: 0.0303007 DICE: 0.0284314

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.12258 avgA: 351.796 avgB: 175.627 MNR: 0.0429716 GNR: 0.0301179 DICE: 0.0282751

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.69161 avgA: 358.564 avgB: 180.185 MNR: 0.0448505 GNR: 0.031546 DICE: 0.0296538

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.95953 avgA: 318.785 avgB: 174.859 MNR: 0.0371769 GNR: 0.0273188 DICE: 0.0260334

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.81548 avgA: 353.098 avgB: 177.588 MNR: 0.0460014 GNR: 0.0322639 DICE: 0.0302967

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.50653 avgA: 308.218 avgB: 173.183 MNR: 0.0349448 GNR: 0.0259059 DICE: 0.0247573

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.01935 avgA: 354.561 avgB: 178.728 MNR: 0.0416046 GNR: 0.0292176 DICE: 0.0274459

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.13032 avgA: 349.403 avgB: 177.345 MNR: 0.0426353 GNR: 0.0302028 DICE: 0.0284569

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.50452 avgA: 356.773 avgB: 178.288 MNR: 0.0444008 GNR: 0.0311604 DICE: 0.0292694

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.60444 avgA: 309.572 avgB: 173.384 MNR: 0.0349683 GNR: 0.0258892 DICE: 0.0247327

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.64129 avgA: 343.981 avgB: 173.049 MNR: 0.041327 GNR: 0.0290981 DICE: 0.0273591

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.16449 avgA: 324.933 avgB: 174.728 MNR: 0.0385285 GNR: 0.0279073 DICE: 0.0264762

