# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 126.684 avgA: 366.534 avgB: 350.052 MNR: 0.363984 GNR: 0.348217 DICE: 0.34773

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 126.32 avgA: 369.209 avgB: 351.852 MNR: 0.361303 GNR: 0.346149 DICE: 0.345678

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 128.203 avgA: 367.113 avgB: 352.965 MNR: 0.369161 GNR: 0.352507 DICE: 0.351975

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 125.514 avgA: 365.728 avgB: 345.411 MNR: 0.362775 GNR: 0.347593 DICE: 0.347089

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 127.32 avgA: 366.531 avgB: 351.74 MNR: 0.36641 GNR: 0.349682 DICE: 0.349135

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 124.717 avgA: 360.536 avgB: 345.268 MNR: 0.36559 GNR: 0.349093 DICE: 0.348568

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 123.814 avgA: 362.574 avgB: 350.33 MNR: 0.358214 GNR: 0.343226 DICE: 0.342769

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 126.517 avgA: 364.585 avgB: 352.666 MNR: 0.363824 GNR: 0.348525 DICE: 0.348067

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 125.722 avgA: 366.455 avgB: 351.609 MNR: 0.361334 GNR: 0.34551 DICE: 0.344994

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 128.877 avgA: 370.418 avgB: 353.125 MNR: 0.367457 GNR: 0.351446 DICE: 0.350951

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 124.791 avgA: 363.507 avgB: 343.383 MNR: 0.366511 GNR: 0.349112 DICE: 0.348516

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 129.476 avgA: 369.464 avgB: 351.291 MNR: 0.370485 GNR: 0.354253 DICE: 0.353735

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 125.823 avgA: 361.033 avgB: 346.761 MNR: 0.367111 GNR: 0.350541 DICE: 0.349995

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 125.542 avgA: 363.649 avgB: 343.283 MNR: 0.367897 GNR: 0.350777 DICE: 0.350164

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 126.248 avgA: 364.787 avgB: 349.371 MNR: 0.36536 GNR: 0.348521 DICE: 0.34794

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 125.727 avgA: 369.634 avgB: 348.216 MNR: 0.363119 GNR: 0.346171 DICE: 0.345546

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 128.359 avgA: 370.147 avgB: 354.976 MNR: 0.366268 GNR: 0.35077 DICE: 0.350279

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 125.501 avgA: 365.049 avgB: 346.389 MNR: 0.364011 GNR: 0.348368 DICE: 0.347884

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 127.458 avgA: 364.685 avgB: 352.349 MNR: 0.368217 GNR: 0.351994 DICE: 0.351485

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 125.095 avgA: 364.16 avgB: 342.574 MNR: 0.365385 GNR: 0.349264 DICE: 0.34872

