# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 127.329 avgA: 449.922 avgB: 375.04 MNR: 0.342098 GNR: 0.308893 DICE: 0.306677

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 126.75 avgA: 446.443 avgB: 375.299 MNR: 0.340309 GNR: 0.308797 DICE: 0.30672

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 127.481 avgA: 446.295 avgB: 372.496 MNR: 0.343662 GNR: 0.312 DICE: 0.309958

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 129.865 avgA: 454.014 avgB: 376.899 MNR: 0.344791 GNR: 0.312257 DICE: 0.31015

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 127.094 avgA: 443.708 avgB: 370.436 MNR: 0.343396 GNR: 0.311303 DICE: 0.309222

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 128.248 avgA: 448.049 avgB: 377.492 MNR: 0.341978 GNR: 0.31066 DICE: 0.30868

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 125.542 avgA: 447.305 avgB: 378.499 MNR: 0.334761 GNR: 0.304024 DICE: 0.302073

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 126.586 avgA: 451.673 avgB: 371.764 MNR: 0.341064 GNR: 0.307364 DICE: 0.305099

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 127.495 avgA: 443.59 avgB: 374.816 MNR: 0.340997 GNR: 0.311398 DICE: 0.309579

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 129.534 avgA: 453.194 avgB: 376.766 MNR: 0.346288 GNR: 0.312381 DICE: 0.310107

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 125.195 avgA: 443.641 avgB: 369.882 MNR: 0.340972 GNR: 0.308172 DICE: 0.305976

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 129.763 avgA: 452.586 avgB: 374.822 MNR: 0.346581 GNR: 0.313757 DICE: 0.311616

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 126.429 avgA: 444.905 avgB: 373.706 MNR: 0.340105 GNR: 0.30869 DICE: 0.306596

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 127.376 avgA: 450.254 avgB: 378.242 MNR: 0.338389 GNR: 0.307504 DICE: 0.30548

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 126.25 avgA: 443.943 avgB: 371.09 MNR: 0.342022 GNR: 0.309861 DICE: 0.30778

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 126.905 avgA: 447.489 avgB: 376.706 MNR: 0.337811 GNR: 0.307099 DICE: 0.305109

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 127.514 avgA: 449.745 avgB: 377.806 MNR: 0.338349 GNR: 0.307889 DICE: 0.305941

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 128.95 avgA: 449.591 avgB: 374.052 MNR: 0.346521 GNR: 0.313395 DICE: 0.311187

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 128.634 avgA: 447.184 avgB: 370.184 MNR: 0.349683 GNR: 0.314772 DICE: 0.31238

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 127.028 avgA: 447.312 avgB: 374.54 MNR: 0.340681 GNR: 0.309129 DICE: 0.307101

