# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 178.58 avgA: 226.939 avgB: 343.225 MNR: 0.778965 GNR: 0.627218 DICE: 0.612378

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 174.146 avgA: 222.562 avgB: 339.44 MNR: 0.78039 GNR: 0.626135 DICE: 0.610838

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 157.297 avgA: 199.957 avgB: 311.845 MNR: 0.78759 GNR: 0.625702 DICE: 0.609065

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 162.025 avgA: 208.771 avgB: 324.276 MNR: 0.776401 GNR: 0.618314 DICE: 0.602225

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 154.319 avgA: 202.427 avgB: 317.708 MNR: 0.737293 GNR: 0.583084 DICE: 0.566924

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 38.4887 avgA: 60.5068 avgB: 126.637 MNR: 0.528844 GNR: 0.286976 DICE: 0.241832

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 153.42 avgA: 201.13 avgB: 316.184 MNR: 0.755393 GNR: 0.59748 DICE: 0.581012

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 168.951 avgA: 218.321 avgB: 332.121 MNR: 0.768421 GNR: 0.617274 DICE: 0.602328

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 53.8949 avgA: 84.8478 avgB: 158.504 MNR: 0.34269 GNR: 0.224045 DICE: 0.203953

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 42.6719 avgA: 68.836 avgB: 143.146 MNR: 0.494839 GNR: 0.2879 DICE: 0.251094

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 53.5396 avgA: 84.1811 avgB: 149.015 MNR: 0.395806 GNR: 0.246785 DICE: 0.220466

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 50.806 avgA: 83.0936 avgB: 156.331 MNR: 0.37976 GNR: 0.247404 DICE: 0.224934

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 167.07 avgA: 213.108 avgB: 332.119 MNR: 0.781571 GNR: 0.621244 DICE: 0.604837

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 162.794 avgA: 206.928 avgB: 322.251 MNR: 0.785903 GNR: 0.62647 DICE: 0.610402

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 70.5416 avgA: 107.692 avgB: 202.957 MNR: 0.646592 GNR: 0.448107 DICE: 0.418387

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 160.36 avgA: 204.393 avgB: 318.333 MNR: 0.780248 GNR: 0.618933 DICE: 0.602228

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 61.1004 avgA: 94.0223 avgB: 172.714 MNR: 0.554333 GNR: 0.342078 DICE: 0.303892

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 58.311 avgA: 93.0276 avgB: 163.622 MNR: 0.388596 GNR: 0.248555 DICE: 0.22485

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 51.5941 avgA: 82.4723 avgB: 142.52 MNR: 0.389642 GNR: 0.246471 DICE: 0.221144

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 171.299 avgA: 218.811 avgB: 334.175 MNR: 0.779095 GNR: 0.625135 DICE: 0.609883

