# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.854545 avgA: 11.4227 avgB: 74.7136 MNR: 0.0837862 GNR: 0.0260272 DICE: 0.0162853
chA: 0 chB: 2 | avgC: 2.39467 avgA: 8.17433 avgB: 40.0969 MNR: 0.29142 GNR: 0.125207 DICE: 0.0924137
chA: 0 chB: 3 | avgC: 2.46973 avgA: 8.17433 avgB: 117.162 MNR: 0.348513 GNR: 0.0849881 DICE: 0.0447342
chA: 0 chB: 4 | avgC: 0.975728 avgA: 8.18204 avgB: 18.4757 MNR: 0.129636 GNR: 0.0753414 DICE: 0.0652038
chA: 1 chB: 2 | avgC: 4.256 avgA: 66.924 avgB: 45.276 MNR: 0.132168 GNR: 0.056849 DICE: 0.0430096
chA: 1 chB: 3 | avgC: 39.584 avgA: 66.924 avgB: 124.452 MNR: 0.602973 GNR: 0.284132 DICE: 0.230295
chA: 1 chB: 4 | avgC: 4.112 avgA: 66.924 avgB: 22.932 MNR: 0.131679 GNR: 0.0572929 DICE: 0.0424601
chA: 2 chB: 3 | avgC: 9.01348 avgA: 38.4135 avgB: 111.463 MNR: 0.214161 GNR: 0.124175 DICE: 0.107128
chA: 2 chB: 4 | avgC: 2.01802 avgA: 38.4482 avgB: 17.5405 MNR: 0.0812074 GNR: 0.0590777 DICE: 0.0558072
chA: 3 chB: 4 | avgC: 6.2545 avgA: 111.651 avgB: 17.5405 MNR: 0.272513 GNR: 0.105629 DICE: 0.0738595

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.669811 avgA: 10.0566 avgB: 75.2028 MNR: 0.05564 GNR: 0.0169712 DICE: 0.0103822
chA: 0 chB: 2 | avgC: 2.43836 avgA: 9.96347 avgB: 32.6073 MNR: 0.219264 GNR: 0.0983738 DICE: 0.0739279
chA: 0 chB: 3 | avgC: 1.67259 avgA: 7.01015 avgB: 134.698 MNR: 0.22733 GNR: 0.0446241 DICE: 0.0195488
chA: 0 chB: 4 | avgC: 0.77665 avgA: 7.01015 avgB: 19.3173 MNR: 0.108921 GNR: 0.0621677 DICE: 0.0535901
chA: 1 chB: 2 | avgC: 4.28571 avgA: 68.1218 avgB: 31.2983 MNR: 0.125576 GNR: 0.0780578 DICE: 0.0696851
chA: 1 chB: 3 | avgC: 38.1734 avgA: 65.4194 avgB: 126.766 MNR: 0.431469 GNR: 0.249373 DICE: 0.218457
chA: 1 chB: 4 | avgC: 3.31301 avgA: 65.8659 avgB: 22.1748 MNR: 0.111182 GNR: 0.051113 DICE: 0.0390219
