# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.51531 avgA: 114.405 avgB: 116.229 MNR: 0.043802 GNR: 0.0371948 DICE: 0.0364705

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.54153 avgA: 117.958 avgB: 122.347 MNR: 0.0416584 GNR: 0.036116 DICE: 0.035594

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.46959 avgA: 109.799 avgB: 113.515 MNR: 0.0424374 GNR: 0.0364258 DICE: 0.0358138

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.84686 avgA: 119.87 avgB: 121.887 MNR: 0.0438914 GNR: 0.0375528 DICE: 0.0368828

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.91012 avgA: 110.481 avgB: 115.815 MNR: 0.0413368 GNR: 0.0354539 DICE: 0.0348661

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.41617 avgA: 115.327 avgB: 118.349 MNR: 0.0413476 GNR: 0.035791 DICE: 0.0352589

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.07843 avgA: 111.96 avgB: 114.598 MNR: 0.0406058 GNR: 0.0348603 DICE: 0.0342946

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.4338 avgA: 115.091 avgB: 119.172 MNR: 0.042783 GNR: 0.037046 DICE: 0.0365151

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.1107 avgA: 124.406 avgB: 127.958 MNR: 0.0440859 GNR: 0.0381123 DICE: 0.0375497

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.06918 avgA: 109.512 avgB: 114.593 MNR: 0.0413638 GNR: 0.0356555 DICE: 0.035117

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.42531 avgA: 111.722 avgB: 116.744 MNR: 0.0436223 GNR: 0.0376443 DICE: 0.0370601

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.34633 avgA: 105.504 avgB: 108.637 MNR: 0.0401435 GNR: 0.0338063 DICE: 0.0331037

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.47764 avgA: 114.722 avgB: 118.446 MNR: 0.0423141 GNR: 0.0363895 DICE: 0.0358217

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.82772 avgA: 108.463 avgB: 113.55 MNR: 0.0398252 GNR: 0.034376 DICE: 0.0338543

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.61842 avgA: 118.029 avgB: 120.826 MNR: 0.0420029 GNR: 0.0363384 DICE: 0.0358025

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.00286 avgA: 113.148 avgB: 118.116 MNR: 0.040508 GNR: 0.034844 DICE: 0.0343018

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.65534 avgA: 116.033 avgB: 124.029 MNR: 0.042162 GNR: 0.036591 DICE: 0.0360721

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.07138 avgA: 105.869 avgB: 111.74 MNR: 0.0374513 GNR: 0.0323591 DICE: 0.0318756

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.15906 avgA: 114.12 avgB: 121.111 MNR: 0.0411381 GNR: 0.0356525 DICE: 0.0351492

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.17039 avgA: 106.306 avgB: 114.545 MNR: 0.0372098 GNR: 0.0320596 DICE: 0.0315711

