# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.1436 avgA: 150.587 avgB: 248.954 MNR: 0.0583654 GNR: 0.0454232 DICE: 0.0439011

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.9848 avgA: 149.65 avgB: 246.572 MNR: 0.0583788 GNR: 0.0455588 DICE: 0.0440605

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.2126 avgA: 150.261 avgB: 250.024 MNR: 0.0580269 GNR: 0.0449301 DICE: 0.0433685

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.3514 avgA: 149.966 avgB: 247.065 MNR: 0.0600019 GNR: 0.0465706 DICE: 0.0449774

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.2895 avgA: 149.617 avgB: 246.849 MNR: 0.0585918 GNR: 0.0454924 DICE: 0.0439515

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.9879 avgA: 149.322 avgB: 245.314 MNR: 0.0580713 GNR: 0.0453175 DICE: 0.043819

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.2697 avgA: 149.453 avgB: 246.582 MNR: 0.0584364 GNR: 0.0454156 DICE: 0.0438765

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.9676 avgA: 148.727 avgB: 244.556 MNR: 0.0586273 GNR: 0.0454906 DICE: 0.0439291

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.26 avgA: 150.174 avgB: 247.261 MNR: 0.0590014 GNR: 0.0459317 DICE: 0.0443945

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.6438 avgA: 147.98 avgB: 244.426 MNR: 0.0576812 GNR: 0.0448375 DICE: 0.0433257

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.0381 avgA: 150.43 avgB: 247.015 MNR: 0.0581204 GNR: 0.0452948 DICE: 0.043782

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.1853 avgA: 150.313 avgB: 246.137 MNR: 0.0584785 GNR: 0.0455012 DICE: 0.0439617

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.3772 avgA: 150.964 avgB: 249.419 MNR: 0.0594161 GNR: 0.0460781 DICE: 0.0444935

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.0723 avgA: 149.971 avgB: 247.557 MNR: 0.0577535 GNR: 0.0448656 DICE: 0.0433385

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.7907 avgA: 149.055 avgB: 244.872 MNR: 0.0573326 GNR: 0.0446247 DICE: 0.0431227

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.1395 avgA: 150.522 avgB: 247.95 MNR: 0.0586295 GNR: 0.0455576 DICE: 0.0440128

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.7947 avgA: 149.032 avgB: 243.883 MNR: 0.0581486 GNR: 0.0454467 DICE: 0.043957

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.8425 avgA: 148.072 avgB: 244.686 MNR: 0.0576583 GNR: 0.0447647 DICE: 0.043239

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.6021 avgA: 150.908 avgB: 250.279 MNR: 0.0591398 GNR: 0.0458431 DICE: 0.0442602

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.4426 avgA: 151.685 avgB: 250.247 MNR: 0.0598305 GNR: 0.0466051 DICE: 0.0450589

