# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.57782 avgA: 96.3663 avgB: 50.9273 MNR: 0.0294993 GNR: 0.02042 DICE: 0.0189736

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.65354 avgA: 90.2598 avgB: 89.2913 MNR: 0.0193674 GNR: 0.0148795 DICE: 0.0143253

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.00337 avgA: 91.2506 avgB: 46.6989 MNR: 0.0214387 GNR: 0.0137256 DICE: 0.0123996

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.9902 avgA: 114.804 avgB: 111.49 MNR: 0.0308916 GNR: 0.023608 DICE: 0.0227046

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.82439 avgA: 113.624 avgB: 62.1474 MNR: 0.029434 GNR: 0.0208655 DICE: 0.0195166

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.909774 avgA: 66.4211 avgB: 70.9211 MNR: 0.0112047 GNR: 0.00872032 DICE: 0.00842131

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.39645 avgA: 81.0533 avgB: 82.0592 MNR: 0.0164022 GNR: 0.0125991 DICE: 0.0121262

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.870792 avgA: 88.9163 avgB: 44.0355 MNR: 0.0182975 GNR: 0.0130767 DICE: 0.0122629

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.67914 avgA: 93.3209 avgB: 93.0802 MNR: 0.0188199 GNR: 0.0150187 DICE: 0.0145762

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.49863 avgA: 105.255 avgB: 56.3491 MNR: 0.0274123 GNR: 0.0184687 DICE: 0.0169688

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.25212 avgA: 104.529 avgB: 52.8829 MNR: 0.021743 GNR: 0.0153443 DICE: 0.014316

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.43307 avgA: 69.126 avgB: 71.4252 MNR: 0.0209378 GNR: 0.0162101 DICE: 0.0156177

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.40127 avgA: 107.033 avgB: 57.2985 MNR: 0.0269524 GNR: 0.0180832 DICE: 0.0165914

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.06522 avgA: 108.022 avgB: 103.663 MNR: 0.0253689 GNR: 0.0195582 DICE: 0.0188589

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.60113 avgA: 110.543 avgB: 59.0529 MNR: 0.0299869 GNR: 0.0190099 DICE: 0.0170812

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.58781 avgA: 109.805 avgB: 59.4258 MNR: 0.0259206 GNR: 0.017673 DICE: 0.0162706

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.971767 avgA: 87.265 avgB: 49.1758 MNR: 0.0177046 GNR: 0.0120314 DICE: 0.0111075

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.00819 avgA: 98.6724 avgB: 51.6524 MNR: 0.0190056 GNR: 0.0132362 DICE: 0.0122829

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.32682 avgA: 101.974 avgB: 49.6053 MNR: 0.0222663 GNR: 0.0143899 DICE: 0.0129719

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.24113 avgA: 104.117 avgB: 54.4722 MNR: 0.0225448 GNR: 0.0156168 DICE: 0.0144959

