# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.839854 avgA: 90.3995 avgB: 234.287 MNR: 0.0074221 GNR: 0.00455961 DICE: 0.00406037

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.749773 avgA: 88.616 avgB: 212.624 MNR: 0.00675883 GNR: 0.00415989 DICE: 0.00370889

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.88444 avgA: 81.5623 avgB: 220.954 MNR: 0.00858517 GNR: 0.00547981 DICE: 0.00496583

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.707916 avgA: 84.2812 avgB: 221.134 MNR: 0.0067957 GNR: 0.00432926 DICE: 0.0039173

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.791058 avgA: 76.2454 avgB: 199.137 MNR: 0.00829438 GNR: 0.00501355 DICE: 0.00443109

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.01547 avgA: 77.4832 avgB: 206.473 MNR: 0.00888539 GNR: 0.00559272 DICE: 0.00503639

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.466788 avgA: 77.3358 avgB: 203.842 MNR: 0.00442924 GNR: 0.00268702 DICE: 0.0023798

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.77707 avgA: 83.3985 avgB: 220.806 MNR: 0.00915609 GNR: 0.00534786 DICE: 0.00465532

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.631483 avgA: 76.9818 avgB: 203.789 MNR: 0.00714126 GNR: 0.00431746 DICE: 0.00382127

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.544708 avgA: 78.2828 avgB: 205.209 MNR: 0.00499284 GNR: 0.00311301 DICE: 0.00278838

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.66879 avgA: 78.8035 avgB: 197.931 MNR: 0.00611002 GNR: 0.00392265 DICE: 0.00355799

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.692448 avgA: 73.9718 avgB: 192.405 MNR: 0.00784062 GNR: 0.00508327 DICE: 0.00462936

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.751139 avgA: 80.4758 avgB: 216.368 MNR: 0.00798129 GNR: 0.00463715 DICE: 0.00403219

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.528662 avgA: 79.3749 avgB: 204.317 MNR: 0.00420548 GNR: 0.00271902 DICE: 0.00247441

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.621474 avgA: 74.4204 avgB: 181.525 MNR: 0.00624352 GNR: 0.00410451 DICE: 0.00375765

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.729927 avgA: 75.813 avgB: 202.509 MNR: 0.0070324 GNR: 0.00443108 DICE: 0.00399226

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.66697 avgA: 78.0965 avgB: 207.619 MNR: 0.00719829 GNR: 0.00443049 DICE: 0.00395092

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.520473 avgA: 79.3312 avgB: 200.563 MNR: 0.00486337 GNR: 0.00305561 DICE: 0.00274888

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.566879 avgA: 65.5723 avgB: 172.656 MNR: 0.00854379 GNR: 0.00479601 DICE: 0.00409992

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.376706 avgA: 76.1902 avgB: 200.268 MNR: 0.00441676 GNR: 0.0027033 DICE: 0.002405

