# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.23175 avgA: 27.9224 avgB: 152.906 MNR: 0.267901 GNR: 0.0971896 DICE: 0.0635914

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.1323 avgA: 28.0894 avgB: 155.335 MNR: 0.284199 GNR: 0.103618 DICE: 0.0681753

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.70712 avgA: 29.1478 avgB: 160.959 MNR: 0.268928 GNR: 0.0954192 DICE: 0.0623305

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.99909 avgA: 36.9453 avgB: 184.12 MNR: 0.28115 GNR: 0.104694 DICE: 0.0699839

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.46807 avgA: 34.8504 avgB: 171.021 MNR: 0.278459 GNR: 0.105071 DICE: 0.0711085

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.19434 avgA: 25.9133 avgB: 138.175 MNR: 0.22971 GNR: 0.0836939 DICE: 0.0548986

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.99818 avgA: 33.4489 avgB: 176.111 MNR: 0.181649 GNR: 0.0696182 DICE: 0.0475994

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.67062 avgA: 29.9252 avgB: 161.182 MNR: 0.190042 GNR: 0.0723535 DICE: 0.0489561

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.49086 avgA: 33.4506 avgB: 167.303 MNR: 0.242683 GNR: 0.0906091 DICE: 0.0611593

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.47993 avgA: 39.6697 avgB: 202.616 MNR: 0.217612 GNR: 0.0841953 DICE: 0.0580048

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.81843 avgA: 35.5794 avgB: 183.834 MNR: 0.263527 GNR: 0.101063 DICE: 0.0690066

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.33668 avgA: 34.2838 avgB: 171.818 MNR: 0.249311 GNR: 0.0964254 DICE: 0.0660766

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.07755 avgA: 34.5493 avgB: 177.651 MNR: 0.177572 GNR: 0.067814 DICE: 0.0463369

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.87318 avgA: 39.7044 avgB: 196.267 MNR: 0.221992 GNR: 0.0879769 DICE: 0.0613981

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.17518 avgA: 39.1797 avgB: 192.824 MNR: 0.262378 GNR: 0.103241 DICE: 0.0714735

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.43978 avgA: 35.8513 avgB: 175.94 MNR: 0.260835 GNR: 0.0996628 DICE: 0.0678359

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.70894 avgA: 34.3914 avgB: 178.803 MNR: 0.278624 GNR: 0.105256 DICE: 0.0714423

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.16606 avgA: 28.3786 avgB: 156.4 MNR: 0.304707 GNR: 0.108954 DICE: 0.0709036

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.58029 avgA: 34.6378 avgB: 177.693 MNR: 0.236143 GNR: 0.090142 DICE: 0.061257

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.19434 avgA: 34.3932 avgB: 172.363 MNR: 0.284301 GNR: 0.101877 DICE: 0.0666294

