# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.06005 avgA: 104.087 avgB: 122.864 MNR: 0.0612771 GNR: 0.050902 DICE: 0.0496932

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.48499 avgA: 102.828 avgB: 122.445 MNR: 0.0557733 GNR: 0.0458998 DICE: 0.0447249

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.94086 avgA: 99.4158 avgB: 116.282 MNR: 0.062258 GNR: 0.0515134 DICE: 0.0502969

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.9354 avgA: 106.182 avgB: 114.366 MNR: 0.0663807 GNR: 0.0545271 DICE: 0.0530608

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.59236 avgA: 108.203 avgB: 114.932 MNR: 0.054996 GNR: 0.0457859 DICE: 0.0446729

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.72702 avgA: 100.584 avgB: 110.134 MNR: 0.0635771 GNR: 0.0524637 DICE: 0.0510918

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.30118 avgA: 106.868 avgB: 123.994 MNR: 0.0620305 GNR: 0.0519621 DICE: 0.0508099

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.98089 avgA: 108.146 avgB: 124.52 MNR: 0.0574504 GNR: 0.0483164 DICE: 0.0472981

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.58144 avgA: 95.8653 avgB: 113.094 MNR: 0.0513476 GNR: 0.0424844 DICE: 0.0414672

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.11192 avgA: 104.501 avgB: 124.145 MNR: 0.0602849 GNR: 0.0502439 DICE: 0.0491349

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.70792 avgA: 109.435 avgB: 121.355 MNR: 0.0645283 GNR: 0.0551855 DICE: 0.0541799

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.10919 avgA: 95.3185 avgB: 113.716 MNR: 0.0565833 GNR: 0.0462909 DICE: 0.0450125

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.23996 avgA: 87.4564 avgB: 86.6102 MNR: 0.0468006 GNR: 0.0390571 DICE: 0.0382168

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.31847 avgA: 102.519 avgB: 117.077 MNR: 0.0558115 GNR: 0.047324 DICE: 0.046391

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.90355 avgA: 93.1074 avgB: 112.006 MNR: 0.054789 GNR: 0.0444353 DICE: 0.0431785

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.87079 avgA: 103.155 avgB: 125.043 MNR: 0.0596246 GNR: 0.0496191 DICE: 0.0484402

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.60146 avgA: 103.237 avgB: 116.828 MNR: 0.0592378 GNR: 0.0492136 DICE: 0.0480076

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.76979 avgA: 103.907 avgB: 116.241 MNR: 0.0612216 GNR: 0.0511635 DICE: 0.049978

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.404 avgA: 104.537 avgB: 121.348 MNR: 0.0640408 GNR: 0.0537213 DICE: 0.0526131

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.00819 avgA: 100.167 avgB: 118.443 MNR: 0.0649415 GNR: 0.0538854 DICE: 0.0526019

