# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.59667 avgA: 81.2747 avgB: 229.182 MNR: 0.00600351 GNR: 0.00345888 DICE: 0.00299052

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.628122 avgA: 84.1129 avgB: 224.869 MNR: 0.00714658 GNR: 0.00416933 DICE: 0.00362698

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.23497 avgA: 89.445 avgB: 244.011 MNR: 0.0119993 GNR: 0.0071841 DICE: 0.0063282

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.838113 avgA: 87.5134 avgB: 221.911 MNR: 0.00845824 GNR: 0.00505997 DICE: 0.00444864

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.08326 avgA: 86.5578 avgB: 238.278 MNR: 0.0105892 GNR: 0.0060763 DICE: 0.00524754

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.753006 avgA: 84.8196 avgB: 233.274 MNR: 0.0081751 GNR: 0.0045796 DICE: 0.00390474

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.745606 avgA: 83.494 avgB: 228.868 MNR: 0.0087147 GNR: 0.00484325 DICE: 0.00411739

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.14801 avgA: 83.5162 avgB: 233.065 MNR: 0.0128752 GNR: 0.00700731 DICE: 0.00589344

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.12211 avgA: 89.9325 avgB: 239.284 MNR: 0.0114118 GNR: 0.00664339 DICE: 0.00577423

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.59852 avgA: 83.3941 avgB: 236.212 MNR: 0.00573394 GNR: 0.00329875 DICE: 0.00284967

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.13321 avgA: 86.1388 avgB: 235.315 MNR: 0.0109889 GNR: 0.00618889 DICE: 0.00529209

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.730805 avgA: 84.9574 avgB: 238.423 MNR: 0.00718763 GNR: 0.00400782 DICE: 0.0034073

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.01573 avgA: 84.8464 avgB: 224.805 MNR: 0.0112213 GNR: 0.00645637 DICE: 0.00557843

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.598639 avgA: 91.0765 avgB: 216.687 MNR: 0.00616207 GNR: 0.00402039 DICE: 0.00367235

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.17761 avgA: 91.3108 avgB: 248.087 MNR: 0.0108944 GNR: 0.00627499 DICE: 0.00542234

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.86124 avgA: 80.518 avgB: 227.874 MNR: 0.00912189 GNR: 0.00500905 DICE: 0.00423403

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.952821 avgA: 88.9121 avgB: 251.401 MNR: 0.00899397 GNR: 0.00500351 DICE: 0.0042498

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.612396 avgA: 82.6013 avgB: 212.784 MNR: 0.0064781 GNR: 0.00384996 DICE: 0.00337898

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.973173 avgA: 82.0185 avgB: 225.78 MNR: 0.0107848 GNR: 0.00619535 DICE: 0.00534841

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.08603 avgA: 87.4579 avgB: 236.15 MNR: 0.0102528 GNR: 0.00600517 DICE: 0.00523439

