# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.346715 avgA: 108.238 avgB: 49.8266 MNR: 0.00559886 GNR: 0.00386636 DICE: 0.00359279

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.0705882 avgA: 117.557 avgB: 39.5686 MNR: 0.00146107 GNR: 0.000846138 DICE: 0.000731722

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.556285 avgA: 121.511 avgB: 54.8358 MNR: 0.00807401 GNR: 0.00584688 DICE: 0.00550055

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0 avgA: 94.1732 avgB: 41.4252 MNR: 0 GNR: 0 DICE: 0

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.414013 avgA: 112.52 avgB: 56.3221 MNR: 0.00662532 GNR: 0.00472973 DICE: 0.00443391

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.438547 avgA: 110.547 avgB: 53.2207 MNR: 0.0066006 GNR: 0.0047902 DICE: 0.00450813

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.0588235 avgA: 103.294 avgB: 45.6961 MNR: 0.00115058 GNR: 0.000714251 DICE: 0.000638326

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.441011 avgA: 114.023 avgB: 53.8764 MNR: 0.00592738 GNR: 0.00446585 DICE: 0.00425479

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.0610329 avgA: 127.122 avgB: 41.8592 MNR: 0.00135919 GNR: 0.000784385 DICE: 0.000676826

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.0380952 avgA: 104.286 avgB: 44.0381 MNR: 0.000580567 GNR: 0.00031387 DICE: 0.000262651

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.0277778 avgA: 109.333 avgB: 47.3611 MNR: 0.00056254 GNR: 0.000394457 DICE: 0.000368095

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.0363636 avgA: 107.736 avgB: 48.6636 MNR: 0.000755855 GNR: 0.000443449 DICE: 0.000387187

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.103343 avgA: 93.8116 avgB: 32.2006 MNR: 0.00225393 GNR: 0.00131198 DICE: 0.00113849

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.0471698 avgA: 112.632 avgB: 47.5566 MNR: 0.00106768 GNR: 0.000749336 DICE: 0.000702517

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.027027 avgA: 106.072 avgB: 46.1802 MNR: 0.000510814 GNR: 0.000265564 DICE: 0.000217765

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.122642 avgA: 106.811 avgB: 48.6132 MNR: 0.00259237 GNR: 0.00158066 DICE: 0.00139913

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.398887 avgA: 115.754 avgB: 54.8507 MNR: 0.0061966 GNR: 0.00444643 DICE: 0.00417482

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.306047 avgA: 115.516 avgB: 52.0344 MNR: 0.00511322 GNR: 0.00350952 DICE: 0.00325442

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.0232558 avgA: 99.6047 avgB: 33.3322 MNR: 0.000760642 GNR: 0.000418143 DICE: 0.00035306

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.110497 avgA: 100.914 avgB: 33.0718 MNR: 0.00373638 GNR: 0.00200131 DICE: 0.00167128

