# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.72491 avgA: 81.8476 avgB: 111.885 MNR: 0.0211885 GNR: 0.0182912 DICE: 0.0180604

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.37918 avgA: 76.539 avgB: 104.963 MNR: 0.0175624 GNR: 0.0152047 DICE: 0.0150139

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.40892 avgA: 78.4721 avgB: 104.714 MNR: 0.0172817 GNR: 0.015263 DICE: 0.0151147

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.55762 avgA: 77.6803 avgB: 103.305 MNR: 0.0195488 GNR: 0.0170132 DICE: 0.0168032

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.9777 avgA: 80.4089 avgB: 110.543 MNR: 0.0247135 GNR: 0.0215279 DICE: 0.0212708

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.68401 avgA: 77.803 avgB: 103.807 MNR: 0.0209202 GNR: 0.01823 DICE: 0.0180201

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.75093 avgA: 79.5242 avgB: 110.175 MNR: 0.0221719 GNR: 0.0191518 DICE: 0.0188944

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.33457 avgA: 75.0409 avgB: 101.896 MNR: 0.01698 GNR: 0.0148537 DICE: 0.0146829

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.34944 avgA: 77.223 avgB: 104.283 MNR: 0.0164763 GNR: 0.0144164 DICE: 0.0142575

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.7881 avgA: 83.7918 avgB: 113.662 MNR: 0.0202605 GNR: 0.0176835 DICE: 0.0174788

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.67658 avgA: 73.2416 avgB: 98.7955 MNR: 0.0223914 GNR: 0.0196458 DICE: 0.0194375

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.11896 avgA: 68.9665 avgB: 93.2305 MNR: 0.0156633 GNR: 0.0135493 DICE: 0.0133812

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.75093 avgA: 79.4535 avgB: 109.134 MNR: 0.0215073 GNR: 0.018425 DICE: 0.0181629

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.43866 avgA: 75.9665 avgB: 104.271 MNR: 0.0189179 GNR: 0.0162 DICE: 0.0159663

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.41636 avgA: 78.5948 avgB: 105.204 MNR: 0.0175274 GNR: 0.0154207 DICE: 0.0152558

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.42379 avgA: 74.2416 avgB: 100.491 MNR: 0.0184686 GNR: 0.0161612 DICE: 0.015983

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.77695 avgA: 79.4573 avgB: 107.859 MNR: 0.0225477 GNR: 0.019803 DICE: 0.019593

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.84015 avgA: 81.0297 avgB: 112.022 MNR: 0.0223436 GNR: 0.0190252 DICE: 0.0187406

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.6803 avgA: 74.5911 avgB: 100.903 MNR: 0.0224334 GNR: 0.0194089 DICE: 0.019164

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.91078 avgA: 75.7918 avgB: 103.275 MNR: 0.0253054 GNR: 0.0216441 DICE: 0.0213334

