# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.7695 avgA: 86.0446 avgB: 105.204 MNR: 0.131846 GNR: 0.114903 DICE: 0.113371

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.7063 avgA: 85.658 avgB: 106.628 MNR: 0.134157 GNR: 0.115848 DICE: 0.114138

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.1896 avgA: 81.7844 avgB: 100.639 MNR: 0.131847 GNR: 0.113356 DICE: 0.111562

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.539 avgA: 83.1561 avgB: 101.528 MNR: 0.1355 GNR: 0.118243 DICE: 0.11669

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.6543 avgA: 89.3048 avgB: 108.792 MNR: 0.125687 GNR: 0.109977 DICE: 0.10863

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.3755 avgA: 91.1152 avgB: 112.041 MNR: 0.130365 GNR: 0.11284 DICE: 0.111226

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.4758 avgA: 90.6171 avgB: 110.309 MNR: 0.13349 GNR: 0.116703 DICE: 0.115231

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.0186 avgA: 88.5836 avgB: 107.141 MNR: 0.122163 GNR: 0.106052 DICE: 0.10455

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.6617 avgA: 87.5019 avgB: 106.349 MNR: 0.127682 GNR: 0.112341 DICE: 0.110975

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.2379 avgA: 91.6022 avgB: 110.078 MNR: 0.128519 GNR: 0.113389 DICE: 0.112089

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.1673 avgA: 94.7546 avgB: 113.695 MNR: 0.135509 GNR: 0.118989 DICE: 0.117583

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 12.2416 avgA: 93.1673 avgB: 113.617 MNR: 0.138086 GNR: 0.121307 DICE: 0.119855

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.9257 avgA: 87.4907 avgB: 108.494 MNR: 0.130978 GNR: 0.113973 DICE: 0.112446

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.2788 avgA: 81.7658 avgB: 99.2416 MNR: 0.132198 GNR: 0.115191 DICE: 0.113649

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.1524 avgA: 82.1041 avgB: 100.807 MNR: 0.129897 GNR: 0.112394 DICE: 0.110797

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.5874 avgA: 89.4052 avgB: 108.465 MNR: 0.12594 GNR: 0.109832 DICE: 0.108402

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.4721 avgA: 89.2082 avgB: 110.457 MNR: 0.132951 GNR: 0.115836 DICE: 0.114347

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 11.368 avgA: 94.2751 avgB: 112.836 MNR: 0.12513 GNR: 0.110815 DICE: 0.109616

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.7844 avgA: 93.052 avgB: 113.454 MNR: 0.120443 GNR: 0.105882 DICE: 0.104733

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 10.7658 avgA: 91.0781 avgB: 111.558 MNR: 0.119305 GNR: 0.105415 DICE: 0.104235

