# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.96283 avgA: 77.5613 avgB: 148.896 MNR: 0.0385885 GNR: 0.0280222 DICE: 0.0265684

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.35316 avgA: 84.9517 avgB: 161.041 MNR: 0.0395706 GNR: 0.0289489 DICE: 0.0275042

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.03346 avgA: 85.0483 avgB: 161.717 MNR: 0.0353284 GNR: 0.0261276 DICE: 0.0249126

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.73234 avgA: 86.197 avgB: 166.807 MNR: 0.0434628 GNR: 0.0313079 DICE: 0.0296221

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.59851 avgA: 87.9108 avgB: 168.461 MNR: 0.0398407 GNR: 0.0290019 DICE: 0.0275222

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.6171 avgA: 88.7695 avgB: 171.368 MNR: 0.0405854 GNR: 0.0295243 DICE: 0.0280116

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.27881 avgA: 84.8067 avgB: 161.602 MNR: 0.0390062 GNR: 0.0284534 DICE: 0.0270061

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.51301 avgA: 88.2714 avgB: 170.059 MNR: 0.0409983 GNR: 0.0294508 DICE: 0.0278043

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.47212 avgA: 85.1822 avgB: 164.074 MNR: 0.04134 GNR: 0.0300423 DICE: 0.0284898

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.05576 avgA: 81.3978 avgB: 156.855 MNR: 0.0385276 GNR: 0.0278205 DICE: 0.0263186

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.52045 avgA: 88.2416 avgB: 172.855 MNR: 0.0406969 GNR: 0.0291865 DICE: 0.0275681

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.43866 avgA: 89.6394 avgB: 169.275 MNR: 0.0377733 GNR: 0.0276695 DICE: 0.0263016

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.50929 avgA: 83.3234 avgB: 163.442 MNR: 0.0429256 GNR: 0.0307961 DICE: 0.0290891

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.31599 avgA: 84.8364 avgB: 165.643 MNR: 0.0397551 GNR: 0.0287021 DICE: 0.0271738

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.43866 avgA: 88.8364 avgB: 170.323 MNR: 0.0373972 GNR: 0.0274055 DICE: 0.026067

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.67658 avgA: 86.513 avgB: 166.569 MNR: 0.0418698 GNR: 0.0303447 DICE: 0.0287473

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.91078 avgA: 81.2454 avgB: 155.725 MNR: 0.0361229 GNR: 0.0262026 DICE: 0.0248266

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.05948 avgA: 82.6543 avgB: 156 MNR: 0.0370472 GNR: 0.027209 DICE: 0.0258879

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.03346 avgA: 75.5353 avgB: 147.677 MNR: 0.040989 GNR: 0.0295096 DICE: 0.0279055

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.20074 avgA: 82.803 avgB: 157.684 MNR: 0.0394506 GNR: 0.0287937 DICE: 0.0273356

