# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 24.2655 avgA: 119.703 avgB: 211.072 MNR: 0.194395 GNR: 0.139957 DICE: 0.132165

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 30.9407 avgA: 127.502 avgB: 223.268 MNR: 0.204764 GNR: 0.149508 DICE: 0.141845

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.9352 avgA: 119.446 avgB: 208.734 MNR: 0.198834 GNR: 0.145091 DICE: 0.137618

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 31.6305 avgA: 131.255 avgB: 226.744 MNR: 0.20231 GNR: 0.149661 DICE: 0.142597

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 31.552 avgA: 133.089 avgB: 224.861 MNR: 0.202596 GNR: 0.151182 DICE: 0.144299

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 23.5894 avgA: 118.229 avgB: 205.285 MNR: 0.19154 GNR: 0.138857 DICE: 0.131399

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.3449 avgA: 123.357 avgB: 216.215 MNR: 0.196564 GNR: 0.143848 DICE: 0.136594

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 30.0684 avgA: 127.259 avgB: 216.944 MNR: 0.206938 GNR: 0.15316 DICE: 0.145818

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.3841 avgA: 125.177 avgB: 217.061 MNR: 0.196939 GNR: 0.144109 DICE: 0.136797

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.052 avgA: 122.804 avgB: 208.658 MNR: 0.196057 GNR: 0.146754 DICE: 0.140141

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 23.8568 avgA: 120.448 avgB: 210.778 MNR: 0.192959 GNR: 0.141618 DICE: 0.13458

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.7181 avgA: 124.27 avgB: 213.118 MNR: 0.198941 GNR: 0.148315 DICE: 0.141521

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.146 avgA: 125.756 avgB: 217.161 MNR: 0.197767 GNR: 0.147819 DICE: 0.14116

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.6505 avgA: 120.862 avgB: 207.536 MNR: 0.196474 GNR: 0.146193 DICE: 0.13942

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 31.6487 avgA: 133.322 avgB: 227.739 MNR: 0.199387 GNR: 0.149141 DICE: 0.142448

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.1606 avgA: 124.365 avgB: 215.468 MNR: 0.203282 GNR: 0.150323 DICE: 0.143206

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.4918 avgA: 123.361 avgB: 215.389 MNR: 0.200013 GNR: 0.146445 DICE: 0.139079

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.3641 avgA: 122.131 avgB: 207.846 MNR: 0.19727 GNR: 0.147861 DICE: 0.14128

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.8978 avgA: 119.594 avgB: 207.336 MNR: 0.202236 GNR: 0.149183 DICE: 0.141951

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.7053 avgA: 116.401 avgB: 200.209 MNR: 0.202112 GNR: 0.151259 DICE: 0.144467

