# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.38742 avgA: 88.1103 avgB: 124.892 MNR: 0.0631745 GNR: 0.0522128 DICE: 0.0509933

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.51869 avgA: 85.3364 avgB: 122.141 MNR: 0.0555313 GNR: 0.0468485 DICE: 0.0459178

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.12215 avgA: 86.5834 avgB: 119.342 MNR: 0.0615169 GNR: 0.0531383 DICE: 0.0522866

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.15799 avgA: 85.3196 avgB: 121.39 MNR: 0.0609624 GNR: 0.050364 DICE: 0.04918

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.23723 avgA: 93.5502 avgB: 131.217 MNR: 0.0629005 GNR: 0.052618 DICE: 0.0515201

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.61805 avgA: 88.1541 avgB: 127.249 MNR: 0.0605821 GNR: 0.049595 DICE: 0.048325

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.92616 avgA: 86.0064 avgB: 120.114 MNR: 0.0606608 GNR: 0.0516458 DICE: 0.0506505

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.3309 avgA: 90.3154 avgB: 127.559 MNR: 0.0626064 GNR: 0.0529044 DICE: 0.0518698

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.02552 avgA: 86.2944 avgB: 120.923 MNR: 0.0629666 GNR: 0.0531088 DICE: 0.0520433

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.58721 avgA: 84.3196 avgB: 120.765 MNR: 0.061658 GNR: 0.0507727 DICE: 0.049564

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.34366 avgA: 89.5998 avgB: 125.821 MNR: 0.0621221 GNR: 0.0523065 DICE: 0.0512915

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.27894 avgA: 88.052 avgB: 125.967 MNR: 0.0619523 GNR: 0.0514242 DICE: 0.0502917

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.56882 avgA: 88.7174 avgB: 125.454 MNR: 0.0575798 GNR: 0.0480265 DICE: 0.0470157

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.79398 avgA: 84.515 avgB: 121.345 MNR: 0.062457 GNR: 0.0512134 DICE: 0.0499295

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.20419 avgA: 87.7985 avgB: 124.212 MNR: 0.0616229 GNR: 0.0511018 DICE: 0.0499498

