# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.36737 avgA: 71.783 avgB: 97.9818 MNR: 0.0402039 GNR: 0.0330097 DICE: 0.0322682

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.47085 avgA: 78.991 avgB: 104.378 MNR: 0.0484178 GNR: 0.0365329 DICE: 0.0347394

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.04288 avgA: 59.4945 avgB: 82.8303 MNR: 0.0334024 GNR: 0.0265452 DICE: 0.0257293

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.14494 avgA: 68.4995 avgB: 98.835 MNR: 0.0405717 GNR: 0.0321871 DICE: 0.0312221

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.64084 avgA: 66.0848 avgB: 90.5798 MNR: 0.0450229 GNR: 0.036832 DICE: 0.0359631

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.23428 avgA: 70.0036 avgB: 95.144 MNR: 0.0417714 GNR: 0.034465 DICE: 0.0337049

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.10861 avgA: 71.0612 avgB: 94.3009 MNR: 0.0482407 GNR: 0.0412988 DICE: 0.0406197

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.17339 avgA: 58.9477 avgB: 85.3688 MNR: 0.0404245 GNR: 0.0301304 DICE: 0.0286102

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.09159 avgA: 75.5991 avgB: 101.161 MNR: 0.0308439 GNR: 0.025811 DICE: 0.0253144

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.45579 avgA: 66.7028 avgB: 93.9754 MNR: 0.0387156 GNR: 0.0306542 DICE: 0.0296625

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.15953 avgA: 71.0939 avgB: 98.8058 MNR: 0.0403378 GNR: 0.0327992 DICE: 0.031969

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.5449 avgA: 84.4734 avgB: 111.342 MNR: 0.0339132 GNR: 0.0286724 DICE: 0.0281755

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.75843 avgA: 71.1094 avgB: 96.5561 MNR: 0.0362602 GNR: 0.0300548 DICE: 0.0294259

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.33637 avgA: 68.5706 avgB: 92.7675 MNR: 0.0338983 GNR: 0.0282039 DICE: 0.0276196

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.54968 avgA: 67.8368 avgB: 91.2206 MNR: 0.0361107 GNR: 0.0301302 DICE: 0.029527

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.28624 avgA: 65.1431 avgB: 89.7539 MNR: 0.0378565 GNR: 0.0305934 DICE: 0.0297892

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.4722 avgA: 64.1486 avgB: 89.2352 MNR: 0.0441524 GNR: 0.0357559 DICE: 0.0348411

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.97721 avgA: 70.5871 avgB: 98.7129 MNR: 0.0487713 GNR: 0.0395823 DICE: 0.0385956

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.17958 avgA: 65.9708 avgB: 92.5287 MNR: 0.0388204 GNR: 0.0316361 DICE: 0.0308757

