# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.08128 avgA: 37.6237 avgB: 169.915 MNR: 0.0911272 GNR: 0.0419115 DICE: 0.0321699

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.90494 avgA: 30.4314 avgB: 148.331 MNR: 0.0935276 GNR: 0.0412409 DICE: 0.0307179

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.43796 avgA: 38.5164 avgB: 177.008 MNR: 0.0918365 GNR: 0.0421292 DICE: 0.0321147

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.42062 avgA: 43.7609 avgB: 194.911 MNR: 0.0869508 GNR: 0.0412738 DICE: 0.0321159

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.55292 avgA: 40.7044 avgB: 184.525 MNR: 0.0873036 GNR: 0.0406619 DICE: 0.0313462

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.70202 avgA: 39.2551 avgB: 158.712 MNR: 0.0858638 GNR: 0.0432526 DICE: 0.034917

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.2573 avgA: 37.9945 avgB: 181.018 MNR: 0.0913231 GNR: 0.0412039 DICE: 0.0310638

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.0511 avgA: 40.2345 avgB: 168.788 MNR: 0.10957 GNR: 0.0524457 DICE: 0.0411617

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.35101 avgA: 42.4744 avgB: 191.826 MNR: 0.099862 GNR: 0.0462598 DICE: 0.0355232

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.28467 avgA: 42.0949 avgB: 184.955 MNR: 0.085596 GNR: 0.0395778 DICE: 0.0304172

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.67336 avgA: 35.5812 avgB: 169.269 MNR: 0.096312 GNR: 0.0429962 DICE: 0.0322413

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.19343 avgA: 45.7765 avgB: 195.402 MNR: 0.0879692 GNR: 0.0420257 DICE: 0.0330001

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.72901 avgA: 42.3139 avgB: 186.409 MNR: 0.0958179 GNR: 0.0448006 DICE: 0.0345622

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.90602 avgA: 45.5356 avgB: 205.986 MNR: 0.0851856 GNR: 0.0397919 DICE: 0.0307297

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.34124 avgA: 46.9909 avgB: 204.275 MNR: 0.0942641 GNR: 0.0437546 DICE: 0.033721

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.35766 avgA: 36.7372 avgB: 170.67 MNR: 0.0778095 GNR: 0.0362457 DICE: 0.0279341

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.57117 avgA: 39.9991 avgB: 175.291 MNR: 0.0787895 GNR: 0.0364979 DICE: 0.0280782

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.38047 avgA: 48.3622 avgB: 201.945 MNR: 0.0978426 GNR: 0.0465845 DICE: 0.0363964

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.51734 avgA: 36.7847 avgB: 159.172 MNR: 0.0764693 GNR: 0.0351166 DICE: 0.0268329

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.8802 avgA: 39.6898 avgB: 161.132 MNR: 0.0741296 GNR: 0.0359716 DICE: 0.0284927

