# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 30.3675 avgA: 211.426 avgB: 223.37 MNR: 0.145481 GNR: 0.13255 DICE: 0.131738

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 24.5731 avgA: 174.61 avgB: 180.282 MNR: 0.143505 GNR: 0.130117 DICE: 0.129164

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 30.8837 avgA: 207.566 avgB: 219.308 MNR: 0.153578 GNR: 0.138725 DICE: 0.137713

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.9524 avgA: 202.43 avgB: 209.343 MNR: 0.142911 GNR: 0.129071 DICE: 0.12813

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.7708 avgA: 203.216 avgB: 207.051 MNR: 0.141369 GNR: 0.128278 DICE: 0.127421

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 23.3261 avgA: 184.349 avgB: 177.313 MNR: 0.130328 GNR: 0.118503 DICE: 0.117649

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.7961 avgA: 209.859 avgB: 212.537 MNR: 0.14276 GNR: 0.130234 DICE: 0.129418

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 30.4261 avgA: 182.432 avgB: 176.366 MNR: 0.163972 GNR: 0.147526 DICE: 0.146406

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.149 avgA: 219.675 avgB: 218.079 MNR: 0.133732 GNR: 0.123098 DICE: 0.122392

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.9701 avgA: 164.132 avgB: 155.609 MNR: 0.129867 GNR: 0.119293 DICE: 0.118537

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 31.4436 avgA: 217.638 avgB: 222.753 MNR: 0.150313 GNR: 0.135867 DICE: 0.134856

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 33.7105 avgA: 217.929 avgB: 229.809 MNR: 0.158986 GNR: 0.145321 DICE: 0.144455

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.5265 avgA: 198.031 avgB: 210.352 MNR: 0.132789 GNR: 0.120782 DICE: 0.12

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 34.5606 avgA: 231.297 avgB: 245.434 MNR: 0.157593 GNR: 0.142274 DICE: 0.141223

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 30.2721 avgA: 207.425 avgB: 215.714 MNR: 0.151722 GNR: 0.138074 DICE: 0.137209

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 32.4846 avgA: 209.13 avgB: 224.615 MNR: 0.161238 GNR: 0.145536 DICE: 0.144476

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 34.819 avgA: 232.168 avgB: 243.578 MNR: 0.155711 GNR: 0.141844 DICE: 0.140927

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 31.2438 avgA: 211.957 avgB: 224.411 MNR: 0.150193 GNR: 0.137519 DICE: 0.136648

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.8975 avgA: 215.48 avgB: 218.054 MNR: 0.13864 GNR: 0.126342 DICE: 0.125475

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 24.91 avgA: 184.38 avgB: 179.192 MNR: 0.140604 GNR: 0.126773 DICE: 0.125847

