# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 153.488 avgA: 240.321 avgB: 358.03 MNR: 0.638214 GNR: 0.517813 DICE: 0.505599

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 149.567 avgA: 236.426 avgB: 353.791 MNR: 0.63027 GNR: 0.511056 DICE: 0.499087

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 152.764 avgA: 242.326 avgB: 362.535 MNR: 0.629429 GNR: 0.510105 DICE: 0.498043

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 154.096 avgA: 242.598 avgB: 357.801 MNR: 0.632915 GNR: 0.517617 DICE: 0.5062

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 155.031 avgA: 245.103 avgB: 360.759 MNR: 0.631556 GNR: 0.516039 DICE: 0.504595

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 151.787 avgA: 239.096 avgB: 355.941 MNR: 0.635392 GNR: 0.515939 DICE: 0.503944

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 152.901 avgA: 240.982 avgB: 359.472 MNR: 0.633534 GNR: 0.513822 DICE: 0.50172

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 154.988 avgA: 241.242 avgB: 358.194 MNR: 0.64249 GNR: 0.522048 DICE: 0.509873

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 158.991 avgA: 249.373 avgB: 373.53 MNR: 0.637795 GNR: 0.5159 DICE: 0.503469

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 157.441 avgA: 248.094 avgB: 366.027 MNR: 0.631587 GNR: 0.515834 DICE: 0.504421

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 156.015 avgA: 244.983 avgB: 361.867 MNR: 0.635143 GNR: 0.518519 DICE: 0.507053

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 156.543 avgA: 245.269 avgB: 363.782 MNR: 0.638281 GNR: 0.519349 DICE: 0.507494

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 155.651 avgA: 244.799 avgB: 363.87 MNR: 0.635161 GNR: 0.516222 DICE: 0.504329

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 155.061 avgA: 249.066 avgB: 363.635 MNR: 0.619803 GNR: 0.508756 DICE: 0.498001

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 153.546 avgA: 240.565 avgB: 359.436 MNR: 0.637089 GNR: 0.516844 DICE: 0.50475

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 150.236 avgA: 238.277 avgB: 355.391 MNR: 0.629036 GNR: 0.511431 DICE: 0.499683

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 151.302 avgA: 239.281 avgB: 353.067 MNR: 0.629322 GNR: 0.51415 DICE: 0.502781

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 154.573 avgA: 244.252 avgB: 362.933 MNR: 0.631113 GNR: 0.514108 DICE: 0.50249

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 153.05 avgA: 241.945 avgB: 362.228 MNR: 0.63131 GNR: 0.511038 DICE: 0.49879

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 153.702 avgA: 243.926 avgB: 360.741 MNR: 0.625509 GNR: 0.51077 DICE: 0.499386

