# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.1204 avgA: 232.252 avgB: 249.002 MNR: 0.256338 GNR: 0.230177 DICE: 0.228433

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.4235 avgA: 227.209 avgB: 242.016 MNR: 0.263938 GNR: 0.235453 DICE: 0.233475

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 54.9679 avgA: 229.787 avgB: 243.697 MNR: 0.256649 GNR: 0.229619 DICE: 0.22778

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 53.3748 avgA: 226.334 avgB: 239.648 MNR: 0.256744 GNR: 0.227753 DICE: 0.225687

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.146 avgA: 233.007 avgB: 247.489 MNR: 0.25921 GNR: 0.23197 DICE: 0.230154

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.4132 avgA: 230.501 avgB: 248.039 MNR: 0.259126 GNR: 0.233057 DICE: 0.23137

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.5703 avgA: 229.456 avgB: 244.944 MNR: 0.257522 GNR: 0.230925 DICE: 0.229182

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.829 avgA: 228.793 avgB: 246.148 MNR: 0.258414 GNR: 0.233089 DICE: 0.231442

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 53.9812 avgA: 228.204 avgB: 241.185 MNR: 0.254107 GNR: 0.227668 DICE: 0.225841

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.109 avgA: 228.755 avgB: 242.642 MNR: 0.257311 GNR: 0.231536 DICE: 0.229867

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.1715 avgA: 230.199 avgB: 247.274 MNR: 0.25354 GNR: 0.228915 DICE: 0.227341

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.9274 avgA: 233.999 avgB: 248.888 MNR: 0.259874 GNR: 0.233315 DICE: 0.231538

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.0272 avgA: 230.527 avgB: 245.534 MNR: 0.266725 GNR: 0.237654 DICE: 0.23565

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.6572 avgA: 229.348 avgB: 244.898 MNR: 0.259097 GNR: 0.232407 DICE: 0.23065

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.4471 avgA: 230.754 avgB: 243.546 MNR: 0.262082 GNR: 0.232929 DICE: 0.2309

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 52.7964 avgA: 225.942 avgB: 242.376 MNR: 0.245825 GNR: 0.221373 DICE: 0.2198

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.9397 avgA: 228.939 avgB: 245.129 MNR: 0.261819 GNR: 0.234026 DICE: 0.232131

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 54.6572 avgA: 230.316 avgB: 244.301 MNR: 0.254615 GNR: 0.228229 DICE: 0.226448

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 55.1911 avgA: 232.212 avgB: 244.529 MNR: 0.25637 GNR: 0.229079 DICE: 0.227255

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 53.8233 avgA: 225.947 avgB: 245.799 MNR: 0.250964 GNR: 0.225535 DICE: 0.223847

