# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.53928 avgA: 238.617 avgB: 343.094 MNR: 0.0284417 GNR: 0.0225528 DICE: 0.0218638

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.47187 avgA: 239.674 avgB: 339.219 MNR: 0.027616 GNR: 0.0221399 DICE: 0.0214965

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.78119 avgA: 238.793 avgB: 341.998 MNR: 0.0301809 GNR: 0.0241357 DICE: 0.0234483

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.54105 avgA: 243.454 avgB: 348.367 MNR: 0.028289 GNR: 0.0226044 DICE: 0.0219535

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.56102 avgA: 239.236 avgB: 339.206 MNR: 0.0280631 GNR: 0.0224803 DICE: 0.0218361

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.15412 avgA: 241.406 avgB: 347.148 MNR: 0.026722 GNR: 0.0211115 DICE: 0.020441

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.71533 avgA: 244.607 avgB: 351.89 MNR: 0.0288871 GNR: 0.0229903 DICE: 0.022314

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.30334 avgA: 243.05 avgB: 346.96 MNR: 0.0268481 GNR: 0.0214477 DICE: 0.0208216

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.9489 avgA: 245.509 avgB: 346.321 MNR: 0.0295249 GNR: 0.023719 DICE: 0.0230592

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.77575 avgA: 240.418 avgB: 342.795 MNR: 0.029544 GNR: 0.0236375 DICE: 0.0229538

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.26339 avgA: 240.655 avgB: 341.014 MNR: 0.0267233 GNR: 0.0215293 DICE: 0.0209445

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.55193 avgA: 236.155 avgB: 341.484 MNR: 0.0289866 GNR: 0.02294 DICE: 0.0222262

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.45039 avgA: 241.757 avgB: 338.733 MNR: 0.0273559 GNR: 0.022057 DICE: 0.0214628

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.37194 avgA: 244.773 avgB: 346.652 MNR: 0.0270495 GNR: 0.0216259 DICE: 0.0210024

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.3414 avgA: 239.476 avgB: 339.056 MNR: 0.027658 GNR: 0.0220948 DICE: 0.0214414

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.66105 avgA: 239.85 avgB: 342.029 MNR: 0.0288058 GNR: 0.0230336 DICE: 0.0223761

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.34982 avgA: 242.045 avgB: 346.434 MNR: 0.0270045 GNR: 0.0216186 DICE: 0.0209987

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.82876 avgA: 242.778 avgB: 341.716 MNR: 0.028696 GNR: 0.0231623 DICE: 0.0225411

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.94781 avgA: 242.692 avgB: 345.861 MNR: 0.029752 GNR: 0.0240154 DICE: 0.0233744

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.86219 avgA: 242.009 avgB: 343.67 MNR: 0.029301 GNR: 0.0235623 DICE: 0.0229214

