# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 59.1424 avgA: 244.486 avgB: 370.317 MNR: 0.238196 GNR: 0.193129 DICE: 0.188675

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 59.8016 avgA: 243.036 avgB: 366.007 MNR: 0.241726 GNR: 0.196462 DICE: 0.19199

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.9166 avgA: 235.67 avgB: 355.345 MNR: 0.23789 GNR: 0.193258 DICE: 0.188807

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 61.1147 avgA: 245.063 avgB: 368.782 MNR: 0.24521 GNR: 0.199406 DICE: 0.194881

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.0867 avgA: 234.621 avgB: 360.728 MNR: 0.240241 GNR: 0.192883 DICE: 0.188003

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.7809 avgA: 239.501 avgB: 361.323 MNR: 0.237781 GNR: 0.192952 DICE: 0.188487

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 60.8225 avgA: 245.425 avgB: 369.225 MNR: 0.243671 GNR: 0.198252 DICE: 0.193798

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 59.9682 avgA: 241.56 avgB: 367.416 MNR: 0.244383 GNR: 0.197849 DICE: 0.193177

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 58.0769 avgA: 239.361 avgB: 364.334 MNR: 0.238604 GNR: 0.192941 DICE: 0.188339

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 58.9584 avgA: 243.373 avgB: 366.317 MNR: 0.238763 GNR: 0.194257 DICE: 0.189869

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 58.9312 avgA: 241.168 avgB: 365.127 MNR: 0.240836 GNR: 0.195337 DICE: 0.190816

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.1492 avgA: 236.141 avgB: 358.574 MNR: 0.238559 GNR: 0.193051 DICE: 0.188455

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 58.9519 avgA: 239.112 avgB: 360.439 MNR: 0.243156 GNR: 0.197673 DICE: 0.193161

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.3786 avgA: 239.819 avgB: 363.852 MNR: 0.236396 GNR: 0.191278 DICE: 0.186715

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.9984 avgA: 235.316 avgB: 361.758 MNR: 0.242876 GNR: 0.195506 DICE: 0.190652

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 58.3699 avgA: 240.022 avgB: 361.941 MNR: 0.239111 GNR: 0.194384 DICE: 0.189975

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.0152 avgA: 235.404 avgB: 359.739 MNR: 0.238881 GNR: 0.19259 DICE: 0.18785

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 58.4808 avgA: 235.659 avgB: 360.16 MNR: 0.24515 GNR: 0.197637 DICE: 0.192789

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 57.3444 avgA: 236.985 avgB: 356.32 MNR: 0.238339 GNR: 0.193997 DICE: 0.189606

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 58.2734 avgA: 239.49 avgB: 365.924 MNR: 0.23977 GNR: 0.193397 DICE: 0.18867

