# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.7206 avgA: 242.374 avgB: 356.742 MNR: 0.0803891 GNR: 0.0654376 DICE: 0.0638958

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.857 avgA: 245.499 avgB: 354.243 MNR: 0.0801817 GNR: 0.0665079 DICE: 0.0651426

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.1476 avgA: 241.186 avgB: 350.82 MNR: 0.0825257 GNR: 0.0678236 DICE: 0.0663316

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.9997 avgA: 243.206 avgB: 354.273 MNR: 0.0815328 GNR: 0.0668741 DICE: 0.0653844

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.9831 avgA: 241.82 avgB: 352.454 MNR: 0.0818917 GNR: 0.067174 DICE: 0.0656821

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.1503 avgA: 243.169 avgB: 354.428 MNR: 0.082041 GNR: 0.0676385 DICE: 0.0661271

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.255 avgA: 248.96 avgB: 362.375 MNR: 0.0842409 GNR: 0.0692025 DICE: 0.0676909

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.8445 avgA: 246.33 avgB: 356.349 MNR: 0.0844818 GNR: 0.0695477 DICE: 0.0680411

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.9228 avgA: 242.917 avgB: 350.737 MNR: 0.0813534 GNR: 0.0674876 DICE: 0.0661086

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.1886 avgA: 246.078 avgB: 366.993 MNR: 0.0849297 GNR: 0.0685374 DICE: 0.066818

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.3591 avgA: 244.396 avgB: 359.452 MNR: 0.0819594 GNR: 0.0669631 DICE: 0.0654157

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.0935 avgA: 242.835 avgB: 355.701 MNR: 0.0823097 GNR: 0.0673305 DICE: 0.0657705

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.0805 avgA: 243.996 avgB: 352.791 MNR: 0.0817468 GNR: 0.0676853 DICE: 0.0662576

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.062 avgA: 242.158 avgB: 350.299 MNR: 0.077598 GNR: 0.0640991 DICE: 0.0627436

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.1095 avgA: 244.828 avgB: 355.305 MNR: 0.0817744 GNR: 0.0674822 DICE: 0.0660054

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.3884 avgA: 242.987 avgB: 351.007 MNR: 0.0791382 GNR: 0.0657099 DICE: 0.0643615

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.3743 avgA: 245.567 avgB: 354.581 MNR: 0.0783329 GNR: 0.0646382 DICE: 0.0632508

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.1036 avgA: 247.271 avgB: 361.396 MNR: 0.0842158 GNR: 0.0691888 DICE: 0.0676796

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.0424 avgA: 242.628 avgB: 355.859 MNR: 0.081992 GNR: 0.0669292 DICE: 0.0653667

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.9073 avgA: 244.278 avgB: 362.865 MNR: 0.0845552 GNR: 0.0684473 DICE: 0.0667736

