# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.4685 avgA: 112.988 avgB: 163.199 MNR: 0.132356 GNR: 0.109564 DICE: 0.107223
chA: 0 chB: 2 | avgC: 49.5774 avgA: 112.988 avgB: 161.146 MNR: 0.395599 GNR: 0.328665 DICE: 0.322204
chA: 0 chB: 3 | avgC: 28.3043 avgA: 112.988 avgB: 243.152 MNR: 0.231986 GNR: 0.158515 DICE: 0.147296
chA: 0 chB: 4 | avgC: 17.7603 avgA: 112.988 avgB: 171.058 MNR: 0.140245 GNR: 0.112392 DICE: 0.109322
chA: 0 chB: 5 | avgC: 12.3302 avgA: 112.988 avgB: 223.753 MNR: 0.0943567 GNR: 0.0670951 DICE: 0.0632794
chA: 1 chB: 2 | avgC: 23.6177 avgA: 163.199 avgB: 161.146 MNR: 0.143188 GNR: 0.131705 DICE: 0.130856
chA: 1 chB: 3 | avgC: 103.063 avgA: 163.199 avgB: 243.152 MNR: 0.603986 GNR: 0.48881 DICE: 0.476849
chA: 1 chB: 4 | avgC: 35.3663 avgA: 163.199 avgB: 171.058 MNR: 0.212829 GNR: 0.192391 DICE: 0.190885
chA: 1 chB: 5 | avgC: 4.16522 avgA: 163.199 avgB: 223.753 MNR: 0.0231583 GNR: 0.0187607 DICE: 0.0182718
chA: 2 chB: 3 | avgC: 37.1731 avgA: 161.146 avgB: 243.152 MNR: 0.213724 GNR: 0.172308 DICE: 0.167695
chA: 2 chB: 4 | avgC: 28.8065 avgA: 161.146 avgB: 171.058 MNR: 0.175308 GNR: 0.159298 DICE: 0.158174
chA: 2 chB: 5 | avgC: 10.6636 avgA: 161.146 avgB: 223.753 MNR: 0.0592558 GNR: 0.0496356 DICE: 0.0486565
chA: 3 chB: 4 | avgC: 54.7052 avgA: 243.152 avgB: 171.058 MNR: 0.317451 GNR: 0.257015 DICE: 0.250267
chA: 3 chB: 5 | avgC: 6.60978 avgA: 243.152 avgB: 223.753 MNR: 0.0314149 GNR: 0.0280145 DICE: 0.0277551
chA: 4 chB: 5 | avgC: 5.61576 avgA: 171.058 avgB: 223.753 MNR: 0.0307867 GNR: 0.0260965 DICE: 0.0256628

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.9514 avgA: 116.396 avgB: 168.734 MNR: 0.149298 GNR: 0.12199 DICE: 0.119121
chA: 0 chB: 2 | avgC: 53.6505 avgA: 116.396 avgB: 169.193 MNR: 0.438367 GNR: 0.357894 DICE: 0.349303
chA: 0 chB: 3 | avgC: 29.7163 avgA: 116.396 avgB: 249.778 MNR: 0.240564 GNR: 0.164074 DICE: 0.152376
chA: 0 chB: 4 | avgC: 19.1068 avgA: 116.396 avgB: 176.479 MNR: 0.153464 GNR: 0.123286 DICE: 0.120021
chA: 0 chB: 5 | avgC: 13.2375 avgA: 116.396 avgB: 237.611 MNR: 0.103308 GNR: 0.0720968 DICE: 0.0675438
chA: 1 chB: 2 | avgC: 26.0791 avgA: 168.734 avgB: 169.193 MNR: 0.159258 GNR: 0.144695 DICE: 0.143612
chA: 1 chB: 3 | avgC: 107.87 avgA: 168.734 avgB: 249.778 MNR: 0.618218 GNR: 0.502805 DICE: 0.490985
chA: 1 chB: 4 | avgC: 37.9639 avgA: 168.734 avgB: 176.479 MNR: 0.22645 GNR: 0.205285 DICE: 0.203726
chA: 1 chB: 5 | avgC: 4.74076 avgA: 168.734 avgB: 237.611 MNR: 0.0270763 GNR: 0.021963 DICE: 0.0214072
chA: 2 chB: 3 | avgC: 39.819 avgA: 169.193 avgB: 249.778 MNR: 0.226416 GNR: 0.184597 DICE: 0.180101
chA: 2 chB: 4 | avgC: 31.5424 avgA: 169.193 avgB: 176.479 MNR: 0.193643 GNR: 0.173881 DICE: 0.172438
chA: 2 chB: 5 | avgC: 11.6913 avgA: 169.193 avgB: 237.611 MNR: 0.0641658 GNR: 0.0532918 DICE: 0.0521677
chA: 3 chB: 4 | avgC: 55.9003 avgA: 249.778 avgB: 176.479 MNR: 0.312826 GNR: 0.256171 DICE: 0.250089
chA: 3 chB: 5 | avgC: 6.69755 avgA: 249.778 avgB: 237.61 MNR: 0.028008 GNR: 0.0259228 DICE: 0.0257917
chA: 4 chB: 5 | avgC: 5.79565 avgA: 176.479 avgB: 237.61 MNR: 0.0312824 GNR: 0.026011 DICE: 0.0254842

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.4101 avgA: 117.525 avgB: 169.661 MNR: 0.139832 GNR: 0.115226 DICE: 0.112699
chA: 0 chB: 2 | avgC: 54.0878 avgA: 117.525 avgB: 169.452 MNR: 0.426472 GNR: 0.351218 DICE: 0.343846
chA: 0 chB: 3 | avgC: 30.9908 avgA: 117.525 avgB: 251.747 MNR: 0.251513 GNR: 0.17169 DICE: 0.159479
chA: 0 chB: 4 | avgC: 18.6408 avgA: 117.525 avgB: 172.726 MNR: 0.143414 GNR: 0.116863 DICE: 0.114049
chA: 0 chB: 5 | avgC: 13.0179 avgA: 117.525 avgB: 241.569 MNR: 0.100475 GNR: 0.0696491 DICE: 0.0650845
chA: 1 chB: 2 | avgC: 26.7293 avgA: 169.661 avgB: 169.452 MNR: 0.157757 GNR: 0.144283 DICE: 0.14329
chA: 1 chB: 3 | avgC: 110.312 avgA: 169.661 avgB: 251.747 MNR: 0.625311 GNR: 0.507503 DICE: 0.495405
chA: 1 chB: 4 | avgC: 36.6334 avgA: 169.661 avgB: 172.726 MNR: 0.21762 GNR: 0.195144 DICE: 0.193484
chA: 1 chB: 5 | avgC: 4.28179 avgA: 169.661 avgB: 241.569 MNR: 0.0239539 GNR: 0.0191984 DICE: 0.0186536
chA: 2 chB: 3 | avgC: 40.9255 avgA: 169.452 avgB: 251.747 MNR: 0.227966 GNR: 0.184618 DICE: 0.179899
chA: 2 chB: 4 | avgC: 30.3524 avgA: 169.452 avgB: 172.726 MNR: 0.184302 GNR: 0.164846 DICE: 0.163273
chA: 2 chB: 5 | avgC: 11.5573 avgA: 169.452 avgB: 241.569 MNR: 0.0621261 GNR: 0.0509374 DICE: 0.0497429
chA: 3 chB: 4 | avgC: 56.9946 avgA: 251.747 avgB: 172.726 MNR: 0.327688 GNR: 0.262832 DICE: 0.255244
chA: 3 chB: 5 | avgC: 7.33505 avgA: 251.747 avgB: 241.569 MNR: 0.0304891 GNR: 0.028054 DICE: 0.0278904
chA: 4 chB: 5 | avgC: 5.77554 avgA: 172.726 avgB: 241.569 MNR: 0.0328386 GNR: 0.0263053 DICE: 0.0255271

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.2109 avgA: 120.437 avgB: 172.078 MNR: 0.132143 GNR: 0.10893 DICE: 0.106503
chA: 0 chB: 2 | avgC: 54.516 avgA: 120.437 avgB: 172.665 MNR: 0.424906 GNR: 0.351813 DICE: 0.344691
chA: 0 chB: 3 | avgC: 30.3465 avgA: 120.437 avgB: 255.031 MNR: 0.237343 GNR: 0.162371 DICE: 0.150939
chA: 0 chB: 4 | avgC: 18.1538 avgA: 120.437 avgB: 178.387 MNR: 0.138436 GNR: 0.111709 DICE: 0.108766
chA: 0 chB: 5 | avgC: 13.9535 avgA: 120.437 avgB: 246.386 MNR: 0.106043 GNR: 0.0739584 DICE: 0.0692752
chA: 1 chB: 2 | avgC: 26.3937 avgA: 172.078 avgB: 172.665 MNR: 0.154179 GNR: 0.140455 DICE: 0.139397
chA: 1 chB: 3 | avgC: 111.032 avgA: 172.078 avgB: 255.031 MNR: 0.620024 GNR: 0.503157 DICE: 0.490748
chA: 1 chB: 4 | avgC: 38.6182 avgA: 172.078 avgB: 178.387 MNR: 0.224432 GNR: 0.204156 DICE: 0.20275
chA: 1 chB: 5 | avgC: 4.63995 avgA: 172.078 avgB: 246.386 MNR: 0.0265847 GNR: 0.0209203 DICE: 0.0202185
chA: 2 chB: 3 | avgC: 41.2582 avgA: 172.665 avgB: 255.031 MNR: 0.227936 GNR: 0.185463 DICE: 0.180876
chA: 2 chB: 4 | avgC: 32.1266 avgA: 172.665 avgB: 178.387 MNR: 0.18861 GNR: 0.171205 DICE: 0.169979
chA: 2 chB: 5 | avgC: 12.5114 avgA: 172.665 avgB: 246.386 MNR: 0.0673071 GNR: 0.0554808 DICE: 0.0542609
chA: 3 chB: 4 | avgC: 58.006 avgA: 255.031 avgB: 178.387 MNR: 0.322111 GNR: 0.261285 DICE: 0.254431
chA: 3 chB: 5 | avgC: 7.47201 avgA: 255.031 avgB: 246.386 MNR: 0.0302547 GNR: 0.0281183 DICE: 0.0279858
chA: 4 chB: 5 | avgC: 6.04973 avgA: 178.387 avgB: 246.386 MNR: 0.032294 GNR: 0.0265856 DICE: 0.0259562

