# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 69.8535 avgA: 302.094 avgB: 268.065 MNR: 0.273986 GNR: 0.243302 DICE: 0.240702

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 68.6832 avgA: 298.856 avgB: 268.68 MNR: 0.27179 GNR: 0.241142 DICE: 0.238623

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 70.6625 avgA: 306.21 avgB: 270.037 MNR: 0.281427 GNR: 0.245405 DICE: 0.241868

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 69.5511 avgA: 305.442 avgB: 272.342 MNR: 0.272187 GNR: 0.240044 DICE: 0.23728

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 69.9046 avgA: 299.101 avgB: 270.827 MNR: 0.275909 GNR: 0.24396 DICE: 0.241316

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 69.7886 avgA: 302.367 avgB: 269.803 MNR: 0.278091 GNR: 0.243388 DICE: 0.240173

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 69.5565 avgA: 299.678 avgB: 269.966 MNR: 0.275021 GNR: 0.243529 DICE: 0.240934

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 69.9639 avgA: 301.748 avgB: 269.738 MNR: 0.277766 GNR: 0.244482 DICE: 0.241471

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 68.0272 avgA: 302.164 avgB: 269.296 MNR: 0.26903 GNR: 0.237254 DICE: 0.234447

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 70.3408 avgA: 304.054 avgB: 272.448 MNR: 0.273123 GNR: 0.242373 DICE: 0.2398

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 70.0563 avgA: 302.1 avgB: 269.631 MNR: 0.278773 GNR: 0.245196 DICE: 0.24216

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 70.0495 avgA: 303.282 avgB: 273.947 MNR: 0.272567 GNR: 0.241642 DICE: 0.239027

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 70.3155 avgA: 302.06 avgB: 269.578 MNR: 0.277406 GNR: 0.245416 DICE: 0.242737

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 69.222 avgA: 297.437 avgB: 266.064 MNR: 0.277122 GNR: 0.24523 DICE: 0.242511

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 68.8519 avgA: 302.744 avgB: 268.902 MNR: 0.270829 GNR: 0.240105 DICE: 0.237494

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 69.0177 avgA: 299.771 avgB: 267.515 MNR: 0.276499 GNR: 0.242812 DICE: 0.239728

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 70.3601 avgA: 301.5 avgB: 271.46 MNR: 0.277666 GNR: 0.245505 DICE: 0.24278

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 68.6549 avgA: 297.174 avgB: 264.172 MNR: 0.278117 GNR: 0.244515 DICE: 0.241545

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 69.4454 avgA: 304.516 avgB: 272.169 MNR: 0.271722 GNR: 0.240349 DICE: 0.237713

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 68.9826 avgA: 300.437 avgB: 269.602 MNR: 0.270982 GNR: 0.240825 DICE: 0.238365

