# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.8035 avgA: 171.889 avgB: 255.045 MNR: 0.171361 GNR: 0.140493 DICE: 0.13727

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.5714 avgA: 173.214 avgB: 252.803 MNR: 0.167544 GNR: 0.138397 DICE: 0.135432

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.6291 avgA: 174.611 avgB: 257.93 MNR: 0.16747 GNR: 0.137508 DICE: 0.13442

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.1198 avgA: 171.812 avgB: 254.981 MNR: 0.166396 GNR: 0.13643 DICE: 0.133346

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.7924 avgA: 173.57 avgB: 256.942 MNR: 0.163057 GNR: 0.133613 DICE: 0.130543

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 30.2457 avgA: 174.004 avgB: 262.906 MNR: 0.170883 GNR: 0.138646 DICE: 0.135245

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.7427 avgA: 172.712 avgB: 258.396 MNR: 0.164262 GNR: 0.133664 DICE: 0.130409

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.8769 avgA: 170.752 avgB: 253.791 MNR: 0.165856 GNR: 0.13614 DICE: 0.133051

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.6024 avgA: 172.42 avgB: 258.758 MNR: 0.162766 GNR: 0.132583 DICE: 0.129354

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.8793 avgA: 170.962 avgB: 256.233 MNR: 0.165516 GNR: 0.135388 DICE: 0.132227

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.8666 avgA: 172.296 avgB: 255.255 MNR: 0.165685 GNR: 0.135723 DICE: 0.132584

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.2228 avgA: 174.421 avgB: 257.834 MNR: 0.164247 GNR: 0.134721 DICE: 0.131652

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.9478 avgA: 170.917 avgB: 258.298 MNR: 0.161435 GNR: 0.130628 DICE: 0.127247

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.9438 avgA: 172.734 avgB: 256.065 MNR: 0.159078 GNR: 0.130427 DICE: 0.127419

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.2519 avgA: 172.397 avgB: 257.802 MNR: 0.165701 GNR: 0.135634 DICE: 0.132475

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.0092 avgA: 172.737 avgB: 253.733 MNR: 0.164127 GNR: 0.135303 DICE: 0.13236

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.9413 avgA: 176.037 avgB: 259.721 MNR: 0.167214 GNR: 0.137265 DICE: 0.13414

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.6639 avgA: 171.599 avgB: 253.49 MNR: 0.164215 GNR: 0.13448 DICE: 0.131383

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.6467 avgA: 172.91 avgB: 254.61 MNR: 0.162889 GNR: 0.133313 DICE: 0.130242

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.4747 avgA: 173.154 avgB: 256.627 MNR: 0.162211 GNR: 0.132907 DICE: 0.129848

