# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 85.3869 avgA: 174.943 avgB: 256.383 MNR: 0.472325 GNR: 0.388099 DICE: 0.379872

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 90.7174 avgA: 180.301 avgB: 267.011 MNR: 0.491903 GNR: 0.402689 DICE: 0.393933

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 89.951 avgA: 179.127 avgB: 268.768 MNR: 0.491154 GNR: 0.39889 DICE: 0.389441

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 87.3868 avgA: 175.988 avgB: 261.977 MNR: 0.484136 GNR: 0.395402 DICE: 0.386608

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 91.5501 avgA: 180.124 avgB: 265.451 MNR: 0.498244 GNR: 0.408263 DICE: 0.399529

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 88.3289 avgA: 178.344 avgB: 262.216 MNR: 0.486042 GNR: 0.399639 DICE: 0.391267

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 89.3547 avgA: 179.36 avgB: 265.773 MNR: 0.485205 GNR: 0.396887 DICE: 0.388219

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 87.3806 avgA: 176.814 avgB: 260.52 MNR: 0.484241 GNR: 0.396898 DICE: 0.388296

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 86.7454 avgA: 175.34 avgB: 262.371 MNR: 0.484231 GNR: 0.394201 DICE: 0.385055

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 88.6673 avgA: 176.745 avgB: 265.594 MNR: 0.490722 GNR: 0.398561 DICE: 0.389254

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 89.0201 avgA: 179.164 avgB: 267.721 MNR: 0.4876 GNR: 0.397308 DICE: 0.38823

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 90.2081 avgA: 180.454 avgB: 269.067 MNR: 0.490329 GNR: 0.399806 DICE: 0.390813

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 90.2707 avgA: 180.147 avgB: 268.174 MNR: 0.490479 GNR: 0.400508 DICE: 0.391578

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 87.0759 avgA: 175.588 avgB: 263.227 MNR: 0.486044 GNR: 0.394946 DICE: 0.385679

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 88.7361 avgA: 176.157 avgB: 264.362 MNR: 0.492754 GNR: 0.400447 DICE: 0.390894

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 88.6785 avgA: 176.26 avgB: 260.365 MNR: 0.492275 GNR: 0.403855 DICE: 0.395178

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 89.9897 avgA: 178.367 avgB: 264.797 MNR: 0.493134 GNR: 0.402772 DICE: 0.393901

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 91.5596 avgA: 182.742 avgB: 270.065 MNR: 0.489322 GNR: 0.401388 DICE: 0.392874

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 90.9796 avgA: 181.511 avgB: 270.848 MNR: 0.489727 GNR: 0.400279 DICE: 0.391393

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 88.1853 avgA: 177.77 avgB: 266.453 MNR: 0.485575 GNR: 0.395585 DICE: 0.386393

