# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 46.4599 avgA: 176.024 avgB: 353.302 MNR: 0.258164 GNR: 0.181939 DICE: 0.170856

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 48.2637 avgA: 178.027 avgB: 357.106 MNR: 0.267171 GNR: 0.188266 DICE: 0.176874

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 47.3205 avgA: 179.15 avgB: 360.497 MNR: 0.259849 GNR: 0.183008 DICE: 0.171912

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 48.062 avgA: 177.06 avgB: 355.468 MNR: 0.265477 GNR: 0.187174 DICE: 0.175839

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 48.7225 avgA: 181.356 avgB: 362.565 MNR: 0.263812 GNR: 0.186369 DICE: 0.17523

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 49.5308 avgA: 181.873 avgB: 361.828 MNR: 0.268482 GNR: 0.190026 DICE: 0.178773

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 48.1166 avgA: 179.565 avgB: 358.572 MNR: 0.262642 GNR: 0.18585 DICE: 0.174843

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 50.9935 avgA: 188.495 avgB: 372.362 MNR: 0.26565 GNR: 0.18883 DICE: 0.177891

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 47.879 avgA: 179.208 avgB: 360.32 MNR: 0.260326 GNR: 0.183741 DICE: 0.172753

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 48.9785 avgA: 183.039 avgB: 365.598 MNR: 0.263364 GNR: 0.186102 DICE: 0.175011

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 48.3001 avgA: 180.888 avgB: 358.207 MNR: 0.262758 GNR: 0.186385 DICE: 0.175434

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 47.9976 avgA: 178.751 avgB: 357.526 MNR: 0.263376 GNR: 0.186223 DICE: 0.175108

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 48.3129 avgA: 181.052 avgB: 358.176 MNR: 0.26105 GNR: 0.185767 DICE: 0.175087

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 46.617 avgA: 176.63 avgB: 351.681 MNR: 0.258737 GNR: 0.183461 DICE: 0.172687

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 48.4017 avgA: 179.32 avgB: 356.718 MNR: 0.264392 GNR: 0.18716 DICE: 0.176092

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 49.6871 avgA: 181.4 avgB: 362.727 MNR: 0.270954 GNR: 0.190356 DICE: 0.178608

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 48.1558 avgA: 181.622 avgB: 366.43 MNR: 0.259355 GNR: 0.182312 DICE: 0.171127

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 49.6129 avgA: 182.094 avgB: 363.983 MNR: 0.268859 GNR: 0.189368 DICE: 0.177911

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 49.4311 avgA: 181.936 avgB: 364.563 MNR: 0.266349 GNR: 0.188023 DICE: 0.176743

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 49.539 avgA: 181.183 avgB: 360.268 MNR: 0.268356 GNR: 0.190283 DICE: 0.17914

