# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.0397 avgA: 169.415 avgB: 244.231 MNR: 0.160826 GNR: 0.13232 DICE: 0.129424

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.2942 avgA: 169.296 avgB: 245.511 MNR: 0.161173 GNR: 0.132901 DICE: 0.13012

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.3246 avgA: 170.748 avgB: 244.902 MNR: 0.161738 GNR: 0.133768 DICE: 0.131028

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.6533 avgA: 167.717 avgB: 239.012 MNR: 0.162386 GNR: 0.134482 DICE: 0.131725

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.9541 avgA: 170.494 avgB: 244.675 MNR: 0.159978 GNR: 0.131762 DICE: 0.128937

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.3192 avgA: 166.695 avgB: 242.4 MNR: 0.158728 GNR: 0.130438 DICE: 0.127637

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.6074 avgA: 169.19 avgB: 238.438 MNR: 0.153812 GNR: 0.12741 DICE: 0.124719

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.7425 avgA: 167.692 avgB: 241.445 MNR: 0.162585 GNR: 0.134302 DICE: 0.131521

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 30.0941 avgA: 174.123 avgB: 247.888 MNR: 0.170455 GNR: 0.141431 DICE: 0.138615

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.0685 avgA: 168.878 avgB: 241.859 MNR: 0.162481 GNR: 0.134841 DICE: 0.132142

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.516 avgA: 167.246 avgB: 240.448 MNR: 0.160413 GNR: 0.132527 DICE: 0.129761

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.537 avgA: 164.559 avgB: 240.405 MNR: 0.162752 GNR: 0.13347 DICE: 0.130531

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.8926 avgA: 164.688 avgB: 241.834 MNR: 0.172978 GNR: 0.141175 DICE: 0.137946

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.9312 avgA: 167.799 avgB: 242.429 MNR: 0.162108 GNR: 0.13381 DICE: 0.131036

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.0856 avgA: 168.774 avgB: 242.908 MNR: 0.161348 GNR: 0.13348 DICE: 0.130677

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 29.0103 avgA: 171.098 avgB: 243.567 MNR: 0.165323 GNR: 0.137628 DICE: 0.134969

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.7123 avgA: 169.959 avgB: 245.535 MNR: 0.159081 GNR: 0.131222 DICE: 0.128458

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.2455 avgA: 170.258 avgB: 245.595 MNR: 0.161022 GNR: 0.13321 DICE: 0.130483

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.0522 avgA: 168.999 avgB: 241.08 MNR: 0.160412 GNR: 0.133512 DICE: 0.13093

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 28.127 avgA: 167.139 avgB: 244.843 MNR: 0.164126 GNR: 0.134521 DICE: 0.131525

