# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.2805 avgA: 171.168 avgB: 329.201 MNR: 0.115536 GNR: 0.0826595 DICE: 0.0781225

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.0489 avgA: 175.095 avgB: 337.966 MNR: 0.115709 GNR: 0.0824284 DICE: 0.0777782

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 22.4221 avgA: 179.955 avgB: 339.763 MNR: 0.120337 GNR: 0.087157 DICE: 0.0827223

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.8864 avgA: 173.497 avgB: 336.762 MNR: 0.111303 GNR: 0.0790613 DICE: 0.0745408

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 22.0076 avgA: 176.154 avgB: 341.069 MNR: 0.121151 GNR: 0.086351 DICE: 0.0815291

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.3653 avgA: 171.346 avgB: 332.776 MNR: 0.115205 GNR: 0.0818542 DICE: 0.0771879

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.1729 avgA: 172.987 avgB: 339.131 MNR: 0.11346 GNR: 0.0801796 DICE: 0.0754618

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.6784 avgA: 174.866 avgB: 335.78 MNR: 0.114883 GNR: 0.0820711 DICE: 0.0775202

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.8263 avgA: 177.73 avgB: 335.06 MNR: 0.114255 GNR: 0.0823634 DICE: 0.0780203

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.402 avgA: 174.418 avgB: 332.121 MNR: 0.112326 GNR: 0.0809446 DICE: 0.0766957

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.0487 avgA: 175.11 avgB: 336.97 MNR: 0.118402 GNR: 0.084393 DICE: 0.0796751

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.6205 avgA: 179.384 avgB: 345.45 MNR: 0.116888 GNR: 0.0833737 DICE: 0.078722

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.5904 avgA: 176.78 avgB: 339.424 MNR: 0.118963 GNR: 0.0848696 DICE: 0.0801302

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.4966 avgA: 176.373 avgB: 337.253 MNR: 0.111741 GNR: 0.0801826 DICE: 0.0758538

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.5501 avgA: 174.319 avgB: 342.144 MNR: 0.113717 GNR: 0.0804879 DICE: 0.0757905

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.1612 avgA: 177.979 avgB: 342.52 MNR: 0.113904 GNR: 0.0813392 DICE: 0.0768225

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.6874 avgA: 173.231 avgB: 339.29 MNR: 0.124271 GNR: 0.0869354 DICE: 0.0815225

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 19.2876 avgA: 171.812 avgB: 330.633 MNR: 0.107664 GNR: 0.0769387 DICE: 0.0726742

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 20.9149 avgA: 174.878 avgB: 334.883 MNR: 0.116636 GNR: 0.0832702 DICE: 0.0786401

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 21.2123 avgA: 179.051 avgB: 339.975 MNR: 0.114596 GNR: 0.0825781 DICE: 0.0782312

