# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 32.4 avgA: 184.301 avgB: 179.888 MNR: 0.193899 GNR: 0.168023 DICE: 0.165355

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 30.9384 avgA: 176.563 avgB: 171.358 MNR: 0.19552 GNR: 0.166525 DICE: 0.163499

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 35.6251 avgA: 183.262 avgB: 186.19 MNR: 0.202166 GNR: 0.180502 DICE: 0.178896

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 32.6365 avgA: 177.721 avgB: 187.494 MNR: 0.183132 GNR: 0.165777 DICE: 0.16455

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 32.164 avgA: 174.184 avgB: 186.686 MNR: 0.183552 GNR: 0.166468 DICE: 0.165248

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.2543 avgA: 163.976 avgB: 180.137 MNR: 0.165669 GNR: 0.148584 DICE: 0.147213

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 31.01 avgA: 171.669 avgB: 176.911 MNR: 0.185314 GNR: 0.166478 DICE: 0.164963

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.6065 avgA: 159.928 avgB: 174.028 MNR: 0.169292 GNR: 0.152172 DICE: 0.150933

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.5826 avgA: 157.328 avgB: 176.844 MNR: 0.166301 GNR: 0.147849 DICE: 0.146433

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 33.1242 avgA: 181.411 avgB: 187.969 MNR: 0.18877 GNR: 0.168179 DICE: 0.166602

