# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.86096 avgA: 206.779 avgB: 337.935 MNR: 0.0414059 GNR: 0.0273618 DICE: 0.0248878

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.64549 avgA: 208.568 avgB: 336.884 MNR: 0.0390184 GNR: 0.0261415 DICE: 0.0239028

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.73895 avgA: 213.959 avgB: 356.335 MNR: 0.0400144 GNR: 0.0260942 DICE: 0.0235952

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.85497 avgA: 206.736 avgB: 337.964 MNR: 0.0452803 GNR: 0.0286542 DICE: 0.0255775

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.48941 avgA: 202.485 avgB: 330.116 MNR: 0.0440203 GNR: 0.0274212 DICE: 0.0243409

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.5465 avgA: 203.069 avgB: 331.675 MNR: 0.043709 GNR: 0.0276017 DICE: 0.0246322

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.74263 avgA: 207.555 avgB: 343.903 MNR: 0.041334 GNR: 0.0266612 DICE: 0.0240094

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.82228 avgA: 204.721 avgB: 342.196 MNR: 0.0451684 GNR: 0.0281533 DICE: 0.0250056

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.47468 avgA: 203.992 avgB: 334.364 MNR: 0.040598 GNR: 0.0263516 DICE: 0.0237873

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.65654 avgA: 204.393 avgB: 332.442 MNR: 0.0440056 GNR: 0.0278475 DICE: 0.0248711

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.01289 avgA: 204.255 avgB: 340.998 MNR: 0.0481258 GNR: 0.0297386 DICE: 0.0263216

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.44889 avgA: 204.238 avgB: 333.141 MNR: 0.0447072 GNR: 0.0277374 DICE: 0.0245779

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.90285 avgA: 206.72 avgB: 340.405 MNR: 0.0470508 GNR: 0.0291999 DICE: 0.0258757

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.31998 avgA: 203.232 avgB: 333.276 MNR: 0.0416258 GNR: 0.0264963 DICE: 0.0237228

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.60359 avgA: 203.072 avgB: 336.358 MNR: 0.0453248 GNR: 0.0282255 DICE: 0.0250695

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.80571 avgA: 203.31 avgB: 340.584 MNR: 0.0461097 GNR: 0.0285381 DICE: 0.0252768

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.45212 avgA: 203.964 avgB: 336.435 MNR: 0.0438872 GNR: 0.0273274 DICE: 0.024253

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.70258 avgA: 204.811 avgB: 331.021 MNR: 0.0433401 GNR: 0.0278215 DICE: 0.0249863

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.92403 avgA: 218.11 avgB: 357.331 MNR: 0.0395215 GNR: 0.0263123 DICE: 0.0239963

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.72928 avgA: 209.862 avgB: 340.204 MNR: 0.0402599 GNR: 0.0265547 DICE: 0.0241371

