# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.25092 avgA: 223.198 avgB: 110.29 MNR: 0.0284004 GNR: 0.0205047 DICE: 0.0192778

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.84499 avgA: 219.673 avgB: 107.112 MNR: 0.0256197 GNR: 0.0183997 DICE: 0.0172936

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.00092 avgA: 221.716 avgB: 109.767 MNR: 0.0260264 GNR: 0.0186869 DICE: 0.0175415

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.34208 avgA: 230.698 avgB: 112.831 MNR: 0.0286422 GNR: 0.0207858 DICE: 0.0195515

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.92729 avgA: 215.121 avgB: 107.565 MNR: 0.0258274 GNR: 0.0188378 DICE: 0.0177487

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.96318 avgA: 227.624 avgB: 111.472 MNR: 0.0258251 GNR: 0.0180787 DICE: 0.0168509

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.02025 avgA: 219.886 avgB: 106.988 MNR: 0.0266346 GNR: 0.019187 DICE: 0.0180168

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.21169 avgA: 225.719 avgB: 111.646 MNR: 0.0276182 GNR: 0.0199788 DICE: 0.0187994

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.0971 avgA: 219.49 avgB: 108.479 MNR: 0.0267364 GNR: 0.0195951 DICE: 0.0185038

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.32015 avgA: 221.876 avgB: 111.575 MNR: 0.028481 GNR: 0.0208514 DICE: 0.0196929

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.88909 avgA: 215.675 avgB: 103.919 MNR: 0.0265383 GNR: 0.0188547 DICE: 0.017641

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.36971 avgA: 226.319 avgB: 110.488 MNR: 0.0286383 GNR: 0.0208013 DICE: 0.0195869

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.18428 avgA: 224.454 avgB: 112.007 MNR: 0.0275157 GNR: 0.0199547 DICE: 0.0187913

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.97469 avgA: 221.633 avgB: 109.216 MNR: 0.0258281 GNR: 0.0186095 DICE: 0.0174784

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.88909 avgA: 223.38 avgB: 105.567 MNR: 0.0263152 GNR: 0.0184979 DICE: 0.017248

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.9411 avgA: 227.237 avgB: 109.045 MNR: 0.0254619 GNR: 0.0180426 DICE: 0.0168712

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.32981 avgA: 230.893 avgB: 113.944 MNR: 0.0280379 GNR: 0.0202395 DICE: 0.0190278

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.34929 avgA: 224.434 avgB: 113.677 MNR: 0.0281123 GNR: 0.0206792 DICE: 0.0195561

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.14082 avgA: 227.418 avgB: 111.627 MNR: 0.026932 GNR: 0.0194601 DICE: 0.0182982

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 3.39374 avgA: 230.661 avgB: 113.356 MNR: 0.0285857 GNR: 0.0207141 DICE: 0.0195017

