# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.11383 avgA: 137.317 avgB: 136.618 MNR: 0.0604026 GNR: 0.0504661 DICE: 0.0493266

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.40488 avgA: 134.022 avgB: 133.263 MNR: 0.0600245 GNR: 0.0499233 DICE: 0.0487362

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.93691 avgA: 127.427 avgB: 125.26 MNR: 0.0583437 GNR: 0.0484535 DICE: 0.047296

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.26368 avgA: 139.65 avgB: 141.549 MNR: 0.0606164 GNR: 0.0510446 DICE: 0.0499406

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.75024 avgA: 143.779 avgB: 144.889 MNR: 0.0624866 GNR: 0.0522165 DICE: 0.0510337

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.97695 avgA: 136.73 avgB: 132.864 MNR: 0.0576213 GNR: 0.0482309 DICE: 0.0471676

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.56587 avgA: 126.68 avgB: 122.913 MNR: 0.0687454 GNR: 0.0568813 DICE: 0.0554753

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 9.07098 avgA: 143.089 avgB: 143.378 MNR: 0.0608553 GNR: 0.0515761 DICE: 0.0505368

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.54512 avgA: 140.977 avgB: 143.752 MNR: 0.0603448 GNR: 0.0497871 DICE: 0.0485323

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.11527 avgA: 132.135 avgB: 129.904 MNR: 0.0573808 GNR: 0.0484373 DICE: 0.0474095

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.84755 avgA: 122.809 avgB: 118.036 MNR: 0.0553216 GNR: 0.0457147 DICE: 0.0445554

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.35407 avgA: 140.628 avgB: 141.116 MNR: 0.0618577 GNR: 0.0514572 DICE: 0.0502414

