# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 65.0372 avgA: 173.795 avgB: 285.107 MNR: 0.315802 GNR: 0.245794 DICE: 0.23773

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 62.4934 avgA: 166.447 avgB: 272.205 MNR: 0.311042 GNR: 0.243239 DICE: 0.235372

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 59.4246 avgA: 158.966 avgB: 261.047 MNR: 0.302201 GNR: 0.234564 DICE: 0.226664

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 63.3954 avgA: 169.456 avgB: 278.89 MNR: 0.327726 GNR: 0.256047 DICE: 0.247771

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 59.6085 avgA: 158.34 avgB: 260.179 MNR: 0.329441 GNR: 0.254487 DICE: 0.245502

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 60.1255 avgA: 163.595 avgB: 266.398 MNR: 0.308814 GNR: 0.241558 DICE: 0.23382

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 49.2683 avgA: 123.866 avgB: 210.028 MNR: 0.276758 GNR: 0.208071 DICE: 0.199215

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 60.2738 avgA: 157.792 avgB: 259.413 MNR: 0.337274 GNR: 0.248761 DICE: 0.236563

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 59.0136 avgA: 158.359 avgB: 260.236 MNR: 0.307082 GNR: 0.237959 DICE: 0.229776

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 63.976 avgA: 170.18 avgB: 278.762 MNR: 0.323443 GNR: 0.250952 DICE: 0.242446

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 65.3478 avgA: 166.916 avgB: 272.895 MNR: 0.315931 GNR: 0.244722 DICE: 0.236316

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 61.0324 avgA: 165.516 avgB: 271.741 MNR: 0.319895 GNR: 0.248792 DICE: 0.240481

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 60.3234 avgA: 164.803 avgB: 270.244 MNR: 0.323057 GNR: 0.252179 DICE: 0.243983

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 56.9688 avgA: 164.684 avgB: 253.51 MNR: 0.305483 GNR: 0.236514 DICE: 0.22832

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 60.9048 avgA: 163.568 avgB: 270.914 MNR: 0.317328 GNR: 0.245358 DICE: 0.236762

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 64.2406 avgA: 168.239 avgB: 273.222 MNR: 0.312849 GNR: 0.243948 DICE: 0.23592

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 60.6503 avgA: 166.419 avgB: 272.688 MNR: 0.326618 GNR: 0.254501 DICE: 0.246055

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 62.0486 avgA: 169.187 avgB: 278.707 MNR: 0.328877 GNR: 0.256569 DICE: 0.248222

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 60.7975 avgA: 159.654 avgB: 262.655 MNR: 0.335506 GNR: 0.25622 DICE: 0.246341

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 58.0435 avgA: 154.56 avgB: 257.206 MNR: 0.306788 GNR: 0.235145 DICE: 0.226489

