# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.35708 avgA: 132.564 avgB: 276.548 MNR: 0.0113602 GNR: 0.00677963 DICE: 0.00595445

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.45116 avgA: 135.409 avgB: 279.618 MNR: 0.012514 GNR: 0.00717673 DICE: 0.00621273

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.42395 avgA: 133.083 avgB: 279.118 MNR: 0.0120053 GNR: 0.00710105 DICE: 0.00621216

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.43711 avgA: 135.079 avgB: 281.166 MNR: 0.0122917 GNR: 0.0071241 DICE: 0.00617876

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.36251 avgA: 135.773 avgB: 284.578 MNR: 0.0125653 GNR: 0.00709908 DICE: 0.00610176

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.33202 avgA: 132.979 avgB: 277.37 MNR: 0.0111194 GNR: 0.00658416 DICE: 0.00576114

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.43465 avgA: 129.397 avgB: 266.739 MNR: 0.0151247 GNR: 0.00875734 DICE: 0.00761037

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.51042 avgA: 133.48 avgB: 277.55 MNR: 0.013023 GNR: 0.00765754 DICE: 0.00668194

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.39351 avgA: 135.874 avgB: 279.238 MNR: 0.0123009 GNR: 0.00704605 DICE: 0.00607974

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.40428 avgA: 132.069 avgB: 277.272 MNR: 0.0117773 GNR: 0.00690979 DICE: 0.00602763

