# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.1259 avgA: 218.172 avgB: 200.422 MNR: 0.116695 GNR: 0.105153 DICE: 0.104182

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.2389 avgA: 221.73 avgB: 205.851 MNR: 0.114905 GNR: 0.103584 DICE: 0.10261

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.91 avgA: 226.905 avgB: 209.82 MNR: 0.117608 GNR: 0.106764 DICE: 0.105934

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.6281 avgA: 208.013 avgB: 192.312 MNR: 0.112231 GNR: 0.101025 DICE: 0.100058

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.3562 avgA: 207.537 avgB: 194.476 MNR: 0.106454 GNR: 0.0967925 DICE: 0.0960051

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.9512 avgA: 229.411 avgB: 211.01 MNR: 0.115609 GNR: 0.105111 DICE: 0.104309

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.1313 avgA: 212.944 avgB: 198.037 MNR: 0.106913 GNR: 0.0980837 DICE: 0.0974739

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 24.3648 avgA: 196.379 avgB: 184.169 MNR: 0.103675 GNR: 0.0926306 DICE: 0.0915251

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 24.8707 avgA: 211.497 avgB: 196.126 MNR: 0.107733 GNR: 0.0979413 DICE: 0.0971309

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 27.0861 avgA: 227.276 avgB: 209.471 MNR: 0.120075 GNR: 0.1086 DICE: 0.107704

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.8544 avgA: 220.316 avgB: 202.503 MNR: 0.122474 GNR: 0.10699 DICE: 0.105251

