# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.4465 avgA: 226.074 avgB: 356.306 MNR: 0.0114556 GNR: 0.00849911 DICE: 0.00809455

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.34675 avgA: 222.685 avgB: 350.875 MNR: 0.011061 GNR: 0.0082751 DICE: 0.00789972

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.29029 avgA: 220.162 avgB: 347.161 MNR: 0.0106119 GNR: 0.00796797 DICE: 0.00761414

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.3283 avgA: 215.696 avgB: 339.868 MNR: 0.0110965 GNR: 0.0082521 DICE: 0.00786661

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.99757 avgA: 235.09 avgB: 358.383 MNR: 0.0133944 GNR: 0.0100712 DICE: 0.00962632

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.3991 avgA: 216.834 avgB: 337.872 MNR: 0.011026 GNR: 0.00832521 DICE: 0.00795917

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.40492 avgA: 220.574 avgB: 347.019 MNR: 0.0109902 GNR: 0.00822681 DICE: 0.00785257

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.29017 avgA: 214.742 avgB: 334.883 MNR: 0.0107581 GNR: 0.00806378 DICE: 0.00770113

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.35129 avgA: 218.446 avgB: 339.59 MNR: 0.0114528 GNR: 0.00847232 DICE: 0.00805851

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.24566 avgA: 205.941 avgB: 322.418 MNR: 0.0121518 GNR: 0.00906376 DICE: 0.00864357

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.55442 avgA: 227.472 avgB: 358.989 MNR: 0.0118596 GNR: 0.00874271 DICE: 0.0083051

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.3162 avgA: 222.511 avgB: 352.244 MNR: 0.010609 GNR: 0.00795917 DICE: 0.00760525

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.48073 avgA: 228.284 avgB: 355.699 MNR: 0.0112486 GNR: 0.00846794 DICE: 0.00809205

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.48434 avgA: 232.212 avgB: 368.148 MNR: 0.011043 GNR: 0.00821185 DICE: 0.00782316

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.51877 avgA: 227.241 avgB: 357.989 MNR: 0.0115582 GNR: 0.00862729 DICE: 0.00822511

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.39174 avgA: 228.858 avgB: 361.324 MNR: 0.0106206 GNR: 0.00800904 DICE: 0.00766388

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.71566 avgA: 213.414 avgB: 329.65 MNR: 0.0119925 GNR: 0.00894035 DICE: 0.00852586

