# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.19671 avgA: 110.615 avgB: 98.1984 MNR: 0.0418282 GNR: 0.0358785 DICE: 0.0352847

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.20566 avgA: 110.948 avgB: 98.167 MNR: 0.0420243 GNR: 0.036122 DICE: 0.0355381

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.01106 avgA: 109.787 avgB: 97.7785 MNR: 0.0402672 GNR: 0.0347437 DICE: 0.0341922

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.42715 avgA: 110.799 avgB: 99.1424 MNR: 0.0430591 GNR: 0.0370055 DICE: 0.0363923

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.20659 avgA: 110.214 avgB: 97.8202 MNR: 0.0420186 GNR: 0.0360861 DICE: 0.0354888

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.31083 avgA: 110.613 avgB: 98.0039 MNR: 0.0428224 GNR: 0.0367377 DICE: 0.0361272

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.31754 avgA: 111.592 avgB: 100 MNR: 0.0428407 GNR: 0.0366333 DICE: 0.0360048

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.25764 avgA: 110.034 avgB: 97.4337 MNR: 0.0427133 GNR: 0.0368456 DICE: 0.0362642

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.04734 avgA: 110.367 avgB: 97.4229 MNR: 0.0404796 GNR: 0.0349233 DICE: 0.0343723

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.21742 avgA: 110.967 avgB: 98.6996 MNR: 0.0412939 GNR: 0.0355329 DICE: 0.0349567

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.26047 avgA: 109.742 avgB: 97.4803 MNR: 0.0426585 GNR: 0.0367162 DICE: 0.0361313

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.16122 avgA: 109.158 avgB: 97.3282 MNR: 0.0418646 GNR: 0.035847 DICE: 0.0352352

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.18917 avgA: 110.32 avgB: 98.4143 MNR: 0.0423734 GNR: 0.0362891 DICE: 0.0356801

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.25796 avgA: 111.115 avgB: 98.3778 MNR: 0.041949 GNR: 0.0361734 DICE: 0.035599

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.2079 avgA: 111.036 avgB: 98.7484 MNR: 0.0417981 GNR: 0.0360112 DICE: 0.0354547

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.2322 avgA: 109.84 avgB: 97.6766 MNR: 0.0425343 GNR: 0.0364013 DICE: 0.0357829

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.13643 avgA: 110.913 avgB: 99.1939 MNR: 0.0417294 GNR: 0.0359692 DICE: 0.035389

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.15003 avgA: 108.994 avgB: 96.2497 MNR: 0.0416111 GNR: 0.0358365 DICE: 0.0352628

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.12119 avgA: 108.35 avgB: 95.6467 MNR: 0.0425566 GNR: 0.036433 DICE: 0.0358106

