# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.0673 avgA: 82.9434 avgB: 140.565 MNR: 0.20246 GNR: 0.148627 DICE: 0.14076

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.2249 avgA: 83.7743 avgB: 143.511 MNR: 0.202993 GNR: 0.148438 DICE: 0.140327

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.818 avgA: 83.2574 avgB: 141.597 MNR: 0.200935 GNR: 0.145868 DICE: 0.137567

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.7479 avgA: 84.067 avgB: 139.001 MNR: 0.195049 GNR: 0.143986 DICE: 0.136531

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.1436 avgA: 84.9377 avgB: 143.258 MNR: 0.198912 GNR: 0.146164 DICE: 0.138357

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.6258 avgA: 83.1221 avgB: 139.463 MNR: 0.198226 GNR: 0.145676 DICE: 0.137914

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.6868 avgA: 85.3835 avgB: 146.418 MNR: 0.203518 GNR: 0.147958 DICE: 0.139728

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.6788 avgA: 83.6809 avgB: 141.073 MNR: 0.197663 GNR: 0.144937 DICE: 0.137143

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.0159 avgA: 82.8133 avgB: 140.423 MNR: 0.2035 GNR: 0.148381 DICE: 0.140126

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.3744 avgA: 83.1908 avgB: 142.298 MNR: 0.204534 GNR: 0.148738 DICE: 0.140428

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.3111 avgA: 83.6031 avgB: 139.6 MNR: 0.207909 GNR: 0.152695 DICE: 0.144509

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.3073 avgA: 83.4282 avgB: 142.892 MNR: 0.202822 GNR: 0.148127 DICE: 0.139992

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.6897 avgA: 82.1907 avgB: 137.373 MNR: 0.195781 GNR: 0.143383 DICE: 0.135561

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.067 avgA: 84.6766 avgB: 145.395 MNR: 0.201724 GNR: 0.145811 DICE: 0.137399

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.2436 avgA: 83.7528 avgB: 142.664 MNR: 0.204738 GNR: 0.149206 DICE: 0.140833

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.6537 avgA: 84.9957 avgB: 145.982 MNR: 0.206796 GNR: 0.150154 DICE: 0.141615

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 17.1017 avgA: 83.6155 avgB: 141.806 MNR: 0.206513 GNR: 0.14978 DICE: 0.14126

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.4936 avgA: 81.1346 avgB: 140.036 MNR: 0.201328 GNR: 0.145422 DICE: 0.136868

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.9638 avgA: 82.468 avgB: 140.383 MNR: 0.203375 GNR: 0.149188 DICE: 0.14112

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 16.8751 avgA: 83.0177 avgB: 142.49 MNR: 0.201679 GNR: 0.146977 DICE: 0.138777

