# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.23286 avgA: 92.1979 avgB: 214.283 MNR: 0.0791816 GNR: 0.0521851 DICE: 0.047814

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.62069 avgA: 94.6179 avgB: 219.928 MNR: 0.0830168 GNR: 0.0543727 DICE: 0.0497015

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.01377 avgA: 88.4736 avgB: 206.95 MNR: 0.0799588 GNR: 0.052376 DICE: 0.0478766

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.97538 avgA: 69.5393 avgB: 173.971 MNR: 0.0688816 GNR: 0.0443962 DICE: 0.0403371

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.45878 avgA: 94.001 avgB: 218.484 MNR: 0.079132 GNR: 0.0522063 DICE: 0.0478415

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.26967 avgA: 89.63 avgB: 209.972 MNR: 0.0882604 GNR: 0.0572396 DICE: 0.0521077

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.07082 avgA: 91.3199 avgB: 211.981 MNR: 0.0779772 GNR: 0.0515362 DICE: 0.0472685

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.34382 avgA: 88.555 avgB: 208.857 MNR: 0.0839601 GNR: 0.0542766 DICE: 0.0493705

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.03886 avgA: 92.4903 avgB: 214.111 MNR: 0.0797662 GNR: 0.0526398 DICE: 0.0482311

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.02844 avgA: 91.962 avgB: 217.618 MNR: 0.0791094 GNR: 0.0513325 DICE: 0.0467607

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.89323 avgA: 88.9495 avgB: 209.927 MNR: 0.0814223 GNR: 0.0527555 DICE: 0.0479975

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.36292 avgA: 91.9201 avgB: 214.11 MNR: 0.0833086 GNR: 0.0546938 DICE: 0.0500324

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.32665 avgA: 93.4725 avgB: 215.883 MNR: 0.0816224 GNR: 0.0541604 DICE: 0.0497489

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.31268 avgA: 94.0149 avgB: 219.462 MNR: 0.0803121 GNR: 0.0524463 DICE: 0.0478793

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.00776 avgA: 88.9711 avgB: 205.702 MNR: 0.0786882 GNR: 0.0521076 DICE: 0.047834

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.41806 avgA: 96.1345 avgB: 217.119 MNR: 0.0788032 GNR: 0.0532175 DICE: 0.0491678

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 7.94241 avgA: 80.8216 avgB: 187.127 MNR: 0.0934766 GNR: 0.06001 DICE: 0.0544165

