# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.02739 avgA: 97.001 avgB: 86.8679 MNR: 0.060872 GNR: 0.051385 DICE: 0.0503479

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.01464 avgA: 95.3886 avgB: 85.5938 MNR: 0.0612661 GNR: 0.0514955 DICE: 0.0504118

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.00691 avgA: 97.4948 avgB: 87.9841 MNR: 0.0603688 GNR: 0.0507892 DICE: 0.0497318

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.23441 avgA: 97.6662 avgB: 88.2878 MNR: 0.0626882 GNR: 0.0530075 DICE: 0.051965

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.37742 avgA: 100.243 avgB: 89.7229 MNR: 0.0630837 GNR: 0.0531788 DICE: 0.0520933

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.25187 avgA: 99.1099 avgB: 89.5885 MNR: 0.0620038 GNR: 0.0523248 DICE: 0.0512746

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.20563 avgA: 97.9363 avgB: 88.1754 MNR: 0.062497 GNR: 0.0527606 DICE: 0.0517076

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.24065 avgA: 99.3532 avgB: 89.4309 MNR: 0.0631569 GNR: 0.0532388 DICE: 0.052156

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.12081 avgA: 96.4009 avgB: 87.3893 MNR: 0.0620783 GNR: 0.0523771 DICE: 0.0513112

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.40218 avgA: 99.6174 avgB: 90.1943 MNR: 0.0619845 GNR: 0.0522901 DICE: 0.0512377

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.13672 avgA: 96.7812 avgB: 87.702 MNR: 0.0621019 GNR: 0.0522648 DICE: 0.0511756

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.17477 avgA: 96.2963 avgB: 86.5597 MNR: 0.0628301 GNR: 0.0531654 DICE: 0.052122

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.206 avgA: 100.825 avgB: 91.2609 MNR: 0.0605922 GNR: 0.0514692 DICE: 0.0504975

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.28625 avgA: 100.644 avgB: 90.1241 MNR: 0.0614119 GNR: 0.0517809 DICE: 0.0507258

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.39582 avgA: 99.3709 avgB: 89.9651 MNR: 0.0642097 GNR: 0.0541408 DICE: 0.0530407

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.24381 avgA: 100.482 avgB: 90.887 MNR: 0.0611362 GNR: 0.0515237 DICE: 0.0504795

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.26631 avgA: 98.3413 avgB: 89.3209 MNR: 0.0632121 GNR: 0.053026 DICE: 0.0518763

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.22971 avgA: 97.8193 avgB: 88.3702 MNR: 0.0619615 GNR: 0.0524716 DICE: 0.0514586

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.98978 avgA: 92.7932 avgB: 83.8577 MNR: 0.0625632 GNR: 0.0524049 DICE: 0.0512687

