# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.28391 avgA: 70.6767 avgB: 142.56 MNR: 0.0649566 GNR: 0.0453848 DICE: 0.042477

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.17032 avgA: 68.2843 avgB: 138.275 MNR: 0.0646506 GNR: 0.0448382 DICE: 0.0418441

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.253 avgA: 70.4743 avgB: 142.699 MNR: 0.0672499 GNR: 0.0459587 DICE: 0.0426719

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.21081 avgA: 69.613 avgB: 140.24 MNR: 0.0650666 GNR: 0.0448449 DICE: 0.0417769

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.09127 avgA: 67.1527 avgB: 135.166 MNR: 0.0660001 GNR: 0.046281 DICE: 0.0433585

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.33471 avgA: 69.3422 avgB: 138.331 MNR: 0.0671787 GNR: 0.0470632 DICE: 0.0440902

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.0743 avgA: 68.1856 avgB: 137.284 MNR: 0.0646421 GNR: 0.0447738 DICE: 0.0417532

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.46655 avgA: 71.9243 avgB: 144.226 MNR: 0.0662218 GNR: 0.0457214 DICE: 0.0426182

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.08641 avgA: 69.1211 avgB: 139.5 MNR: 0.0654743 GNR: 0.0453385 DICE: 0.0422948

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.16086 avgA: 70.2935 avgB: 142.117 MNR: 0.0641881 GNR: 0.0443852 DICE: 0.0413949

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 5.06108 avgA: 68.5087 avgB: 137.651 MNR: 0.0647273 GNR: 0.0452411 DICE: 0.0423317

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.9264 avgA: 68.5437 avgB: 140.04 MNR: 0.06428 GNR: 0.0439859 DICE: 0.0408348

