# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.57238 avgA: 230.841 avgB: 92.421 MNR: 0.0143863 GNR: 0.00948022 DICE: 0.00867675

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.826953 avgA: 223.355 avgB: 76.5684 MNR: 0.0080198 GNR: 0.00498315 DICE: 0.00445623

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.841162 avgA: 218.215 avgB: 76.8861 MNR: 0.00865939 GNR: 0.00543513 DICE: 0.00488175

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.916818 avgA: 251.163 avgB: 84.0505 MNR: 0.00894853 GNR: 0.00555131 DICE: 0.00496069

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.788886 avgA: 229.108 avgB: 77.9824 MNR: 0.00759827 GNR: 0.00478837 DICE: 0.00430502

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.802292 avgA: 223.961 avgB: 75.9904 MNR: 0.00807536 GNR: 0.00499201 DICE: 0.0044552

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.794342 avgA: 225.655 avgB: 77.6396 MNR: 0.00819195 GNR: 0.00511531 DICE: 0.00458437

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.778063 avgA: 226.232 avgB: 77.7312 MNR: 0.00772291 GNR: 0.00479829 DICE: 0.00428838

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.962813 avgA: 257.397 avgB: 87.0546 MNR: 0.00978291 GNR: 0.00604455 DICE: 0.0053937

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.717854 avgA: 225.269 avgB: 76.7433 MNR: 0.00746398 GNR: 0.00450744 DICE: 0.0039813

# ---------- 11 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.43301 avgA: 269.72 avgB: 89.4356 MNR: 0.0134922 GNR: 0.00860666 DICE: 0.00778478

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.716876 avgA: 222.563 avgB: 76.3295 MNR: 0.0071582 GNR: 0.00451541 DICE: 0.00405841

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.840138 avgA: 223.959 avgB: 77.6715 MNR: 0.00826098 GNR: 0.00511624 DICE: 0.00457983

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.727693 avgA: 221.88 avgB: 75.9906 MNR: 0.00714435 GNR: 0.00444602 DICE: 0.00397676

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.8482 avgA: 214.835 avgB: 76.4354 MNR: 0.00880231 GNR: 0.00552481 DICE: 0.00496586

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.578539 avgA: 224.79 avgB: 76.2327 MNR: 0.00635272 GNR: 0.00373265 DICE: 0.00325753

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.841581 avgA: 221.691 avgB: 77.3437 MNR: 0.00835137 GNR: 0.00518881 DICE: 0.00464243

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.458665 avgA: 203.744 avgB: 70.6212 MNR: 0.00609795 GNR: 0.00368672 DICE: 0.00325589

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.899538 avgA: 238.677 avgB: 81.2405 MNR: 0.00877375 GNR: 0.00553553 DICE: 0.00497988

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.812634 avgA: 226.999 avgB: 77.9206 MNR: 0.00797489 GNR: 0.00501514 DICE: 0.004508

