#frame chA chB nCorr nA nB MNR GNR DICE
25 0 1 0 270 142 0 0 0
26 0 1 0 273 152 0 0 0
27 0 1 0 245 134 0 0 0
28 0 1 0 288 168 0 0 0
29 0 1 2 278 159 0.0125786 0.00951281 0.00915332
30 0 1 6 276 147 0.0408163 0.0297878 0.0283688
31 0 1 6 261 127 0.0472441 0.0329556 0.0309278
32 0 1 10 236 134 0.0746269 0.056233 0.0540541
33 0 1 9 340 185 0.0486486 0.0358853 0.0342857
34 0 1 9 351 219 0.0410959 0.0324614 0.0315789
35 0 1 10 370 219 0.0456621 0.0351299 0.0339559
36 0 1 15 361 213 0.0704225 0.0540938 0.0522648
37 0 1 24 371 217 0.110599 0.0845852 0.0816327
38 0 1 34 363 222 0.153153 0.11977 0.116239
39 0 1 45 363 227 0.198238 0.156764 0.152542
40 0 1 55 375 233 0.236051 0.186067 0.180921
41 0 1 45 374 225 0.2 0.155126 0.15025
42 0 1 59 388 225 0.262222 0.199685 0.192496
43 0 1 56 378 196 0.285714 0.205738 0.195122
44 0 1 60 388 201 0.298507 0.214851 0.203735
45 0 1 62 396 241 0.257261 0.200695 0.194662
46 0 1 63 401 249 0.253012 0.199374 0.193846
47 0 1 61 382 243 0.251029 0.200214 0.1952
48 0 1 59 390 234 0.252137 0.195304 0.189103
49 0 1 65 369 225 0.288889 0.225584 0.218855
50 0 1 56 352 192 0.291667 0.21541 0.205882
51 0 1 55 420 259 0.212355 0.166759 0.162003
52 0 1 43 406 251 0.171315 0.1347 0.130898
53 0 1 44 404 271 0.162362 0.132977 0.13037
54 0 1 54 384 281 0.192171 0.16439 0.162406
55 0 1 51 372 251 0.203187 0.166902 0.163724
56 0 1 62 356 261 0.237548 0.203398 0.200972
57 0 1 59 354 252 0.234127 0.197538 0.194719
58 0 1 58 341 237 0.244726 0.204022 0.200692
59 0 1 62 319 248 0.25 0.22043 0.218695
60 0 1 65 391 346 0.187861 0.17672 0.176391
61 0 1 70 370 337 0.207715 0.198236 0.19802
62 0 1 63 357 336 0.1875 0.181902 0.181818
63 0 1 55 340 338 0.162722 0.162243 0.162242
64 0 1 63 329 321 0.196262 0.193861 0.193846
65 0 1 70 323 302 0.231788 0.224127 0.224
66 0 1 56 307 289 0.193772 0.188005 0.187919
67 0 1 76 296 290 0.262069 0.259399 0.259386
68 0 1 65 399 330 0.19697 0.179131 0.178326
69 0 1 60 377 333 0.18018 0.16934 0.169014
70 0 1 57 370 292 0.195205 0.173413 0.172205
71 0 1 56 357 315 0.177778 0.166993 0.166667
72 0 1 52 312 280 0.185714 0.175933 0.175676
73 0 1 15 229 193 0.0777202 0.0713501 0.0710901
74 0 1 22 245 192 0.114583 0.101435 0.100686
75 0 1 13 221 188 0.0691489 0.0637776 0.0635697
76 0 1 15 205 184 0.0815217 0.0772334 0.0771208
77 0 1 15 210 198 0.0757576 0.0735612 0.0735294
78 0 1 19 192 207 0.0989583 0.0953055 0.0952381
79 0 1 20 186 189 0.107527 0.10667 0.106667
80 0 1 23 174 209 0.132184 0.120609 0.120104
81 0 1 28 185 226 0.151351 0.136936 0.136253
82 0 1 24 168 218 0.142857 0.125409 0.124352
83 0 1 22 167 218 0.131737 0.115302 0.114286
84 0 1 27 181 226 0.149171 0.133497 0.132678
85 0 1 29 178 222 0.162921 0.145885 0.145
86 0 1 32 189 219 0.169312 0.157289 0.156863
87 0 1 36 189 221 0.190476 0.176147 0.17561
88 0 1 35 212 262 0.165094 0.148508 0.147679
89 0 1 36 185 192 0.194595 0.191014 0.190981
90 0 1 31 239 236 0.131356 0.130529 0.130526
91 0 1 38 300 324 0.126667 0.121885 0.121795
92 0 1 51 302 321 0.168874 0.1638 0.163724
93 0 1 56 286 323 0.195804 0.184248 0.183908
94 0 1 66 348 353 0.189655 0.188307 0.188302
95 0 1 73 418 446 0.174641 0.16907 0.168981
96 0 1 72 432 436 0.166667 0.1659 0.165899
97 0 1 102 406 450 0.251232 0.238633 0.238318
98 0 1 91 439 448 0.207289 0.205197 0.205186
99 0 1 118 446 449 0.264574 0.263689 0.263687
100 0 1 110 440 433 0.254042 0.252013 0.252005
101 0 1 111 467 450 0.246667 0.242135 0.242094
102 0 1 142 488 445 0.319101 0.304718 0.304394
103 0 1 130 497 419 0.310263 0.284878 0.283843
104 0 1 148 523 448 0.330357 0.305754 0.30484
105 0 1 145 518 412 0.351942 0.313873 0.311828
106 0 1 135 488 394 0.34264 0.307876 0.306122
107 0 1 120 460 356 0.337079 0.296536 0.294118
108 0 1 103 486 364 0.282967 0.244888 0.242353
109 0 1 110 474 380 0.289474 0.259186 0.257611
110 0 1 85 445 334 0.254491 0.220478 0.218229
111 0 1 76 430 281 0.270463 0.218638 0.213783
112 0 1 95 451 352 0.269886 0.238432 0.236613
113 0 1 93 422 334 0.278443 0.247716 0.246032
114 0 1 87 400 327 0.266055 0.240556 0.23934
115 0 1 71 372 288 0.246528 0.216916 0.215152
116 0 1 80 413 343 0.233236 0.212553 0.21164
117 0 1 88 410 347 0.253602 0.233306 0.232497
118 0 1 86 381 306 0.281046 0.251869 0.250364
119 0 1 80 378 308 0.25974 0.23446 0.233236
120 0 1 79 361 317 0.249211 0.233531 0.233038
121 0 1 79 353 298 0.265101 0.243574 0.242704
122 0 1 65 328 300 0.216667 0.207212 0.207006
123 0 1 77 382 366 0.210383 0.205929 0.205882
124 0 1 86 378 327 0.262997 0.244613 0.243972
125 0 1 69 319 255 0.270588 0.241927 0.240418
126 0 1 55 315 307 0.179153 0.176864 0.176849
127 0 1 66 363 310 0.212903 0.196748 0.196137
128 0 1 54 326 323 0.167183 0.166412 0.16641
129 0 1 61 383 345 0.176812 0.167811 0.167582
130 0 1 77 383 337 0.228487 0.214327 0.213889
131 0 1 90 407 398 0.226131 0.223616 0.223602
132 0 1 107 447 399 0.26817 0.253363 0.252955
133 0 1 116 458 439 0.264237 0.258698 0.25864
134 0 1 132 483 422 0.312796 0.292378 0.291713
135 0 1 130 483 404 0.321782 0.294292 0.293123
136 0 1 132 488 391 0.337596 0.302187 0.300341
137 0 1 129 481 376 0.343085 0.303336 0.30105
138 0 1 158 523 442 0.357466 0.328621 0.327461
139 0 1 152 528 463 0.328294 0.307423 0.306761
140 0 1 154 528 437 0.352403 0.3206 0.319171
141 0 1 174 534 427 0.407494 0.364389 0.362123
142 0 1 189 545 491 0.384929 0.365362 0.364865
143 0 1 195 552 473 0.412262 0.381623 0.380488
144 0 1 188 523 433 0.43418 0.39506 0.393305
145 0 1 183 580 481 0.380457 0.346469 0.344958
146 0 1 172 570 469 0.366738 0.332663 0.331088
147 0 1 192 535 417 0.460432 0.406496 0.403361
148 0 1 197 534 463 0.425486 0.396191 0.395186
149 0 1 166 529 459 0.361656 0.336879 0.336032
150 0 1 185 532 452 0.409292 0.377265 0.376016
151 0 1 203 510 428 0.474299 0.434499 0.432836
152 0 1 167 515 440 0.379545 0.350822 0.349738
153 0 1 193 502 433 0.445727 0.413963 0.412834
154 0 1 144 437 367 0.392371 0.359574 0.358209
155 0 1 121 424 390 0.310256 0.297557 0.297297
156 0 1 167 497 439 0.38041 0.357525 0.356838
157 0 1 156 496 448 0.348214 0.330937 0.330508
158 0 1 133 469 376 0.353723 0.316717 0.314793
159 0 1 124 448 366 0.338798 0.306226 0.304668
160 0 1 103 464 409 0.251834 0.236438 0.235968
161 0 1 111 469 404 0.274752 0.255003 0.254296
162 0 1 100 455 380 0.263158 0.240493 0.239521
163 0 1 101 442 379 0.266491 0.246769 0.246041
164 0 1 100 407 384 0.260417 0.252951 0.252845
165 0 1 100 434 406 0.246305 0.238228 0.238095
166 0 1 109 454 429 0.254079 0.246985 0.246886
167 0 1 131 464 455 0.287912 0.285106 0.285093
168 0 1 127 477 450 0.282222 0.274118 0.274002
169 0 1 115 460 454 0.253304 0.251647 0.251641
170 0 1 120 448 454 0.267857 0.266081 0.266075
171 0 1 123 459 436 0.28211 0.274951 0.27486
172 0 1 111 436 437 0.254587 0.254296 0.254296
173 0 1 127 431 411 0.309002 0.301748 0.301663
174 0 1 107 403 416 0.265509 0.261327 0.261294
175 0 1 74 339 349 0.218289 0.215139 0.215116
176 0 1 57 242 241 0.236515 0.236025 0.236025
177 0 1 49 260 295 0.188462 0.176929 0.176577
178 0 1 57 238 290 0.239496 0.216964 0.215909
179 0 1 42 223 250 0.188341 0.17788 0.17759
180 0 1 44 228 233 0.192982 0.190901 0.190889
181 0 1 44 225 221 0.199095 0.197317 0.197309
182 0 1 24 175 197 0.137143 0.129258 0.129032
183 0 1 24 179 192 0.134078 0.12946 0.12938
184 0 1 36 204 197 0.182741 0.179578 0.179551
185 0 1 28 173 205 0.16185 0.148682 0.148148
186 0 1 29 159 195 0.18239 0.164696 0.163842
187 0 1 23 197 197 0.116751 0.116751 0.116751
188 0 1 21 168 185 0.125 0.119118 0.11898
189 0 1 15 147 168 0.102041 0.0954504 0.0952381
190 0 1 8 134 129 0.0620155 0.0608475 0.0608365
191 0 1 4 123 136 0.0325203 0.030927 0.030888
192 0 1 7 141 128 0.0546875 0.0521055 0.0520446
193 0 1 2 100 109 0.02 0.0191565 0.0191388
194 0 1 3 139 133 0.0225564 0.0220642 0.0220588
195 0 1 3 90 103 0.0333333 0.0311588 0.0310881
196 0 1 4 112 96 0.0416667 0.0385758 0.0384615
197 0 1 6 101 95 0.0631579 0.0612532 0.0612245
198 0 1 8 140 137 0.0583942 0.0577651 0.0577617
199 0 1 4 139 106 0.0377358 0.0329534 0.0326531
200 0 1 11 122 112 0.0982143 0.0941031 0.0940171
201 0 1 7 121 115 0.0608696 0.0593412 0.059322
202 0 1 11 111 99 0.111111 0.104933 0.104762
203 0 1 10 119 114 0.0877193 0.0858567 0.0858369
204 0 1 13 124 122 0.106557 0.105695 0.105691
205 0 1 20 140 124 0.16129 0.151794 0.151515
206 0 1 17 145 128 0.132812 0.124784 0.124542
207 0 1 19 142 130 0.146154 0.139842 0.139706
208 0 1 15 150 136 0.110294 0.105021 0.104895
209 0 1 16 135 126 0.126984 0.122678 0.122605
210 0 1 10 151 164 0.0662252 0.0635462 0.0634921
211 0 1 18 118 131 0.152542 0.144776 0.144578
212 0 1 18 136 199 0.132353 0.109415 0.107463
213 0 1 12 121 111 0.108108 0.103545 0.103448
214 0 1 2 143 142 0.0140845 0.0140352 0.0140351
215 0 1 5 130 141 0.0384615 0.0369308 0.0369004
216 0 1 6 145 164 0.0413793 0.0389086 0.038835
217 0 1 17 172 197 0.0988372 0.0923531 0.0921409
218 0 1 24 224 256 0.107143 0.100223 0.1
219 0 1 34 234 297 0.145299 0.128971 0.12806
220 0 1 27 224 284 0.120536 0.107049 0.106299
221 0 1 47 271 330 0.173432 0.157165 0.156406
222 0 1 53 332 392 0.159639 0.146914 0.146409
223 0 1 45 296 390 0.152027 0.132445 0.131195
224 0 1 70 332 427 0.210843 0.185915 0.184453
225 0 1 58 309 383 0.187702 0.168597 0.16763
226 0 1 62 326 404 0.190184 0.170841 0.169863
227 0 1 85 357 438 0.238095 0.214955 0.213836
228 0 1 99 426 475 0.232394 0.220082 0.219756
229 0 1 108 399 501 0.270677 0.241556 0.24
230 0 1 95 378 464 0.251323 0.22684 0.225653
231 0 1 81 335 394 0.241791 0.222954 0.222222
232 0 1 91 361 394 0.252078 0.24129 0.24106
233 0 1 100 353 428 0.283286 0.257271 0.256082
234 0 1 106 362 433 0.292818 0.267737 0.266667
235 0 1 108 376 452 0.287234 0.261975 0.26087
236 0 1 107 384 429 0.278646 0.263627 0.263223
237 0 1 100 364 402 0.274725 0.261418 0.261097
238 0 1 92 295 343 0.311864 0.289221 0.288401
239 0 1 85 330 342 0.257576 0.253017 0.252976
240 0 1 94 323 373 0.291022 0.270815 0.270115
241 0 1 96 331 337 0.29003 0.287437 0.287425
242 0 1 92 302 326 0.304636 0.293208 0.292994
243 0 1 92 306 320 0.300654 0.294003 0.29393
244 0 1 78 326 327 0.239264 0.238898 0.238897
245 0 1 87 312 317 0.278846 0.276638 0.27663
246 0 1 63 291 275 0.229091 0.222704 0.222615
247 0 1 69 245 243 0.283951 0.282789 0.282787
248 0 1 64 289 275 0.232727 0.22702 0.22695
249 0 1 51 287 251 0.203187 0.190017 0.189591
250 0 1 64 300 243 0.263374 0.237037 0.235727
251 0 1 63 311 287 0.219512 0.210872 0.210702
252 0 1 64 353 286 0.223776 0.201423 0.200313
253 0 1 88 369 316 0.278481 0.257707 0.256934
254 0 1 83 377 306 0.271242 0.244369 0.243045
255 0 1 78 365 309 0.252427 0.232257 0.231454
256 0 1 86 419 320 0.26875 0.234864 0.232747
257 0 1 88 397 330 0.266667 0.243125 0.242091
258 0 1 82 416 312 0.262821 0.227609 0.225275
259 0 1 85 439 347 0.244957 0.217782 0.216285
260 0 1 88 416 338 0.260355 0.234681 0.233422
261 0 1 78 423 324 0.240741 0.210694 0.208835
262 0 1 76 428 337 0.225519 0.200114 0.198693
263 0 1 81 423 330 0.245455 0.216799 0.215139
264 0 1 101 435 341 0.296188 0.26224 0.260309
265 0 1 101 407 328 0.307927 0.276431 0.27483
266 0 1 124 452 350 0.354286 0.311759 0.309227
267 0 1 124 500 360 0.344444 0.292271 0.288372
268 0 1 119 507 374 0.318182 0.27328 0.270148
269 0 1 145 519 400 0.3625 0.31824 0.31556
270 0 1 99 414 355 0.278873 0.258238 0.257477
271 0 1 118 453 341 0.346041 0.300231 0.297229
272 0 1 134 488 370 0.362162 0.315351 0.312354
273 0 1 116 412 324 0.358025 0.317495 0.315217
274 0 1 132 505 371 0.355795 0.304959 0.30137
275 0 1 141 516 398 0.354271 0.311138 0.308534
276 0 1 130 503 415 0.313253 0.284535 0.283224
277 0 1 128 486 392 0.326531 0.293257 0.291572
278 0 1 135 509 376 0.359043 0.308589 0.305085
279 0 1 47 256 280 0.183594 0.175549 0.175373
280 0 1 110 401 336 0.327381 0.299675 0.298507
281 0 1 89 351 329 0.270517 0.261902 0.261765
282 0 1 95 371 350 0.271429 0.263635 0.263523
283 0 1 150 487 407 0.36855 0.336922 0.33557
284 0 1 109 359 346 0.315029 0.309272 0.30922
285 0 1 88 337 316 0.278481 0.269665 0.269525
286 0 1 101 331 345 0.305136 0.298881 0.298817
287 0 1 25 145 242 0.172414 0.133459 0.129199
288 0 1 14 150 200 0.0933333 0.080829 0.08
289 0 1 62 247 294 0.251012 0.230075 0.229205
290 0 1 60 265 324 0.226415 0.204765 0.203735
291 0 1 123 390 443 0.315385 0.295918 0.295318
292 0 1 92 397 381 0.24147 0.236554 0.236504
293 0 1 112 384 421 0.291667 0.278555 0.278261
294 0 1 57 252 319 0.22619 0.201039 0.19965
295 0 1 41 209 276 0.196172 0.170709 0.169072
296 0 1 39 182 228 0.214286 0.191453 0.190244
297 0 1 20 158 182 0.126582 0.117941 0.117647
298 0 1 65 259 312 0.250965 0.228658 0.227671
299 0 1 28 154 174 0.181818 0.17105 0.170732
300 0 1 12 116 145 0.103448 0.0925269 0.091954
301 0 1 24 172 166 0.144578 0.142034 0.142012
302 0 1 16 127 152 0.125984 0.115159 0.114695
303 0 1 37 187 213 0.197861 0.185392 0.185
304 0 1 30 172 189 0.174419 0.16639 0.166205
305 0 1 28 195 199 0.14359 0.142139 0.142132
306 0 1 33 176 169 0.195266 0.191344 0.191304
307 0 1 38 264 216 0.175926 0.159131 0.158333
308 0 1 34 247 206 0.165049 0.150729 0.15011
309 0 1 29 240 196 0.147959 0.13371 0.133028
310 0 1 36 238 185 0.194595 0.171565 0.170213
311 0 1 35 223 187 0.187166 0.171394 0.170732
312 0 1 35 220 169 0.207101 0.181515 0.179949
313 0 1 39 216 174 0.224138 0.20117 0.2
314 0 1 28 189 157 0.178344 0.162546 0.16185
315 0 1 38 189 161 0.236025 0.217841 0.217143
316 0 1 40 190 140 0.285714 0.245256 0.242424
317 0 1 26 137 130 0.2 0.194824 0.194757
318 0 1 36 226 181 0.198895 0.177995 0.176904
319 0 1 36 214 203 0.17734 0.172722 0.172662
320 0 1 29 179 171 0.169591 0.165758 0.165714
321 0 1 34 173 158 0.21519 0.205649 0.205438
322 0 1 29 201 217 0.144279 0.138858 0.138756
323 0 1 29 210 206 0.140777 0.13943 0.139423
324 0 1 31 234 214 0.14486 0.138531 0.138393
325 0 1 35 208 229 0.168269 0.160368 0.160183
326 0 1 38 238 217 0.175115 0.167211 0.167033
327 0 1 31 185 209 0.167568 0.157653 0.15736
328 0 1 45 224 228 0.200893 0.199123 0.199115
329 0 1 37 214 264 0.172897 0.155666 0.154812
330 0 1 35 252 288 0.138889 0.129919 0.12963
331 0 1 23 187 200 0.122995 0.11893 0.118863
332 0 1 32 178 242 0.179775 0.154182 0.152381
333 0 1 19 186 227 0.102151 0.0924665 0.0920097
334 0 1 9 138 146 0.0652174 0.0634054 0.0633803
335 0 1 19 155 150 0.126667 0.124607 0.12459
336 0 1 25 203 205 0.123153 0.12255 0.122549
337 0 1 31 207 236 0.149758 0.140256 0.139955
338 0 1 34 218 263 0.155963 0.141995 0.141372
339 0 1 47 231 295 0.203463 0.180045 0.178707
340 0 1 63 280 319 0.225 0.210798 0.210351
341 0 1 68 300 360 0.226667 0.206917 0.206061
342 0 1 107 352 434 0.303977 0.273758 0.272265
343 0 1 145 469 470 0.309168 0.308839 0.308839
344 0 1 160 474 487 0.337553 0.333017 0.332986
345 0 1 163 501 492 0.331301 0.328312 0.328298
346 0 1 157 485 431 0.364269 0.343392 0.342795
347 0 1 147 481 461 0.318872 0.312172 0.312102
348 0 1 163 479 449 0.363029 0.351477 0.351293
349 0 1 139 502 476 0.292017 0.284354 0.284254
350 0 1 152 481 503 0.316008 0.30902 0.308943
351 0 1 140 442 402 0.348259 0.332127 0.331754
352 0 1 130 464 435 0.298851 0.289361 0.28921
353 0 1 146 460 427 0.34192 0.329428 0.3292
354 0 1 124 457 413 0.300242 0.285423 0.285057
355 0 1 134 449 388 0.345361 0.321045 0.320191
356 0 1 117 385 312 0.375 0.337581 0.335725
357 0 1 111 357 311 0.356913 0.333126 0.332335
358 0 1 118 401 312 0.378205 0.333605 0.330996
359 0 1 129 452 399 0.323308 0.303762 0.303173
360 0 1 119 437 368 0.32337 0.296744 0.295652
361 0 1 119 462 386 0.30829 0.281794 0.28066
362 0 1 127 428 369 0.344173 0.319572 0.318695
363 0 1 99 363 310 0.319355 0.295122 0.294205
364 0 1 101 440 365 0.276712 0.252028 0.250932
365 0 1 109 459 386 0.282383 0.258956 0.257988
366 0 1 127 445 380 0.334211 0.308839 0.307879
367 0 1 116 417 356 0.325843 0.301068 0.300129
368 0 1 89 385 327 0.272171 0.250834 0.25
369 0 1 79 345 313 0.252396 0.240406 0.240122
370 0 1 101 429 366 0.275956 0.25489 0.254088
371 0 1 86 402 372 0.231183 0.222389 0.222222
372 0 1 96 395 337 0.284866 0.263122 0.262295
373 0 1 97 392 335 0.289552 0.267674 0.26685
374 0 1 112 391 338 0.331361 0.308086 0.30727
375 0 1 110 390 334 0.329341 0.30478 0.303867
376 0 1 102 362 321 0.317757 0.299222 0.298682
377 0 1 94 351 306 0.30719 0.286823 0.286149
378 0 1 92 340 317 0.290221 0.280233 0.280061
379 0 1 83 338 307 0.270358 0.257662 0.257364
380 0 1 101 378 326 0.309816 0.287718 0.286932
381 0 1 99 394 331 0.299094 0.27414 0.273103
382 0 1 98 392 326 0.300613 0.274141 0.272981
383 0 1 109 399 327 0.333333 0.301763 0.300275
384 0 1 121 396 356 0.339888 0.322265 0.321809
385 0 1 110 384 289 0.380623 0.330201 0.326894
386 0 1 118 426 346 0.34104 0.307354 0.305699
387 0 1 121 421 332 0.364458 0.32365 0.321381
388 0 1 101 354 296 0.341216 0.312014 0.310769
389 0 1 115 455 340 0.338235 0.292383 0.289308
390 0 1 135 490 380 0.355263 0.312856 0.310345
391 0 1 122 449 361 0.33795 0.303028 0.301235
392 0 1 118 461 363 0.325069 0.288455 0.286408
393 0 1 147 469 386 0.380829 0.345491 0.34386
394 0 1 79 320 316 0.25 0.248433 0.248428
395 0 1 112 396 325 0.344615 0.312197 0.31068
396 0 1 116 454 330 0.351515 0.299691 0.295918
397 0 1 148 461 407 0.363636 0.341676 0.341014
398 0 1 151 423 366 0.412568 0.383766 0.382763
399 0 1 142 436 376 0.37766 0.350712 0.349754
400 0 1 65 268 257 0.252918 0.247673 0.247619
401 0 1 25 185 208 0.135135 0.127445 0.127226
402 0 1 99 320 317 0.312303 0.310835 0.310832
403 0 1 109 336 343 0.324405 0.321077 0.32106
404 0 1 101 339 324 0.311728 0.304754 0.304676
405 0 1 149 505 447 0.333333 0.313608 0.313025
406 0 1 115 344 376 0.334302 0.31976 0.319444
407 0 1 49 222 300 0.220721 0.189871 0.187739
408 0 1 54 241 287 0.224066 0.205326 0.204545
409 0 1 28 176 219 0.159091 0.14262 0.141772
410 0 1 32 163 212 0.196319 0.172143 0.170667
411 0 1 58 262 301 0.221374 0.206535 0.206039
412 0 1 47 212 263 0.221698 0.199045 0.197895
413 0 1 38 193 253 0.196891 0.171967 0.170404
414 0 1 37 167 236 0.221557 0.186375 0.183623
415 0 1 9 108 120 0.0833333 0.0790569 0.0789474
416 0 1 14 100 148 0.14 0.115079 0.112903
417 0 1 15 117 174 0.128205 0.105129 0.103093
418 0 1 8 106 168 0.0754717 0.0599491 0.0583942
419 0 1 14 134 183 0.104478 0.0894026 0.0883281
420 0 1 11 113 162 0.0973451 0.081301 0.08
421 0 1 20 107 154 0.186916 0.155804 0.153257
422 0 1 11 94 174 0.117021 0.086011 0.0820896
423 0 1 13 70 192 0.185714 0.112136 0.0992366
424 0 1 20 101 181 0.19802 0.147921 0.141844
425 0 1 26 123 188 0.211382 0.170979 0.167203
426 0 1 19 111 147 0.171171 0.148742 0.147287
427 0 1 20 115 141 0.173913 0.157062 0.15625
428 0 1 16 104 145 0.153846 0.130292 0.128514
429 0 1 17 104 141 0.163462 0.140386 0.138776
430 0 1 23 168 210 0.136905 0.122451 0.121693
431 0 1 20 175 210 0.114286 0.104328 0.103896
432 0 1 33 136 233 0.242647 0.185382 0.178862
433 0 1 16 88 186 0.181818 0.125061 0.116788
434 0 1 12 77 181 0.155844 0.101647 0.0930233
435 0 1 24 134 248 0.179104 0.131654 0.125654
436 0 1 19 125 228 0.152 0.112546 0.107649
437 0 1 23 102 242 0.22549 0.146393 0.133721
438 0 1 37 130 235 0.284615 0.211688 0.20274
439 0 1 20 112 194 0.178571 0.135681 0.130719
440 0 1 13 80 170 0.1625 0.111474 0.104
441 0 1 16 101 180 0.158416 0.118665 0.113879
442 0 1 18 80 130 0.225 0.176505 0.171429
443 0 1 15 88 138 0.170455 0.136116 0.132743
444 0 1 16 104 153 0.153846 0.12684 0.124514
445 0 1 31 141 186 0.219858 0.191424 0.189602
446 0 1 46 201 230 0.228856 0.213942 0.213457
447 0 1 50 197 253 0.253807 0.223963 0.222222
448 0 1 53 230 234 0.230435 0.228457 0.228448
449 0 1 101 336 319 0.316614 0.308501 0.308397
