#frame chA chB nCorr nA nB MNR GNR DICE
25 0 1 0 270 314 0 0 0
26 0 1 0 275 323 0 0 0
27 0 1 0 245 285 0 0 0
28 0 1 0 282 375 0 0 0
29 0 1 127 274 356 0.463504 0.406634 0.403175
30 0 1 151 270 351 0.559259 0.490503 0.486312
31 0 1 151 253 328 0.596838 0.524179 0.519793
32 0 1 168 235 313 0.714894 0.619446 0.613139
33 0 1 171 338 481 0.505917 0.424097 0.417582
34 0 1 169 349 485 0.484241 0.410774 0.405276
35 0 1 173 370 497 0.467568 0.403429 0.399077
36 0 1 179 359 495 0.498607 0.424623 0.419204
37 0 1 243 373 497 0.651475 0.564383 0.558621
38 0 1 276 365 489 0.756164 0.653293 0.64637
39 0 1 288 364 494 0.791209 0.67917 0.671329
40 0 1 316 375 508 0.842667 0.724002 0.715742
41 0 1 313 372 499 0.841398 0.726478 0.718714
42 0 1 322 384 497 0.838542 0.737076 0.730987
43 0 1 309 374 477 0.826203 0.731583 0.726204
44 0 1 325 388 485 0.837629 0.749198 0.744559
45 0 1 341 394 506 0.865482 0.763714 0.757778
46 0 1 347 400 502 0.8675 0.774368 0.769401
47 0 1 316 376 487 0.840426 0.738463 0.732329
48 0 1 328 386 475 0.849741 0.766008 0.761905
49 0 1 322 365 458 0.882192 0.787547 0.782503
50 0 1 283 351 426 0.806268 0.73186 0.728443
51 0 1 280 339 425 0.825959 0.737673 0.732984
52 0 1 279 335 416 0.832836 0.747369 0.743009
53 0 1 269 334 413 0.805389 0.724276 0.720214
54 0 1 271 315 404 0.860317 0.759667 0.753825
55 0 1 253 306 379 0.826797 0.742917 0.738686
56 0 1 247 292 367 0.84589 0.754523 0.749621
57 0 1 252 292 364 0.863014 0.772963 0.768293
58 0 1 228 350 493 0.651429 0.54888 0.540925
59 0 1 242 327 486 0.740061 0.607048 0.595326
60 0 1 232 321 483 0.722741 0.589199 0.577114
61 0 1 215 317 452 0.678233 0.567989 0.559168
62 0 1 263 301 456 0.873754 0.709888 0.694848
63 0 1 269 288 446 0.934028 0.750566 0.73297
64 0 1 264 285 432 0.926316 0.752384 0.736402
65 0 1 264 279 420 0.946237 0.771218 0.755365
66 0 1 238 265 409 0.898113 0.722924 0.706231
67 0 1 238 257 394 0.92607 0.747932 0.731183
68 0 1 237 372 529 0.637097 0.534256 0.526082
69 0 1 204 361 497 0.565097 0.481613 0.475524
70 0 1 193 353 477 0.546742 0.470339 0.46506
71 0 1 186 343 477 0.542274 0.45984 0.453659
72 0 1 211 299 426 0.705686 0.59121 0.582069
73 0 1 135 173 301 0.780347 0.591599 0.56962
74 0 1 144 235 398 0.612766 0.470855 0.454976
75 0 1 110 194 355 0.56701 0.419158 0.400729
76 0 1 98 169 305 0.579882 0.431651 0.413502
77 0 1 98 195 334 0.502564 0.384004 0.37051
78 0 1 104 173 288 0.601156 0.465923 0.451193
79 0 1 102 166 290 0.614458 0.464887 0.447368
80 0 1 92 148 275 0.621622 0.456027 0.434988
81 0 1 100 161 276 0.621118 0.474387 0.457666
82 0 1 105 149 286 0.704698 0.508643 0.482759
83 0 1 110 151 278 0.728477 0.536886 0.512821
84 0 1 118 156 272 0.75641 0.572843 0.551402
85 0 1 119 167 288 0.712575 0.542616 0.523077
86 0 1 118 167 290 0.706587 0.536197 0.516411
87 0 1 134 173 287 0.774566 0.601369 0.582609
88 0 1 140 185 311 0.756757 0.583663 0.564516
89 0 1 132 160 287 0.825 0.615989 0.590604
90 0 1 117 151 270 0.774834 0.579449 0.555819
91 0 1 165 274 466 0.60219 0.461759 0.445946
92 0 1 181 280 489 0.646429 0.489153 0.470741
93 0 1 200 278 477 0.719424 0.549223 0.529801
94 0 1 252 310 508 0.812903 0.635021 0.616137
95 0 1 306 352 503 0.869318 0.72722 0.715789
96 0 1 306 403 606 0.759305 0.619202 0.606541
97 0 1 320 367 614 0.871935 0.674113 0.652395
98 0 1 306 397 580 0.770781 0.637694 0.626407
99 0 1 338 413 598 0.818402 0.680129 0.668645
100 0 1 371 402 573 0.922886 0.773007 0.761026
101 0 1 392 434 582 0.903226 0.779973 0.771654
102 0 1 414 452 606 0.915929 0.791033 0.782609
103 0 1 426 465 603 0.916129 0.804497 0.797753
104 0 1 444 471 624 0.942675 0.818993 0.810959
105 0 1 451 467 620 0.965739 0.838151 0.829807
106 0 1 435 455 590 0.956044 0.839571 0.832536
107 0 1 415 433 563 0.95843 0.840524 0.833333
108 0 1 381 401 539 0.950125 0.819518 0.810638
109 0 1 372 400 529 0.93 0.808696 0.800861
110 0 1 359 433 613 0.829099 0.696819 0.686424
111 0 1 326 397 568 0.821159 0.686512 0.675648
112 0 1 312 384 536 0.8125 0.687712 0.678261
113 0 1 282 399 616 0.706767 0.568817 0.555665
114 0 1 300 381 594 0.787402 0.630617 0.615385
115 0 1 288 353 557 0.815864 0.649498 0.632967
116 0 1 266 373 650 0.713137 0.54022 0.520039
117 0 1 291 396 590 0.734848 0.602032 0.590264
118 0 1 262 338 541 0.775148 0.612695 0.596132
119 0 1 276 402 617 0.686567 0.554183 0.541708
120 0 1 285 387 611 0.736434 0.586096 0.571142
121 0 1 291 370 575 0.786487 0.630897 0.615873
122 0 1 272 342 559 0.795322 0.622085 0.603774
123 0 1 292 344 554 0.848837 0.668881 0.650334
124 0 1 292 338 531 0.863905 0.689251 0.672037
125 0 1 249 340 552 0.732353 0.574765 0.558296
126 0 1 217 309 614 0.702265 0.498192 0.470206
127 0 1 255 353 606 0.72238 0.551336 0.531804
128 0 1 242 354 638 0.683616 0.509218 0.487903
129 0 1 261 371 607 0.703504 0.549996 0.533742
130 0 1 284 379 637 0.74934 0.578002 0.559055
131 0 1 319 395 659 0.807595 0.625244 0.605313
132 0 1 360 428 675 0.841121 0.669775 0.652765
133 0 1 351 420 682 0.835714 0.655829 0.637024
134 0 1 377 436 698 0.864679 0.683393 0.664903
135 0 1 378 460 663 0.821739 0.684473 0.673197
136 0 1 382 446 654 0.856502 0.707306 0.694545
137 0 1 366 446 637 0.820628 0.686663 0.6759
138 0 1 443 485 705 0.913402 0.757597 0.744538
139 0 1 439 470 691 0.934043 0.77033 0.756245
140 0 1 421 453 651 0.92936 0.775251 0.762681
141 0 1 435 442 630 0.984163 0.824343 0.811567
142 0 1 453 523 682 0.866157 0.758499 0.751867
143 0 1 474 511 666 0.927593 0.812514 0.805438
144 0 1 436 472 637 0.923729 0.795144 0.786294
145 0 1 473 517 647 0.914894 0.817831 0.812715
146 0 1 461 493 639 0.935091 0.821348 0.814488
147 0 1 487 486 634 1.00206 0.877337 0.869643
148 0 1 470 468 627 1.00427 0.867643 0.858447
149 0 1 470 462 602 1.01732 0.891207 0.883459
150 0 1 461 457 596 1.00875 0.883323 0.875594
151 0 1 464 441 582 1.05215 0.915877 0.907136
152 0 1 446 440 578 1.01364 0.884392 0.876228
153 0 1 454 414 576 1.09662 0.929703 0.917172
154 0 1 384 383 590 1.00261 0.807804 0.789311
155 0 1 389 378 568 1.0291 0.839517 0.82241
156 0 1 404 454 634 0.889868 0.753024 0.742647
157 0 1 402 464 624 0.866379 0.747093 0.738971
158 0 1 389 445 592 0.874157 0.757895 0.750241
159 0 1 393 439 575 0.895216 0.782215 0.775148
160 0 1 389 458 601 0.849345 0.741446 0.734655
161 0 1 389 440 592 0.884091 0.762189 0.753876
162 0 1 372 432 569 0.861111 0.750317 0.743257
163 0 1 350 408 560 0.857843 0.732224 0.72314
164 0 1 339 385 528 0.88052 0.751887 0.742607
165 0 1 347 412 588 0.842233 0.705005 0.694
166 0 1 354 419 586 0.844869 0.71441 0.704478
167 0 1 379 436 593 0.869266 0.745364 0.736638
168 0 1 383 436 595 0.87844 0.751964 0.742968
169 0 1 388 437 586 0.887872 0.76673 0.758553
170 0 1 374 416 578 0.899038 0.762713 0.752515
171 0 1 388 454 606 0.854626 0.73972 0.732075
172 0 1 366 429 585 0.853147 0.730591 0.721893
173 0 1 345 414 555 0.833333 0.719735 0.712074
174 0 1 320 362 511 0.883978 0.744021 0.733104
175 0 1 281 349 520 0.805158 0.659617 0.64672
176 0 1 179 226 401 0.792035 0.594602 0.570973
177 0 1 172 250 446 0.688 0.515099 0.494253
178 0 1 176 261 414 0.67433 0.535417 0.521481
179 0 1 159 248 422 0.641129 0.49149 0.474627
180 0 1 136 203 334 0.669951 0.522297 0.506518
181 0 1 136 250 422 0.544 0.418709 0.404762
182 0 1 126 203 372 0.62069 0.458512 0.438261
183 0 1 121 242 454 0.5 0.365048 0.347701
184 0 1 129 234 407 0.551282 0.418008 0.402496
185 0 1 116 197 373 0.588832 0.427928 0.407018
186 0 1 109 241 388 0.452282 0.356453 0.346582
187 0 1 115 228 407 0.504386 0.377514 0.362205
188 0 1 109 215 352 0.506977 0.39622 0.38448
189 0 1 97 243 404 0.399177 0.309584 0.299845
190 0 1 95 148 276 0.641892 0.470044 0.448113
191 0 1 87 178 385 0.488764 0.332337 0.309059
192 0 1 88 193 348 0.455959 0.339558 0.325323
193 0 1 80 141 313 0.567376 0.38081 0.352423
194 0 1 75 172 337 0.436047 0.311517 0.294695
195 0 1 71 138 279 0.514493 0.36184 0.340528
196 0 1 84 154 342 0.545455 0.366021 0.33871
197 0 1 81 155 315 0.522581 0.366576 0.344681
198 0 1 92 152 301 0.605263 0.430113 0.406181
199 0 1 77 138 282 0.557971 0.390325 0.366667
200 0 1 84 175 355 0.48 0.337013 0.316981
201 0 1 92 183 352 0.502732 0.362486 0.343925
202 0 1 92 159 327 0.578616 0.403474 0.378601
203 0 1 93 160 307 0.58125 0.419618 0.398287
204 0 1 93 167 357 0.556886 0.380882 0.354962
205 0 1 116 209 404 0.555024 0.399203 0.378467
206 0 1 118 198 380 0.59596 0.430187 0.408305
207 0 1 124 192 381 0.645833 0.458468 0.43281
208 0 1 128 214 390 0.598131 0.443068 0.423841
209 0 1 139 176 369 0.789773 0.545438 0.510092
