#frame chA chB nCorr nA nB MNR GNR DICE
25 0 1 0 270 200 0 0 0
26 0 1 0 276 223 0 0 0
27 0 1 0 247 180 0 0 0
28 0 1 0 272 217 0 0 0
29 0 1 18 330 249 0.0722892 0.0627937 0.0621762
30 0 1 27 316 244 0.110656 0.0972356 0.0964286
31 0 1 20 296 224 0.0892857 0.0776712 0.0769231
32 0 1 36 269 202 0.178218 0.154437 0.152866
33 0 1 29 338 202 0.143564 0.110985 0.107407
34 0 1 32 375 286 0.111888 0.0977128 0.096823
35 0 1 43 397 279 0.154122 0.129203 0.127219
36 0 1 42 391 276 0.152174 0.127852 0.125937
37 0 1 60 395 274 0.218978 0.18238 0.179372
38 0 1 70 387 290 0.241379 0.208951 0.206795
39 0 1 74 392 287 0.25784 0.220621 0.217968
40 0 1 85 396 312 0.272436 0.241821 0.240113
41 0 1 77 395 285 0.270175 0.229493 0.226471
42 0 1 87 406 285 0.305263 0.255761 0.251809
43 0 1 77 393 269 0.286245 0.23682 0.232628
44 0 1 90 404 282 0.319149 0.266641 0.262391
45 0 1 99 412 313 0.316294 0.275686 0.273103
46 0 1 94 420 310 0.303226 0.260509 0.257534
47 0 1 86 397 301 0.285714 0.248783 0.246418
48 0 1 101 413 294 0.343537 0.28985 0.285714
49 0 1 85 393 289 0.294118 0.252217 0.249267
50 0 1 84 372 275 0.305455 0.262628 0.25966
51 0 1 83 431 338 0.245562 0.217461 0.215865
52 0 1 86 418 331 0.259819 0.231205 0.22964
53 0 1 74 415 326 0.226994 0.201187 0.19973
54 0 1 71 397 304 0.233553 0.204374 0.202568
55 0 1 78 380 275 0.283636 0.241288 0.238168
56 0 1 93 372 273 0.340659 0.29183 0.288372
57 0 1 83 438 356 0.233146 0.210192 0.209068
58 0 1 69 417 285 0.242105 0.200151 0.196581
59 0 1 81 396 318 0.254717 0.228257 0.226891
60 0 1 76 385 287 0.264808 0.228635 0.22619
61 0 1 80 371 265 0.301887 0.255141 0.251572
62 0 1 88 426 356 0.247191 0.225971 0.225064
63 0 1 76 387 314 0.242038 0.218018 0.216833
64 0 1 74 387 309 0.239482 0.213992 0.212644
