#frame chA chB nCorr nA nB MNR GNR DICE
16 0 1 0 118 347 0 0 0
17 0 1 0 136 360 0 0 0
18 0 1 0 126 343 0 0 0
19 0 1 0 118 331 0 0 0
20 0 1 1 157 367 0.00636943 0.00416598 0.00381679
21 0 1 5 137 368 0.0364963 0.0222682 0.019802
22 0 1 14 140 349 0.1 0.0633361 0.0572597
23 0 1 14 141 334 0.0992908 0.0645127 0.0589474
24 0 1 15 132 329 0.113636 0.0719791 0.0650759
25 0 1 26 138 340 0.188406 0.120031 0.108787
26 0 1 29 134 315 0.216418 0.141153 0.129176
27 0 1 29 220 408 0.131818 0.0967958 0.0923567
28 0 1 22 201 393 0.109453 0.0782759 0.0740741
29 0 1 31 200 376 0.155 0.113045 0.107639
30 0 1 25 191 355 0.13089 0.0960084 0.0915751
31 0 1 32 181 319 0.176796 0.133173 0.128
32 0 1 35 165 281 0.212121 0.162545 0.156951
33 0 1 36 196 331 0.183673 0.141338 0.136622
34 0 1 29 210 349 0.138095 0.107121 0.103757
35 0 1 34 212 365 0.160377 0.122226 0.117851
36 0 1 40 249 421 0.160643 0.123543 0.119403
37 0 1 37 267 426 0.138577 0.109709 0.106782
38 0 1 35 245 421 0.142857 0.108979 0.105105
39 0 1 50 256 423 0.195312 0.151943 0.147275
40 0 1 50 241 441 0.207469 0.153371 0.146628
41 0 1 44 236 438 0.186441 0.136855 0.130564
42 0 1 56 235 448 0.238298 0.17259 0.163982
43 0 1 66 248 453 0.266129 0.196911 0.188302
44 0 1 64 243 478 0.263374 0.187786 0.177531
45 0 1 70 242 495 0.289256 0.20225 0.189959
46 0 1 86 274 514 0.313869 0.229161 0.218274
47 0 1 80 280 515 0.285714 0.210672 0.201258
48 0 1 67 266 531 0.25188 0.178273 0.16813
49 0 1 69 277 504 0.249097 0.184669 0.176697
50 0 1 74 251 475 0.294821 0.214313 0.203857
51 0 1 88 246 473 0.357724 0.257979 0.244784
52 0 1 91 238 452 0.382353 0.277449 0.263768
53 0 1 80 287 592 0.278746 0.194083 0.182025
54 0 1 75 277 567 0.270758 0.189247 0.177725
55 0 1 69 267 534 0.258427 0.182735 0.172285
56 0 1 81 266 530 0.304511 0.215728 0.203518
57 0 1 86 253 521 0.339921 0.236875 0.222222
58 0 1 58 233 490 0.248927 0.171653 0.160443
59 0 1 81 276 511 0.293478 0.215685 0.205845
60 0 1 73 248 491 0.294355 0.209197 0.197564
61 0 1 75 253 473 0.296443 0.216806 0.206612
62 0 1 76 257 469 0.29572 0.218907 0.209366
63 0 1 68 238 451 0.285714 0.207555 0.197388
64 0 1 75 224 457 0.334821 0.234412 0.220264
65 0 1 81 268 503 0.302239 0.220614 0.210117
66 0 1 77 280 489 0.275 0.208093 0.20026
67 0 1 72 269 480 0.267658 0.200371 0.192256
68 0 1 62 257 465 0.241245 0.179349 0.171745
