#frame chA chB nCorr nA nB MNR GNR DICE
16 0 1 0 117 233 0 0 0
17 0 1 0 132 218 0 0 0
18 0 1 0 143 223 0 0 0
19 0 1 0 169 252 0 0 0
20 0 1 7 172 264 0.0406977 0.0328497 0.0321101
21 0 1 14 153 278 0.0915033 0.0678828 0.0649652
22 0 1 23 202 306 0.113861 0.0925106 0.0905512
23 0 1 22 198 319 0.111111 0.0875376 0.0851064
24 0 1 25 203 283 0.123153 0.104303 0.102881
25 0 1 40 195 319 0.205128 0.160379 0.155642
26 0 1 48 191 307 0.251309 0.198224 0.192771
27 0 1 61 192 302 0.317708 0.253324 0.246964
28 0 1 54 182 288 0.296703 0.235864 0.229787
29 0 1 56 183 263 0.306011 0.255261 0.251121
30 0 1 64 170 247 0.376471 0.312325 0.306954
31 0 1 52 225 311 0.231111 0.196577 0.19403
32 0 1 62 207 320 0.299517 0.240897 0.235294
33 0 1 57 190 240 0.3 0.266927 0.265116
34 0 1 58 218 318 0.266055 0.220286 0.216418
35 0 1 54 225 351 0.24 0.192154 0.1875
36 0 1 66 217 330 0.304147 0.246636 0.241316
37 0 1 83 225 339 0.368889 0.300529 0.294326
38 0 1 107 217 341 0.493088 0.393348 0.383513
39 0 1 100 219 367 0.456621 0.352732 0.341297
40 0 1 106 228 361 0.464912 0.369475 0.359932
41 0 1 105 220 345 0.477273 0.381126 0.371681
42 0 1 112 233 380 0.480687 0.376399 0.365416
43 0 1 102 216 353 0.472222 0.369391 0.358524
44 0 1 124 221 363 0.561086 0.437796 0.424658
45 0 1 144 238 399 0.605042 0.467291 0.452119
46 0 1 166 249 422 0.666667 0.512097 0.494784
47 0 1 139 252 408 0.551587 0.433495 0.421212
48 0 1 139 248 423 0.560484 0.42916 0.414307
49 0 1 150 243 397 0.617284 0.48294 0.46875
50 0 1 126 235 363 0.53617 0.431403 0.421405
51 0 1 154 238 372 0.647059 0.51756 0.504918
52 0 1 158 233 376 0.678112 0.533808 0.518883
53 0 1 157 237 414 0.662447 0.501216 0.482335
54 0 1 181 238 393 0.760504 0.591826 0.573693
55 0 1 151 224 358 0.674107 0.533226 0.5189
56 0 1 143 229 348 0.624454 0.506557 0.495667
57 0 1 142 278 439 0.510791 0.406475 0.396095
58 0 1 123 247 416 0.497976 0.383716 0.371041
59 0 1 137 269 456 0.509294 0.391167 0.377931
60 0 1 155 279 471 0.555556 0.427582 0.413333
61 0 1 168 270 443 0.622222 0.485764 0.471248
62 0 1 154 265 443 0.581132 0.449465 0.435028
63 0 1 158 266 436 0.593985 0.463952 0.450142
64 0 1 149 255 423 0.584314 0.453676 0.439528
65 0 1 152 250 422 0.608 0.467969 0.452381
66 0 1 157 260 403 0.603846 0.485021 0.473605
67 0 1 158 249 396 0.634538 0.503164 0.489922
68 0 1 157 245 369 0.640816 0.52216 0.511401
69 0 1 159 226 360 0.70354 0.557432 0.542662
70 0 1 131 269 381 0.486989 0.409197 0.403077
71 0 1 133 252 410 0.527778 0.41377 0.401813
72 0 1 111 227 351 0.488987 0.393239 0.384083
73 0 1 59 205 276 0.287805 0.248039 0.245322
74 0 1 63 198 289 0.318182 0.263366 0.258727
75 0 1 46 196 252 0.234694 0.206981 0.205357
76 0 1 41 186 237 0.22043 0.195278 0.193853
77 0 1 42 199 238 0.211055 0.19299 0.19222
78 0 1 50 170 242 0.294118 0.246512 0.242718
79 0 1 59 177 237 0.333333 0.288065 0.285024
80 0 1 52 170 261 0.305882 0.246864 0.241299
81 0 1 56 159 263 0.352201 0.273849 0.265403
82 0 1 68 158 244 0.43038 0.346326 0.338308
83 0 1 65 177 282 0.367232 0.290939 0.283224
84 0 1 79 185 307 0.427027 0.331491 0.321138
85 0 1 95 192 292 0.494792 0.401219 0.392562
86 0 1 85 187 269 0.454545 0.378985 0.372807
87 0 1 100 190 284 0.526316 0.430491 0.421941
88 0 1 117 224 325 0.522321 0.433631 0.42623
89 0 1 93 207 283 0.449275 0.384242 0.379592
90 0 1 75 205 261 0.365854 0.324238 0.321888
91 0 1 98 285 416 0.34386 0.284614 0.279601
92 0 1 112 277 406 0.404332 0.333976 0.327965
93 0 1 121 273 404 0.443223 0.364345 0.357459
94 0 1 136 325 495 0.418462 0.339074 0.331707
95 0 1 162 332 537 0.487952 0.383671 0.372842
96 0 1 169 331 518 0.510574 0.408139 0.398115
97 0 1 188 331 558 0.567976 0.437448 0.422947
98 0 1 204 343 524 0.594752 0.481191 0.470588
99 0 1 196 342 550 0.573099 0.45192 0.439462
100 0 1 232 335 517 0.692537 0.557468 0.544601
101 0 1 244 335 522 0.728358 0.583488 0.569428
102 0 1 228 337 519 0.676558 0.545175 0.53271
103 0 1 213 322 497 0.661491 0.532443 0.520147
104 0 1 225 330 507 0.681818 0.550075 0.537634
105 0 1 206 342 540 0.602339 0.479355 0.46712
106 0 1 183 333 496 0.54955 0.450286 0.441496
107 0 1 185 328 462 0.564024 0.475241 0.468354
108 0 1 166 336 453 0.494048 0.42549 0.420786
109 0 1 189 307 468 0.615635 0.49862 0.487742
110 0 1 159 295 428 0.538983 0.44747 0.439834
111 0 1 162 312 429 0.519231 0.442802 0.437247
112 0 1 149 292 445 0.510274 0.413347 0.404342
113 0 1 169 282 451 0.599291 0.473886 0.461119
114 0 1 178 278 396 0.640288 0.536476 0.52819
115 0 1 141 297 408 0.474747 0.405052 0.4
116 0 1 138 283 428 0.487633 0.396519 0.388186
117 0 1 150 268 420 0.559702 0.447094 0.436047
118 0 1 154 248 373 0.620968 0.506338 0.495974
119 0 1 151 293 401 0.515358 0.440525 0.435158
120 0 1 139 289 386 0.480969 0.416171 0.411852
121 0 1 148 254 367 0.582677 0.484743 0.476651
122 0 1 132 274 393 0.481752 0.402256 0.395802
123 0 1 152 289 419 0.525952 0.436805 0.429379
124 0 1 125 276 393 0.452899 0.379541 0.373692
125 0 1 103 240 328 0.429167 0.367109 0.362676
126 0 1 102 249 342 0.409639 0.349532 0.345178
127 0 1 105 261 337 0.402299 0.354041 0.351171
128 0 1 98 254 328 0.385827 0.339525 0.33677
129 0 1 141 291 413 0.484536 0.406722 0.400568
130 0 1 127 294 396 0.431973 0.372205 0.368116
131 0 1 153 282 426 0.542553 0.44143 0.432203
132 0 1 184 306 461 0.601307 0.489899 0.479791
133 0 1 181 298 452 0.607383 0.493175 0.482667
134 0 1 211 319 484 0.661442 0.536988 0.525529
135 0 1 214 295 483 0.725424 0.56693 0.550129
136 0 1 203 305 468 0.665574 0.537308 0.525226
137 0 1 197 294 451 0.670068 0.541009 0.528859
138 0 1 203 330 524 0.615152 0.488173 0.47541
139 0 1 230 328 533 0.701219 0.550082 0.534262
140 0 1 197 322 501 0.611801 0.490478 0.478736
141 0 1 205 331 498 0.619335 0.504923 0.494572
142 0 1 247 344 533 0.718023 0.576838 0.563284
143 0 1 236 341 535 0.692082 0.552533 0.538813
144 0 1 188 311 495 0.604502 0.479154 0.466501
145 0 1 232 360 568 0.644444 0.513053 0.5
146 0 1 214 357 563 0.59944 0.477337 0.465217
147 0 1 222 340 523 0.652941 0.526457 0.514484
148 0 1 280 345 545 0.811594 0.645729 0.629214
149 0 1 217 333 541 0.651652 0.511257 0.496568
150 0 1 240 348 561 0.689655 0.543176 0.528053
151 0 1 194 336 535 0.577381 0.457568 0.445465
152 0 1 245 351 552 0.698006 0.5566 0.542636
153 0 1 215 325 537 0.661538 0.514647 0.49884
154 0 1 169 311 459 0.543408 0.447301 0.438961
155 0 1 168 310 493 0.541936 0.429739 0.418431
156 0 1 191 326 566 0.58589 0.444648 0.428251
157 0 1 219 336 560 0.651786 0.504871 0.488839
158 0 1 228 329 529 0.693009 0.546524 0.531469
159 0 1 213 351 527 0.606838 0.495246 0.485194
160 0 1 202 336 511 0.60119 0.487496 0.476978
161 0 1 211 329 513 0.641337 0.513601 0.501188
162 0 1 204 324 516 0.62963 0.498922 0.485714
163 0 1 226 323 493 0.69969 0.566348 0.553922
164 0 1 207 333 510 0.621622 0.5023 0.491103
165 0 1 221 334 530 0.661677 0.525268 0.511574
166 0 1 224 345 523 0.649275 0.527336 0.516129
167 0 1 263 350 574 0.751429 0.586767 0.569264
168 0 1 231 347 545 0.665706 0.531189 0.517937
169 0 1 255 341 557 0.747801 0.585107 0.567929
170 0 1 265 337 563 0.78635 0.608383 0.588889
171 0 1 259 347 538 0.746398 0.599437 0.585311
172 0 1 268 332 549 0.807229 0.62774 0.6084
173 0 1 220 305 493 0.721311 0.567348 0.551378
174 0 1 153 294 446 0.520408 0.422523 0.413514
175 0 1 156 290 415 0.537931 0.449678 0.442553
176 0 1 86 226 328 0.380531 0.315869 0.310469
177 0 1 99 243 339 0.407407 0.344931 0.340206
178 0 1 105 261 337 0.402299 0.354041 0.351171
179 0 1 104 261 317 0.398467 0.361563 0.359862
180 0 1 109 235 294 0.46383 0.414686 0.412098
181 0 1 80 242 287 0.330579 0.303558 0.302457
182 0 1 65 215 278 0.302326 0.265871 0.263692
183 0 1 95 218 328 0.43578 0.35527 0.347985
184 0 1 89 212 286 0.419811 0.361442 0.35743
185 0 1 71 201 304 0.353234 0.287226 0.281188
186 0 1 87 213 348 0.408451 0.319551 0.31016
187 0 1 72 198 300 0.363636 0.29542 0.289157
188 0 1 84 222 313 0.378378 0.318662 0.314019
189 0 1 63 211 284 0.298578 0.257359 0.254545
190 0 1 40 166 174 0.240964 0.235359 0.235294
191 0 1 43 185 230 0.232432 0.208458 0.207229
192 0 1 55 173 189 0.317919 0.304165 0.303867
193 0 1 46 174 175 0.264368 0.263611 0.26361
194 0 1 41 179 196 0.22905 0.218892 0.218667
195 0 1 29 153 159 0.189542 0.185932 0.185897
196 0 1 31 158 148 0.209459 0.202723 0.202614
197 0 1 38 181 198 0.209945 0.20073 0.200528
198 0 1 38 166 187 0.228916 0.215679 0.215297
199 0 1 42 170 160 0.2625 0.254662 0.254545
200 0 1 39 169 190 0.230769 0.217643 0.21727
201 0 1 41 149 181 0.275168 0.249661 0.248485
202 0 1 62 161 194 0.385093 0.350815 0.349296
203 0 1 44 157 182 0.280255 0.260296 0.259587
204 0 1 46 170 198 0.270588 0.250727 0.25
205 0 1 76 195 218 0.389744 0.368611 0.368039
206 0 1 61 185 219 0.32973 0.303055 0.30198
207 0 1 61 199 219 0.306533 0.292201 0.291866
208 0 1 78 212 239 0.367925 0.34652 0.345898
209 0 1 64 185 208 0.345946 0.326259 0.3257
210 0 1 70 214 259 0.327103 0.297332 0.295983
211 0 1 55 198 223 0.277778 0.261745 0.261283
212 0 1 60 196 286 0.306122 0.25342 0.248963
213 0 1 54 206 205 0.263415 0.262774 0.262774
214 0 1 45 212 241 0.212264 0.199084 0.198675
215 0 1 47 197 228 0.238579 0.221767 0.221176
216 0 1 58 217 255 0.267281 0.246563 0.245763
217 0 1 72 215 278 0.334884 0.294504 0.292089
218 0 1 95 229 333 0.414847 0.34402 0.338078
219 0 1 119 262 393 0.454198 0.370852 0.363359
220 0 1 122 254 373 0.480315 0.396359 0.389155
221 0 1 159 299 427 0.531773 0.444987 0.438017
222 0 1 166 314 432 0.528662 0.450714 0.44504
223 0 1 154 307 432 0.501629 0.422873 0.416779
224 0 1 163 327 501 0.498471 0.402712 0.39372
225 0 1 169 308 467 0.548701 0.445608 0.436129
226 0 1 144 309 458 0.466019 0.382781 0.375489
227 0 1 168 315 492 0.533333 0.426748 0.416357
228 0 1 197 324 527 0.608025 0.476747 0.462985
229 0 1 160 361 552 0.443213 0.358424 0.350493
230 0 1 197 349 517 0.56447 0.463776 0.454965
