#frame chA chB nCorr nA nB MNR GNR DICE
16 0 1 0 117 293 0 0 0
17 0 1 0 132 317 0 0 0
18 0 1 0 121 309 0 0 0
19 0 1 0 114 278 0 0 0
20 0 1 0 152 286 0 0 0
21 0 1 4 174 339 0.0229885 0.0164697 0.0155945
22 0 1 11 176 301 0.0625 0.0477918 0.0461216
23 0 1 14 215 346 0.0651163 0.0513299 0.0499109
24 0 1 7 202 280 0.0346535 0.0294336 0.0290456
25 0 1 21 240 356 0.0875 0.0718437 0.0704698
26 0 1 29 220 374 0.131818 0.1011 0.0976431
27 0 1 33 258 385 0.127907 0.104707 0.102644
28 0 1 30 255 373 0.117647 0.097274 0.0955414
29 0 1 34 242 342 0.140496 0.118184 0.116438
30 0 1 34 272 408 0.125 0.102062 0.1
31 0 1 29 248 331 0.116935 0.101218 0.100173
32 0 1 28 268 370 0.104478 0.088918 0.0877743
33 0 1 22 254 196 0.112245 0.0986002 0.0977778
34 0 1 10 267 303 0.0374532 0.0351579 0.0350877
35 0 1 26 271 301 0.095941 0.0910344 0.0909091
36 0 1 18 305 354 0.0590164 0.0547799 0.0546282
37 0 1 33 325 350 0.101538 0.0978449 0.0977778
38 0 1 36 298 366 0.120805 0.109007 0.108434
39 0 1 38 302 365 0.125828 0.114455 0.113943
40 0 1 38 294 400 0.129252 0.11081 0.10951
41 0 1 39 274 367 0.142336 0.122986 0.121685
42 0 1 41 284 393 0.144366 0.122724 0.121123
43 0 1 49 291 421 0.168385 0.139994 0.13764
44 0 1 48 319 524 0.15047 0.117403 0.113879
45 0 1 75 320 554 0.234375 0.178128 0.171625
46 0 1 80 330 527 0.242424 0.191835 0.186698
47 0 1 69 342 542 0.201754 0.160264 0.156109
48 0 1 82 338 548 0.242604 0.190531 0.185102
49 0 1 93 329 532 0.282675 0.222295 0.216028
50 0 1 68 309 450 0.220065 0.182357 0.179183
51 0 1 90 331 529 0.271903 0.21508 0.209302
52 0 1 73 318 525 0.22956 0.178661 0.173191
53 0 1 81 315 518 0.257143 0.200523 0.194478
54 0 1 63 335 556 0.18806 0.145976 0.141414
55 0 1 49 311 449 0.157556 0.131127 0.128947
56 0 1 65 314 440 0.207006 0.174873 0.172414
57 0 1 69 332 476 0.207831 0.173571 0.170792
58 0 1 39 322 400 0.121118 0.108669 0.108033
59 0 1 70 335 518 0.208955 0.168039 0.164127
60 0 1 73 325 510 0.224615 0.179307 0.17485
61 0 1 71 331 458 0.214502 0.182352 0.179975
62 0 1 70 320 453 0.21875 0.183854 0.181113
63 0 1 64 304 462 0.210526 0.170774 0.167102
64 0 1 84 289 447 0.290657 0.23371 0.228261
65 0 1 90 310 507 0.290323 0.227017 0.220318
66 0 1 81 330 491 0.245455 0.201227 0.19732
67 0 1 90 310 442 0.290323 0.243137 0.239362
68 0 1 74 308 440 0.24026 0.201016 0.197861
69 0 1 85 299 390 0.284281 0.248915 0.246734
70 0 1 71 318 432 0.22327 0.191559 0.189333
71 0 1 70 294 409 0.238095 0.201866 0.199147
72 0 1 41 260 302 0.157692 0.146317 0.145907
73 0 1 10 205 160 0.0625 0.0552158 0.0547945
74 0 1 12 218 185 0.0648649 0.059754 0.0595534
75 0 1 8 190 131 0.0610687 0.0507081 0.0498442
76 0 1 11 155 114 0.0964912 0.0827512 0.0817844
77 0 1 7 189 131 0.0534351 0.0444868 0.04375
78 0 1 5 164 102 0.0490196 0.0386588 0.037594
79 0 1 13 161 102 0.127451 0.101445 0.0988593
80 0 1 18 175 115 0.156522 0.126883 0.124138
81 0 1 26 174 134 0.19403 0.170273 0.168831
82 0 1 26 176 127 0.204724 0.173906 0.171617
83 0 1 28 186 195 0.150538 0.147023 0.146982
84 0 1 34 185 185 0.183784 0.183784 0.183784
85 0 1 29 195 189 0.153439 0.15106 0.151042
86 0 1 30 197 165 0.181818 0.166397 0.165746
87 0 1 26 192 187 0.139037 0.137215 0.137203
88 0 1 40 217 229 0.184332 0.179437 0.179372
89 0 1 21 190 160 0.13125 0.120443 0.12
90 0 1 11 201 149 0.0738255 0.0635626 0.0628571
91 0 1 28 241 271 0.116183 0.109563 0.109375
92 0 1 23 279 302 0.0824373 0.0792359 0.0791738
93 0 1 24 270 289 0.0888889 0.0859173 0.0858676
94 0 1 39 304 342 0.128289 0.120952 0.120743
95 0 1 76 332 480 0.228916 0.190381 0.187192
96 0 1 64 384 532 0.166667 0.141598 0.139738
97 0 1 56 369 479 0.151762 0.133201 0.132075
98 0 1 94 386 564 0.243523 0.201463 0.197895
99 0 1 106 373 575 0.284182 0.228885 0.223629
100 0 1 118 366 569 0.322404 0.258574 0.252406
101 0 1 131 381 592 0.343832 0.275834 0.26927
102 0 1 126 375 604 0.336 0.26475 0.257406
103 0 1 118 366 597 0.322404 0.252438 0.245067
104 0 1 126 379 555 0.332454 0.274729 0.269807
105 0 1 98 366 582 0.26776 0.212336 0.206751
106 0 1 93 355 523 0.261972 0.215833 0.211845
107 0 1 89 367 566 0.242507 0.195276 0.190782
108 0 1 88 353 456 0.249292 0.219338 0.217553
109 0 1 91 345 505 0.263768 0.218015 0.214118
110 0 1 88 329 464 0.267477 0.22523 0.221942
111 0 1 94 330 494 0.284848 0.232813 0.228155
112 0 1 87 324 511 0.268519 0.213814 0.208383
113 0 1 88 311 488 0.282958 0.225888 0.220275
114 0 1 80 303 437 0.264026 0.219851 0.216216
115 0 1 79 312 511 0.253205 0.197851 0.191981
116 0 1 81 298 477 0.271812 0.214841 0.209032
117 0 1 73 304 441 0.240132 0.199373 0.195973
118 0 1 77 278 367 0.276978 0.241066 0.23876
119 0 1 57 305 397 0.186885 0.163806 0.162393
120 0 1 59 312 379 0.189103 0.171575 0.170767
121 0 1 49 284 310 0.172535 0.165141 0.164983
122 0 1 50 306 374 0.163399 0.1478 0.147059
123 0 1 55 311 384 0.176849 0.159154 0.158273
124 0 1 40 294 374 0.136054 0.120629 0.11976
125 0 1 33 272 293 0.121324 0.116895 0.116814
126 0 1 26 286 314 0.0909091 0.0867612 0.0866667
127 0 1 32 272 353 0.117647 0.103271 0.1024
128 0 1 30 286 334 0.104895 0.0970655 0.0967742
129 0 1 50 290 368 0.172414 0.153055 0.151976
130 0 1 38 303 374 0.125413 0.112882 0.11226
131 0 1 48 309 378 0.15534 0.140448 0.139738
132 0 1 54 303 388 0.178218 0.157491 0.156295
133 0 1 53 303 402 0.174917 0.151859 0.150355
134 0 1 84 320 484 0.2625 0.213443 0.208955
135 0 1 65 297 470 0.218855 0.173975 0.169492
136 0 1 83 315 448 0.263492 0.220945 0.217562
137 0 1 78 339 509 0.230089 0.187774 0.183962
138 0 1 96 348 565 0.275862 0.2165 0.210296
139 0 1 99 363 569 0.272727 0.217834 0.212446
140 0 1 77 349 547 0.22063 0.176232 0.171875
141 0 1 113 381 595 0.296588 0.237333 0.231557
142 0 1 121 387 553 0.312661 0.261558 0.257447
143 0 1 139 386 587 0.360104 0.292013 0.285714
144 0 1 96 379 531 0.253298 0.213995 0.210989
145 0 1 126 408 583 0.308824 0.258349 0.254289
146 0 1 139 415 616 0.33494 0.274916 0.269641
147 0 1 129 382 577 0.337696 0.27477 0.26903
148 0 1 113 349 565 0.323782 0.254473 0.247265
149 0 1 137 352 535 0.389205 0.315698 0.308906
150 0 1 127 384 612 0.330729 0.261977 0.25502
151 0 1 107 370 577 0.289189 0.231577 0.225977
152 0 1 127 376 599 0.337766 0.267606 0.260513
153 0 1 86 368 507 0.233696 0.1991 0.196571
154 0 1 55 343 397 0.16035 0.149046 0.148649
155 0 1 51 338 412 0.150888 0.136667 0.136
156 0 1 87 366 504 0.237705 0.202565 0.2
157 0 1 88 363 483 0.242424 0.210163 0.208038
158 0 1 87 346 486 0.251445 0.21216 0.209135
159 0 1 94 354 535 0.265537 0.215998 0.211474
160 0 1 92 345 467 0.266667 0.229203 0.226601
161 0 1 97 330 485 0.293939 0.242462 0.238037
162 0 1 91 320 465 0.284375 0.235907 0.231847
163 0 1 78 344 476 0.226744 0.192758 0.190244
164 0 1 95 333 464 0.285285 0.241681 0.238394
165 0 1 94 341 478 0.27566 0.232829 0.229548
166 0 1 104 345 481 0.301449 0.2553 0.251816
167 0 1 99 348 520 0.284483 0.232725 0.228111
168 0 1 127 343 524 0.370262 0.299565 0.292964
169 0 1 117 352 527 0.332386 0.27165 0.266212
170 0 1 117 364 559 0.321429 0.259376 0.253521
171 0 1 124 353 555 0.351275 0.280148 0.273128
172 0 1 98 338 530 0.289941 0.231542 0.225806
173 0 1 84 331 496 0.253776 0.207312 0.203144
174 0 1 73 318 433 0.22956 0.196728 0.194407
175 0 1 55 279 341 0.197133 0.178313 0.177419
176 0 1 22 219 207 0.10628 0.103327 0.103286
177 0 1 27 212 210 0.128571 0.127964 0.127962
178 0 1 52 221 320 0.235294 0.195538 0.192237
